Top row: Eigenvealues.
Corresponding eigenvectors in columns below each eigenvalue.
-nan          -nan       627.274          -nan         22707       16502.7       15957.6       24938.1       30118.4       3086.74       5760.79          -nan          -nan       28109.1          -nan          -nan       14864.7          -nan       6195.94          -nan          -nan       13229.9       11088.2       25348.3       15411.3          -nan       30236.5          -nan       8534.71       17587.1          -nan        1178.6       1399.12       26128.1          -nan       12151.2       28638.4          -nan       2763.86       6642.75       792.426          -nan       29299.7          -nan       30187.3       27818.9       11617.4       22228.8          -nan          -nan       18658.6          -nan       14318.4          -nan          -nan       20229.8          -nan          -nan          -nan       12688.9          7569          -nan       24080.1          -nan          -nan       27512.1       23175.4        3779.2          -nan       5337.87       24515.2       4927.72          -nan          -nan       21741.3          -nan          -nan       9534.85       13773.3          -nan          -nan       27189.3       17046.1       7100.64       4147.88          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
     0.0431935     0.0828074      0.115559      0.138733       0.15041      0.149622      0.136434       0.11194     0.0781681     0.0379184   -0.00547383    -0.0484124    -0.0873388     -0.119027     -0.140851     -0.151002     -0.148639     -0.133958     -0.108175    -0.0734268    -0.0325937     0.0109405     0.0535681     0.0917563       0.12234      0.142785      0.151397      0.147462      0.131306      0.104269     0.0685898     0.0272266     -0.016393     -0.058654    -0.0960541     -0.125494     -0.144533     -0.151595     -0.146093     -0.128484     -0.100227    -0.0636634     -0.021824      0.021824     0.0636634      0.100227      0.128484      0.146093      0.151595      0.144533      0.125494     0.0960541      0.058654      0.016393    -0.0272266    -0.0685898     -0.104269     -0.131306     -0.147462     -0.151397     -0.142785      -0.12234    -0.0917563    -0.0535681    -0.0109405     0.0325937     0.0734268      0.108175      0.133958      0.148639      0.151002      0.140851      0.119027     0.0873388     0.0484124    0.00547384    -0.0379183    -0.0781681      -0.11194     -0.136434     -0.149622      -0.15041     -0.138733     -0.115559    -0.0828074    -0.0431935
          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan          -nan
      0.131306     -0.131306  -1.76909e-09      0.131306     -0.131306   3.75788e-09      0.131306     -0.131306   4.51409e-09      0.131306     -0.131306   8.05015e-09      0.131306     -0.131306   6.01649e-09      0.131306     -0.131306   8.61191e-09      0.131306     -0.131306   1.03822e-08      0.131306     -0.131306    7.1671e-09      0.131306     -0.131306   8.52004e-09      0.131306     -0.131306   3.97105e-09      0.131306     -0.131306   6.43297e-09      0.131306     -0.131306   2.54317e-09      0.131306     -0.131306  -5.22158e-09      0.131306     -0.131306    -7.601e-09      0.131306     -0.131306  -1.17045e-08      0.131306     -0.131306  -7.45913e-09      0.131306     -0.131306  -1.05906e-08      0.131306     -0.131306  -7.93274e-09      0.131306     -0.131306  -1.07718e-10      0.131306     -0.131306   1.05567e-09      0.131306     -0.131306    8.1256e-09      0.131306     -0.131306   7.14742e-09      0.131306     -0.131306   1.37677e-08      0.131306     -0.131306   1.81493e-08      0.131306     -0.131306   1.40751e-08      0.131306     -0.131306   1.43048e-08      0.131306     -0.131306   8.49872e-09      0.131306     -0.131306   8.67018e-09      0.131306     -0.131306
      0.151002    -0.0272266     -0.146093     0.0535681      0.136434    -0.0781681      -0.12234      0.100227      0.104269     -0.119027    -0.0828074      0.133958      0.058654     -0.144533    -0.0325937       0.15041    0.00547384     -0.151397      0.021824      0.147462    -0.0484124     -0.138733     0.0734268      0.125494    -0.0960541     -0.108175      0.115559     0.0873388     -0.131306    -0.0636634      0.142785     0.0379184     -0.149622    -0.0109405      0.151595     -0.016393     -0.148639     0.0431935      0.140851    -0.0685898     -0.128484     0.0917563       0.11194      -0.11194    -0.0917563      0.128484     0.0685898     -0.140851    -0.0431935      0.148639      0.016393     -0.151595     0.0109405      0.149622    -0.0379183     -0.142785     0.0636634      0.131306    -0.0873388     -0.115559      0.108175     0.0960542     -0.125494    -0.0734268      0.138733     0.0484124     -0.147462     -0.021824      0.151397   -0.00547382      -0.15041     0.0325937      0.144533     -0.058654     -0.133958     0.0828074      0.119027     -0.104269     -0.100227       0.12234     0.0781681     -0.136434    -0.0535681      0.146093     0.0272266     -0.151002
     -0.151397      0.016393      0.149622    -0.0325937     -0.146093     0.0484124      0.140851    -0.0636634     -0.133958     0.0781681      0.125494    -0.0917563     -0.115559      0.104269      0.104269     -0.115559    -0.0917563      0.125494     0.0781681     -0.133958    -0.0636634      0.140851     0.0484124     -0.146093    -0.0325937      0.149622      0.016393     -0.151397  -1.08088e-08      0.151397     -0.016393     -0.149622     0.0325937      0.146093    -0.0484124     -0.140851     0.0636634      0.133958    -0.0781681     -0.125494     0.0917563      0.115559     -0.104269     -0.104269      0.115559     0.0917563     -0.125494    -0.0781681      0.133958     0.0636634     -0.140851    -0.0484124      0.146093     0.0325937     -0.149622     -0.016393      0.151397   8.92595e-09     -0.151397      0.016393      0.149622    -0.0325937     -0.146093     0.0484124      0.140851    -0.0636634     -0.133958     0.0781681      0.125494    -0.0917563     -0.115559      0.104269      0.104269     -0.115559    -0.0917563      0.125494     0.0781681     -0.133958    -0.0636634      0.140851     0.0484124     -0.146093    -0.0325937      0.149622      0.016393     -0.151397
      0.115559     -0.149622     0.0781681     0.0484124     -0.140851      0.133958    -0.0325937    -0.0917563      0.151397     -0.104269     -0.016393      0.125494     -0.146093     0.0636634     0.0636634     -0.146093      0.125494     -0.016393     -0.104269      0.151397    -0.0917563    -0.0325937      0.133958     -0.140851     0.0484124     0.0781681     -0.149622      0.115559  -4.82371e-09     -0.115559      0.149622    -0.0781681    -0.0484124      0.140851     -0.133958     0.0325937     0.0917563     -0.151397      0.104269      0.016393     -0.125494      0.146093    -0.0636634    -0.0636634      0.146093     -0.125494      0.016393      0.104269     -0.151397     0.0917563     0.0325937     -0.133958      0.140851    -0.0484124    -0.0781681      0.149622     -0.115559   6.97469e-10      0.115559     -0.149622     0.0781681     0.0484124     -0.140851      0.133958    -0.0325937    -0.0917563      0.151397     -0.104269     -0.016393      0.125494     -0.146093     0.0636634     0.0636634     -0.146093      0.125494     -0.016393     -0.104269      0.151397    -0.0917563    -0.0325937      0.133958     -0.140851     0.0484124     0.0781681     -0.149622      0.115559
     -0.021824     0.0431935    -0.0636634     0.0828074     -0.100227      0.115559     -0.128484      0.138733     -0.146093       0.15041     -0.151595      0.149622     -0.144533      0.136434     -0.125494       0.11194    -0.0960541      0.078168     -0.058654     0.0379183    -0.0163929   -0.00547387     0.0272267    -0.0484124     0.0685898    -0.0873388      0.104269     -0.119027      0.131306     -0.140851      0.147462     -0.151002      0.151397     -0.148639      0.142785     -0.133958       0.12234     -0.108175     0.0917563    -0.0734268     0.0535681    -0.0325938     0.0109406     0.0109405    -0.0325937     0.0535681    -0.0734268     0.0917563     -0.108175       0.12234     -0.133958      0.142785     -0.148639      0.151397     -0.151002      0.147462     -0.140851      0.131306     -0.119027      0.104269    -0.0873388     0.0685898    -0.0484124     0.0272266   -0.00547381     -0.016393     0.0379184     -0.058654     0.0781681    -0.0960542       0.11194     -0.125494      0.136434     -0.144533      0.149622     -0.151595       0.15041     -0.146093      0.138733     -0.128484      0.115559     -0.100227     0.0828074    -0.0636634     0.0431935     -0.021824
    -0.0917563     -0.146093     -0.140851    -0.0781681      0.016393      0.104269      0.149622      0.133958     0.0636634    -0.0325937     -0.115559     -0.151397     -0.125494    -0.0484124     0.0484124      0.125494      0.151397      0.115559     0.0325937    -0.0636634     -0.133958     -0.149622     -0.104269     -0.016393     0.0781681      0.140851      0.146093     0.0917563    -4.206e-09    -0.0917563     -0.146093     -0.140851    -0.0781681      0.016393      0.104269      0.149622      0.133958     0.0636634    -0.0325937     -0.115559     -0.151397     -0.125494    -0.0484124     0.0484124      0.125494      0.151397      0.115559     0.0325937    -0.0636634     -0.133958     -0.149622     -0.104269     -0.016393     0.0781681      0.140851      0.146093     0.0917563  -4.11341e-09    -0.0917563     -0.146093     -0.140851    -0.0781681      0.016393      0.104269      0.149622      0.133958     0.0636634    -0.0325937     -0.115559     -0.151397     -0.125494    -0.0484124     0.0484124      0.125494      0.151397      0.115559     0.0325937    -0.0636634     -0.133958     -0.149622     -0.104269     -0.016393     0.0781681      0.140851      0.146093     0.0917563
