Method       t0       tn       N         h
Verlet  0.0e+00  2.0e+00    1826 1.096e-03

rx  -  ry  -  vx  -  vy
1.000000e+00   0.000000e+00   0.000000e+00   6.283185e+00
9.999763e-01   6.885683e-03  -4.326351e-02   6.283036e+00
9.999052e-01   1.377104e-02  -8.652496e-02   6.282590e+00
9.997866e-01   2.065574e-02  -1.297823e-01   6.281845e+00
9.996207e-01   2.753947e-02  -1.730335e-01   6.280802e+00
9.994074e-01   3.442188e-02  -2.162765e-01   6.279462e+00
9.991467e-01   4.130267e-02  -2.595092e-01   6.277824e+00
9.988386e-01   4.818150e-02  -3.027297e-01   6.275888e+00
9.984832e-01   5.505804e-02  -3.459358e-01   6.273655e+00
9.980804e-01   6.193197e-02  -3.891254e-01   6.271124e+00
9.976303e-01   6.880297e-02  -4.322967e-01   6.268296e+00
9.971329e-01   7.567070e-02  -4.754474e-01   6.265171e+00
9.965882e-01   8.253485e-02  -5.185756e-01   6.261748e+00
9.959963e-01   8.939508e-02  -5.616792e-01   6.258029e+00
9.953571e-01   9.625108e-02  -6.047562e-01   6.254013e+00
9.946708e-01   1.031025e-01  -6.478045e-01   6.249701e+00
9.939373e-01   1.099491e-01  -6.908220e-01   6.245092e+00
9.931567e-01   1.167904e-01  -7.338069e-01   6.240187e+00
9.923290e-01   1.236262e-01  -7.767569e-01   6.234987e+00
9.914542e-01   1.304561e-01  -8.196701e-01   6.229490e+00
9.905324e-01   1.372799e-01  -8.625444e-01   6.223699e+00
9.895637e-01   1.440971e-01  -9.053779e-01   6.217612e+00
9.885480e-01   1.509075e-01  -9.481684e-01   6.211230e+00
9.874855e-01   1.577107e-01  -9.909140e-01   6.204554e+00
9.863762e-01   1.645065e-01  -1.033613e+00   6.197584e+00
9.852200e-01   1.712945e-01  -1.076262e+00   6.190320e+00
9.840172e-01   1.780743e-01  -1.118861e+00   6.182763e+00
9.827678e-01   1.848458e-01  -1.161406e+00   6.174912e+00
9.814717e-01   1.916084e-01  -1.203897e+00   6.166768e+00
9.801291e-01   1.983620e-01  -1.246330e+00   6.158333e+00
9.787400e-01   2.051061e-01  -1.288704e+00   6.149605e+00
9.773045e-01   2.118405e-01  -1.331017e+00   6.140585e+00
9.758227e-01   2.185649e-01  -1.373267e+00   6.131275e+00
9.742946e-01   2.252790e-01  -1.415452e+00   6.121674e+00
9.727203e-01   2.319823e-01  -1.457570e+00   6.111782e+00
9.710999e-01   2.386746e-01  -1.499619e+00   6.101601e+00
9.694335e-01   2.453557e-01  -1.541596e+00   6.091130e+00
9.677211e-01   2.520251e-01  -1.583501e+00   6.080371e+00
9.659628e-01   2.586825e-01  -1.625330e+00   6.069323e+00
9.641587e-01   2.653277e-01  -1.667083e+00   6.057988e+00
9.623089e-01   2.719603e-01  -1.708756e+00   6.046365e+00
9.604135e-01   2.785800e-01  -1.750348e+00   6.034456e+00
9.584726e-01   2.851865e-01  -1.791858e+00   6.022261e+00
9.564862e-01   2.917795e-01  -1.833282e+00   6.009780e+00
9.544544e-01   2.983586e-01  -1.874619e+00   5.997014e+00
9.523774e-01   3.049236e-01  -1.915868e+00   5.983964e+00
9.502552e-01   3.114742e-01  -1.957025e+00   5.970630e+00
9.480880e-01   3.180099e-01  -1.998090e+00   5.957013e+00
9.458759e-01   3.245306e-01  -2.039061e+00   5.943114e+00
9.436189e-01   3.310359e-01  -2.079934e+00   5.928932e+00
9.413171e-01   3.375255e-01  -2.120709e+00   5.914470e+00
9.389707e-01   3.439992e-01  -2.161383e+00   5.899727e+00
9.365798e-01   3.504565e-01  -2.201955e+00   5.884705e+00
9.341445e-01   3.568971e-01  -2.242423e+00   5.869403e+00
9.316649e-01   3.633209e-01  -2.282784e+00   5.853824e+00
9.291412e-01   3.697274e-01  -2.323037e+00   5.837966e+00
9.265733e-01   3.761164e-01  -2.363179e+00   5.821832e+00
9.239616e-01   3.824876e-01  -2.403210e+00   5.805422e+00
9.213060e-01   3.888407e-01  -2.443127e+00   5.788737e+00
9.186068e-01   3.951753e-01  -2.482928e+00   5.771777e+00
9.158640e-01   4.014911e-01  -2.522611e+00   5.754544e+00
9.130778e-01   4.077880e-01  -2.562174e+00   5.737037e+00
9.102483e-01   4.140655e-01  -2.601616e+00   5.719259e+00
9.073756e-01   4.203233e-01  -2.640935e+00   5.701210e+00
9.044599e-01   4.265613e-01  -2.680129e+00   5.682890e+00
9.015014e-01   4.327790e-01  -2.719195e+00   5.664301e+00
8.985000e-01   4.389762e-01  -2.758133e+00   5.645443e+00
8.954561e-01   4.451525e-01  -2.796939e+00   5.626318e+00
8.923698e-01   4.513078e-01  -2.835613e+00   5.606925e+00
8.892411e-01   4.574417e-01  -2.874153e+00   5.587267e+00
