Method       t0       tn       N         h
Verlet  0.0e+00  2.0e+00     366 5.479e-03

rx  -  ry  -  vx  -  vy
9.641328e-01   2.465761e-01  -4.414756e-03   1.662854e-02
9.635288e-01   2.465189e-01  -2.161562e-01  -3.753485e-02
9.617639e-01   2.461648e-01  -4.284040e-01  -9.184923e-02
9.588340e-01   2.455124e-01  -6.416762e-01  -1.464474e-01
9.547319e-01   2.445599e-01  -8.565043e-01  -2.014658e-01
9.494476e-01   2.433045e-01  -1.073441e+00  -2.570468e-01
9.429681e-01   2.417429e-01  -1.293070e+00  -3.133402e-01
9.352770e-01   2.398707e-01  -1.516012e+00  -3.705063e-01
9.263543e-01   2.376826e-01  -1.742937e+00  -4.287183e-01
9.161763e-01   2.351724e-01  -1.974578e+00  -4.881654e-01
9.047151e-01   2.323328e-01  -2.211746e+00  -5.490572e-01
8.919380e-01   2.291553e-01  -2.455343e+00  -6.116278e-01
8.778072e-01   2.256300e-01  -2.706392e+00  -6.761423e-01
8.622789e-01   2.217455e-01  -2.966062e+00  -7.429038e-01
8.453024e-01   2.174886e-01  -3.235703e+00  -8.122629e-01
8.268192e-01   2.128440e-01  -3.516894e+00  -8.846301e-01
8.067611e-01   2.077940e-01  -3.811506e+00  -9.604918e-01
7.850492e-01   2.023181e-01  -4.121782e+00  -1.040432e+00
7.615909e-01   1.963920e-01  -4.450454e+00  -1.125162e+00
7.362771e-01   1.899875e-01  -4.800895e+00  -1.215561e+00
7.089784e-01   1.830708e-01  -5.177348e+00  -1.312735e+00
6.795391e-01   1.756014e-01  -5.585253e+00  -1.418105e+00
6.477701e-01   1.675300e-01  -6.031744e+00  -1.533534e+00
6.134378e-01   1.587956e-01  -6.526433e+00  -1.661534e+00
5.762476e-01   1.493214e-01  -7.082682e+00  -1.805604e+00
5.358193e-01   1.390081e-01  -7.719814e+00  -1.970806e+00
4.916469e-01   1.277235e-01  -8.467186e+00  -2.164842e+00
4.430283e-01   1.152838e-01  -9.372380e+00  -2.400215e+00
3.889358e-01   1.014198e-01  -1.051969e+01  -2.699117e+00
3.277440e-01   8.570445e-02  -1.207933e+01  -3.106483e+00
2.565597e-01   6.737611e-02  -1.447792e+01  -3.735369e+00
1.690819e-01   4.476890e-02  -1.938237e+01  -5.030738e+00
4.415009e-02   1.224473e-02  -7.245116e+01  -1.970606e+01
-6.249034e-01  -1.711880e-01  -1.218538e+02  -3.340840e+01
-1.291234e+00  -3.538747e-01  -1.215471e+02  -3.332438e+01
-1.956926e+00  -5.363866e-01  -1.214636e+02  -3.330148e+01
-2.622341e+00  -7.188224e-01  -1.214241e+02  -3.329067e+01
-3.287602e+00  -9.012159e-01  -1.214010e+02  -3.328434e+01
-3.952764e+00  -1.083582e+00  -1.213859e+02  -3.328018e+01
-4.617858e+00  -1.265930e+00  -1.213751e+02  -3.327723e+01
-5.282902e+00  -1.448264e+00  -1.213671e+02  -3.327503e+01
-5.947908e+00  -1.630588e+00  -1.213609e+02  -3.327333e+01
-6.612884e+00  -1.812903e+00  -1.213559e+02  -3.327197e+01
-7.277835e+00  -1.995212e+00  -1.213518e+02  -3.327085e+01
-7.942767e+00  -2.177516e+00  -1.213485e+02  -3.326993e+01
-8.607682e+00  -2.359814e+00  -1.213456e+02  -3.326915e+01
-9.272582e+00  -2.542109e+00  -1.213432e+02  -3.326848e+01
-9.937470e+00  -2.724400e+00  -1.213411e+02  -3.326790e+01
-1.060235e+01  -2.906689e+00  -1.213392e+02  -3.326740e+01
-1.126722e+01  -3.088975e+00  -1.213376e+02  -3.326695e+01
-1.193207e+01  -3.271258e+00  -1.213362e+02  -3.326656e+01
-1.259693e+01  -3.453540e+00  -1.213349e+02  -3.326620e+01
-1.326177e+01  -3.635819e+00  -1.213337e+02  -3.326588e+01
-1.392661e+01  -3.818097e+00  -1.213326e+02  -3.326559e+01
-1.459144e+01  -4.000374e+00  -1.213317e+02  -3.326533e+01
-1.525627e+01  -4.182649e+00  -1.213308e+02  -3.326509e+01
-1.592110e+01  -4.364923e+00  -1.213300e+02  -3.326487e+01
-1.658592e+01  -4.547195e+00  -1.213293e+02  -3.326467e+01
-1.725073e+01  -4.729467e+00  -1.213286e+02  -3.326449e+01
-1.791555e+01  -4.911738e+00  -1.213280e+02  -3.326431e+01
-1.858036e+01  -5.094007e+00  -1.213274e+02  -3.326415e+01
-1.924516e+01  -5.276276e+00  -1.213269e+02  -3.326400e+01
-1.990996e+01  -5.458544e+00  -1.213263e+02  -3.326387e+01
-2.057476e+01  -5.640812e+00  -1.213259e+02  -3.326374e+01
-2.123956e+01  -5.823079e+00  -1.213254e+02  -3.326361e+01
-2.190436e+01  -6.005345e+00  -1.213250e+02  -3.326350e+01
