Method       t0       tn       N         h
 Euler        0        1      10     0.111

x  -  y  -  z  -  vx  -  vy  -  vz .........
  -2.883410e-06   1.836058e-05  -2.799582e-06   3.350858e-10   1.758397e-05   5.039325e-06   9.607842e-01  -6.117949e+00   9.328518e-01  -1.116543e-04  -5.859173e+00  -1.679159e+00
  -2.276890e-06  -2.827682e-06   2.132640e-10   1.814925e-05  -1.446024e-05   1.269714e-09   7.586851e-01   9.422152e-01  -7.106195e-05  -6.047532e+00   4.818313e+00  -4.230828e-04
  -2.603067e-07  -4.434376e-06   3.543434e-10   2.379114e-05  -7.453551e-06   7.412688e-10   8.673708e-02   1.477583e+00  -1.180711e-04  -7.927471e+00   2.483606e+00  -2.469990e-04
   2.383153e-06  -5.262548e-06   4.367066e-10   2.414327e-05  -1.454946e-06   2.619305e-10  -7.940930e-01   1.753540e+00  -1.455155e-04  -8.044805e+00   4.848043e-01  -8.727816e-05
   5.065738e-06  -5.424209e-06   4.658100e-10   2.267772e-05   1.781312e-06  -6.626679e-12  -1.687960e+00   1.807407e+00  -1.552131e-04  -7.556469e+00  -5.935529e-01   2.208083e-06
   7.585485e-06  -5.226285e-06   4.650737e-10   2.120858e-05   3.354416e-06  -1.417187e-10  -2.527568e+00   1.741456e+00  -1.549677e-04  -7.066935e+00  -1.117729e+00   4.722225e-05
   9.941994e-06  -4.853573e-06   4.493271e-10   2.005796e-05   4.147179e-06  -2.122647e-10  -3.312783e+00   1.617264e+00  -1.497208e-04  -6.683534e+00  -1.381886e+00   7.072895e-05
   1.217066e-05  -4.392775e-06   4.257422e-10   1.918748e-05   4.572135e-06  -2.516056e-10  -4.055398e+00   1.463721e+00  -1.418620e-04  -6.393482e+00  -1.523486e+00   8.383778e-05
   1.430260e-05  -3.884760e-06   3.977860e-10   1.852136e-05   4.812559e-06  -2.749073e-10  -4.765785e+00   1.294445e+00  -1.325467e-04  -6.171523e+00  -1.603598e+00   9.160215e-05
   1.636053e-05  -3.350031e-06   3.672407e-10   1.800046e-05   4.954043e-06  -2.893947e-10  -5.451509e+00   1.116268e+00  -1.223687e-04  -5.997952e+00  -1.650742e+00   9.642953e-05
