Method       t0       tn       N         h
 Euler        0        2    1000     0.002

x  -  y  -  z  -  vx  -  vy  -  vz .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   5.458678e-06  -1.806922e-05   1.483076e-09   9.607842e-01   2.732302e-01  -1.615334e-05  -1.818892e+00   6.020864e+00  -4.941775e-04
  -2.872482e-06  -8.561660e-07   5.144692e-11   5.687337e-06  -1.800419e-05   1.479232e-09   9.571428e-01   2.852840e-01  -1.714268e-05  -1.895084e+00   5.999197e+00  -4.928965e-04
  -2.861096e-06  -8.922104e-07   5.440834e-11   5.915216e-06  -1.793627e-05   1.475151e-09   9.533488e-01   2.972944e-01  -1.812946e-05  -1.971015e+00   5.976565e+00  -4.915365e-04
  -2.849253e-06  -9.281189e-07   5.736160e-11   6.142277e-06  -1.786546e-05   1.470833e-09   9.494028e-01   3.092595e-01  -1.911352e-05  -2.046675e+00   5.952971e+00  -4.900977e-04
  -2.836956e-06  -9.638856e-07   6.030620e-11   6.368483e-06  -1.779178e-05   1.466279e-09   9.453054e-01   3.211774e-01  -2.009470e-05  -2.122049e+00   5.928418e+00  -4.885803e-04
  -2.824207e-06  -9.995047e-07   6.324170e-11   6.593798e-06  -1.771523e-05   1.461489e-09   9.410570e-01   3.330461e-01  -2.107284e-05  -2.197127e+00   5.902910e+00  -4.869843e-04
  -2.811006e-06  -1.034971e-06   6.616760e-11   6.818185e-06  -1.763581e-05   1.456464e-09   9.366584e-01   3.448637e-01  -2.204778e-05  -2.271895e+00   5.876449e+00  -4.853101e-04
  -2.797356e-06  -1.070278e-06   6.908345e-11   7.041606e-06  -1.755355e-05   1.451205e-09   9.321100e-01   3.566284e-01  -2.301937e-05  -2.346341e+00   5.849039e+00  -4.835577e-04
  -2.783259e-06  -1.105420e-06   7.198876e-11   7.264025e-06  -1.746846e-05   1.445712e-09   9.274126e-01   3.683382e-01  -2.398745e-05  -2.420454e+00   5.820683e+00  -4.817274e-04
  -2.768716e-06  -1.140392e-06   7.488308e-11   7.485405e-06  -1.738053e-05   1.439986e-09   9.225669e-01   3.799912e-01  -2.495187e-05  -2.494220e+00   5.791386e+00  -4.798195e-04
  -2.753730e-06  -1.175188e-06   7.776594e-11   7.705710e-06  -1.728979e-05   1.434028e-09   9.175735e-01   3.915855e-01  -2.591247e-05  -2.567628e+00   5.761150e+00  -4.778341e-04
  -2.738303e-06  -1.209802e-06   8.063686e-11   7.924902e-06  -1.719625e-05   1.427838e-09   9.124331e-01   4.031194e-01  -2.686910e-05  -2.640665e+00   5.729981e+00  -4.757715e-04
  -2.722438e-06  -1.244229e-06   8.349540e-11   8.142945e-06  -1.709991e-05   1.421417e-09   9.071464e-01   4.145908e-01  -2.782159e-05  -2.713320e+00   5.697881e+00  -4.736320e-04
  -2.706135e-06  -1.278463e-06   8.634108e-11   8.359803e-06  -1.700080e-05   1.414766e-09   9.017144e-01   4.259980e-01  -2.876981e-05  -2.785579e+00   5.664857e+00  -4.714158e-04
  -2.689399e-06  -1.312498e-06   8.917344e-11   8.575440e-06  -1.689893e-05   1.407886e-09   8.961376e-01   4.373390e-01  -2.971358e-05  -2.857432e+00   5.630911e+00  -4.691233e-04
  -2.672231e-06  -1.346330e-06   9.199203e-11   8.789819e-06  -1.679431e-05   1.400778e-09   8.904171e-01   4.486121e-01  -3.065277e-05  -2.928865e+00   5.596050e+00  -4.667548e-04
  -2.654634e-06  -1.379952e-06   9.479639e-11   9.002904e-06  -1.668695e-05   1.393442e-09   8.845535e-01   4.598154e-01  -3.158721e-05  -2.999868e+00   5.560277e+00  -4.643105e-04
  -2.636610e-06  -1.413360e-06   9.758607e-11   9.214660e-06  -1.657687e-05   1.385881e-09   8.785477e-01   4.709471e-01  -3.251676e-05  -3.070427e+00   5.523599e+00  -4.617908e-04
  -2.618162e-06  -1.446547e-06   1.003606e-10   9.425050e-06  -1.646409e-05   1.378094e-09   8.724007e-01   4.820054e-01  -3.344127e-05  -3.140531e+00   5.486019e+00  -4.591961e-04
  -2.599293e-06  -1.479508e-06   1.031196e-10   9.634040e-06  -1.634863e-05   1.370083e-09   8.661134e-01   4.929884e-01  -3.436058e-05  -3.210169e+00   5.447544e+00  -4.565268e-04
  -2.580006e-06  -1.512238e-06   1.058625e-10   9.841592e-06  -1.623049e-05   1.361849e-09   8.596866e-01   5.038944e-01  -3.527455e-05  -3.279328e+00   5.408179e+00  -4.537831e-04
  -2.560303e-06  -1.544731e-06   1.085889e-10   1.004767e-05  -1.610970e-05   1.353393e-09   8.531214e-01   5.147216e-01  -3.618302e-05  -3.347996e+00   5.367930e+00  -4.509655e-04
  -2.540188e-06  -1.576983e-06   1.112984e-10   1.025225e-05  -1.598627e-05   1.344716e-09   8.464187e-01   5.254682e-01  -3.708586e-05  -3.416163e+00   5.326803e+00  -4.480744e-04
  -2.519663e-06  -1.608987e-06   1.139905e-10   1.045528e-05  -1.586022e-05   1.335820e-09   8.395795e-01   5.361325e-01  -3.798290e-05  -3.483815e+00   5.284803e+00  -4.451102e-04
  -2.498731e-06  -1.640740e-06   1.166648e-10   1.065673e-05  -1.573158e-05   1.326706e-09   8.326049e-01   5.467126e-01  -3.887401e-05  -3.550942e+00   5.241937e+00  -4.420733e-04
  -2.477396e-06  -1.672234e-06   1.193209e-10   1.085658e-05  -1.560036e-05   1.317376e-09   8.254959e-01   5.572070e-01  -3.975904e-05  -3.617532e+00   5.198212e+00  -4.389643e-04
  -2.455661e-06  -1.703466e-06   1.219583e-10   1.105478e-05  -1.546657e-05   1.307830e-09   8.182536e-01   5.676138e-01  -4.063785e-05  -3.683574e+00   5.153634e+00  -4.357834e-04
  -2.433530e-06  -1.734430e-06   1.245766e-10   1.125130e-05  -1.533025e-05   1.298070e-09   8.108791e-01   5.779314e-01  -4.151029e-05  -3.749056e+00   5.108210e+00  -4.325313e-04
  -2.411005e-06  -1.765122e-06   1.271753e-10   1.144610e-05  -1.519141e-05   1.288098e-09   8.033735e-01   5.881581e-01  -4.237622e-05  -3.813968e+00   5.061946e+00  -4.292084e-04
  -2.388089e-06  -1.795535e-06   1.297541e-10   1.163916e-05  -1.505007e-05   1.277914e-09   7.957379e-01   5.982921e-01  -4.323550e-05  -3.878296e+00   5.014851e+00  -4.258152e-04
  -2.364788e-06  -1.825665e-06   1.323125e-10   1.183043e-05  -1.490626e-05   1.267521e-09   7.879736e-01   6.083318e-01  -4.408798e-05  -3.942032e+00   4.966930e+00  -4.223522e-04
  -2.341103e-06  -1.855507e-06   1.348500e-10   1.201990e-05  -1.475999e-05   1.256921e-09   7.800816e-01   6.182757e-01  -4.493353e-05  -4.005163e+00   4.918191e+00  -4.188199e-04
  -2.317039e-06  -1.885057e-06   1.373664e-10   1.220751e-05  -1.461129e-05   1.246114e-09   7.720633e-01   6.281219e-01  -4.577201e-05  -4.067678e+00   4.868643e+00  -4.152190e-04
  -2.292600e-06  -1.914309e-06   1.398611e-10   1.239325e-05  -1.446018e-05   1.235103e-09   7.639198e-01   6.378689e-01  -4.660328e-05  -4.129568e+00   4.818292e+00  -4.115499e-04
