Method       t0       tn       N         h
 Euler        0        1   10000    0.0001

x  -  y  -  z  -  vx  -  vy  -  vz .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   5.458678e-06  -1.806922e-05   1.483076e-09   9.607842e-01   2.732302e-01  -1.615334e-05  -1.818892e+00   6.020864e+00  -4.941775e-04
  -2.882864e-06  -8.217985e-07   4.862612e-11   5.470101e-06  -1.806597e-05   1.482884e-09   9.606023e-01   2.738324e-01  -1.620276e-05  -1.822698e+00   6.019782e+00  -4.941135e-04
  -2.882317e-06  -8.236053e-07   4.877442e-11   5.481521e-06  -1.806272e-05   1.482692e-09   9.604200e-01   2.744344e-01  -1.625218e-05  -1.826504e+00   6.018697e+00  -4.940493e-04
  -2.881769e-06  -8.254117e-07   4.892270e-11   5.492941e-06  -1.805945e-05   1.482498e-09   9.602373e-01   2.750363e-01  -1.630159e-05  -1.830309e+00   6.017610e+00  -4.939849e-04
  -2.881219e-06  -8.272178e-07   4.907097e-11   5.504358e-06  -1.805618e-05   1.482305e-09   9.600543e-01   2.756382e-01  -1.635099e-05  -1.834113e+00   6.016520e+00  -4.939203e-04
  -2.880669e-06  -8.290236e-07   4.921921e-11   5.515773e-06  -1.805290e-05   1.482110e-09   9.598708e-01   2.762399e-01  -1.640039e-05  -1.837917e+00   6.015428e+00  -4.938555e-04
  -2.880117e-06  -8.308291e-07   4.936744e-11   5.527187e-06  -1.804962e-05   1.481915e-09   9.596870e-01   2.768415e-01  -1.644978e-05  -1.841720e+00   6.014334e+00  -4.937906e-04
  -2.879564e-06  -8.326342e-07   4.951565e-11   5.538598e-06  -1.804633e-05   1.481719e-09   9.595028e-01   2.774430e-01  -1.649916e-05  -1.845522e+00   6.013237e+00  -4.937254e-04
  -2.879011e-06  -8.344391e-07   4.966383e-11   5.550008e-06  -1.804303e-05   1.481523e-09   9.593183e-01   2.780444e-01  -1.654854e-05  -1.849324e+00   6.012137e+00  -4.936600e-04
  -2.878455e-06  -8.362435e-07   4.981200e-11   5.561416e-06  -1.803972e-05   1.481327e-09   9.591333e-01   2.786456e-01  -1.659791e-05  -1.853126e+00   6.011036e+00  -4.935944e-04
  -2.877899e-06  -8.380477e-07   4.996015e-11   5.572822e-06  -1.803641e-05   1.481129e-09   9.589480e-01   2.792468e-01  -1.664728e-05  -1.856926e+00   6.009932e+00  -4.935287e-04
  -2.877342e-06  -8.398515e-07   5.010827e-11   5.584227e-06  -1.803309e-05   1.480931e-09   9.587623e-01   2.798478e-01  -1.669663e-05  -1.860726e+00   6.008825e+00  -4.934627e-04
  -2.876783e-06  -8.416550e-07   5.025638e-11   5.595629e-06  -1.802976e-05   1.480733e-09   9.585762e-01   2.804488e-01  -1.674598e-05  -1.864526e+00   6.007716e+00  -4.933965e-04
  -2.876224e-06  -8.434582e-07   5.040447e-11   5.607029e-06  -1.802642e-05   1.480533e-09   9.583897e-01   2.810496e-01  -1.679533e-05  -1.868324e+00   6.006605e+00  -4.933302e-04
  -2.875663e-06  -8.452610e-07   5.055254e-11   5.618428e-06  -1.802308e-05   1.480334e-09   9.582029e-01   2.816503e-01  -1.684467e-05  -1.872123e+00   6.005491e+00  -4.932636e-04
  -2.875101e-06  -8.470635e-07   5.070059e-11   5.629825e-06  -1.801973e-05   1.480133e-09   9.580156e-01   2.822510e-01  -1.689400e-05  -1.875920e+00   6.004375e+00  -4.931968e-04
