Method       t0       tn       N         h
 Euler        0    1e+02  100000     0.001

x  -  y  -  z  -  vx  -  vy  -  vz .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   5.458678e-06  -1.806922e-05   1.483076e-09   9.607842e-01   2.732302e-01  -1.615334e-05  -1.818892e+00   6.020864e+00  -4.941775e-04
  -2.877951e-06  -8.380608e-07   4.996089e-11   5.572894e-06  -1.803674e-05   1.481156e-09   9.589653e-01   2.792512e-01  -1.664752e-05  -1.856950e+00   6.010041e+00  -4.935376e-04
  -2.872378e-06  -8.560977e-07   5.144206e-11   5.686923e-06  -1.800353e-05   1.479176e-09   9.571083e-01   2.852613e-01  -1.714106e-05  -1.894946e+00   5.998977e+00  -4.928780e-04
  -2.866691e-06  -8.741014e-07   5.292125e-11   5.800759e-06  -1.796960e-05   1.477138e-09   9.552133e-01   2.912603e-01  -1.763395e-05  -1.932877e+00   5.987672e+00  -4.921987e-04
  -2.860890e-06  -8.920712e-07   5.439840e-11   5.914397e-06  -1.793495e-05   1.475040e-09   9.532804e-01   2.972480e-01  -1.812615e-05  -1.970743e+00   5.976126e+00  -4.914997e-04
  -2.854976e-06  -9.100063e-07   5.587345e-11   6.027834e-06  -1.789958e-05   1.472883e-09   9.513097e-01   3.032242e-01  -1.861766e-05  -2.008541e+00   5.964340e+00  -4.907809e-04
  -2.848948e-06  -9.279061e-07   5.734635e-11   6.141065e-06  -1.786349e-05   1.470667e-09   9.493011e-01   3.091886e-01  -1.910844e-05  -2.046271e+00   5.952314e+00  -4.900426e-04
  -2.842807e-06  -9.457698e-07   5.881703e-11   6.254084e-06  -1.782668e-05   1.468392e-09   9.472548e-01   3.151410e-01  -1.959849e-05  -2.083930e+00   5.940048e+00  -4.892845e-04
  -2.836553e-06  -9.635966e-07   6.028544e-11   6.366888e-06  -1.778915e-05   1.466058e-09   9.451709e-01   3.210811e-01  -2.008778e-05  -2.121518e+00   5.927543e+00  -4.885068e-04
  -2.830186e-06  -9.813859e-07   6.175151e-11   6.479472e-06  -1.775091e-05   1.463665e-09   9.430493e-01   3.270087e-01  -2.057629e-05  -2.159032e+00   5.914799e+00  -4.877095e-04
  -2.823706e-06  -9.991370e-07   6.321519e-11   6.591830e-06  -1.771195e-05   1.461214e-09   9.408903e-01   3.329235e-01  -2.106400e-05  -2.196471e+00   5.901817e+00  -4.868927e-04
  -2.817114e-06  -1.016849e-06   6.467642e-11   6.703960e-06  -1.767227e-05   1.458704e-09   9.386938e-01   3.388254e-01  -2.155090e-05  -2.233834e+00   5.888597e+00  -4.860562e-04
  -2.810410e-06  -1.034522e-06   6.613514e-11   6.815855e-06  -1.763188e-05   1.456135e-09   9.364599e-01   3.447141e-01  -2.203696e-05  -2.271118e+00   5.875138e+00  -4.852002e-04
  -2.803594e-06  -1.052154e-06   6.759129e-11   6.927511e-06  -1.759078e-05   1.453507e-09   9.341888e-01   3.505893e-01  -2.252217e-05  -2.308323e+00   5.861443e+00  -4.843247e-04
  -2.796667e-06  -1.069745e-06   6.904481e-11   7.038924e-06  -1.754897e-05   1.450821e-09   9.318804e-01   3.564508e-01  -2.300650e-05  -2.345447e+00   5.847511e+00  -4.834297e-04
  -2.789628e-06  -1.087294e-06   7.049565e-11   7.150088e-06  -1.750645e-05   1.448077e-09   9.295350e-01   3.622983e-01  -2.348993e-05  -2.382489e+00   5.833342e+00  -4.825152e-04
  -2.782478e-06  -1.104800e-06   7.194374e-11   7.261001e-06  -1.746322e-05   1.445274e-09   9.271525e-01   3.681317e-01  -2.397245e-05  -2.419446e+00   5.818938e+00  -4.815813e-04
  -2.775217e-06  -1.122264e-06   7.338903e-11   7.371656e-06  -1.741928e-05   1.442413e-09   9.247330e-01   3.739507e-01  -2.445404e-05  -2.456318e+00   5.804298e+00  -4.806279e-04
  -2.767845e-06  -1.139683e-06   7.483145e-11   7.482049e-06  -1.737464e-05   1.439493e-09   9.222766e-01   3.797551e-01  -2.493467e-05  -2.493102e+00   5.789423e+00  -4.796552e-04
  -2.760363e-06  -1.157058e-06   7.627096e-11   7.592176e-06  -1.732929e-05   1.436516e-09   9.197835e-01   3.855446e-01  -2.541433e-05  -2.529797e+00   5.774313e+00  -4.786631e-04
  -2.752771e-06  -1.174388e-06   7.770749e-11   7.702033e-06  -1.728325e-05   1.433481e-09   9.172537e-01   3.913190e-01  -2.589300e-05  -2.566403e+00   5.758969e+00  -4.776516e-04
  -2.745068e-06  -1.191671e-06   7.914099e-11   7.811613e-06  -1.723650e-05   1.430387e-09   9.146873e-01   3.970780e-01  -2.637065e-05  -2.602916e+00   5.743392e+00  -4.766209e-04
  -2.737257e-06  -1.208908e-06   8.057139e-11   7.920914e-06  -1.718905e-05   1.427236e-09   9.120843e-01   4.028214e-01  -2.684728e-05  -2.639336e+00   5.727581e+00  -4.755709e-04
  -2.729336e-06  -1.226097e-06   8.199864e-11   8.029930e-06  -1.714090e-05   1.424027e-09   9.094450e-01   4.085491e-01  -2.732286e-05  -2.675662e+00   5.711538e+00  -4.745017e-04
  -2.721306e-06  -1.243238e-06   8.342268e-11   8.138657e-06  -1.709206e-05   1.420761e-09   9.067693e-01   4.142607e-01  -2.779736e-05  -2.711891e+00   5.695263e+00  -4.734132e-04
  -2.713167e-06  -1.260330e-06   8.484345e-11   8.247090e-06  -1.704252e-05   1.417437e-09   9.040574e-01   4.199560e-01  -2.827078e-05  -2.748022e+00   5.678756e+00  -4.723056e-04
  -2.704920e-06  -1.277373e-06   8.626090e-11   8.355225e-06  -1.699229e-05   1.414055e-09   9.013093e-01   4.256348e-01  -2.874309e-05  -2.784054e+00   5.662019e+00  -4.711789e-04
  -2.696565e-06  -1.294365e-06   8.767497e-11   8.463058e-06  -1.694136e-05   1.410616e-09   8.985252e-01   4.312969e-01  -2.921427e-05  -2.819985e+00   5.645051e+00  -4.700330e-04
  -2.688101e-06  -1.311307e-06   8.908560e-11   8.570583e-06  -1.688975e-05   1.407120e-09   8.957052e-01   4.369420e-01  -2.968431e-05  -2.855813e+00   5.627853e+00  -4.688681e-04
  -2.679531e-06  -1.328197e-06   9.049274e-11   8.677796e-06  -1.683745e-05   1.403567e-09   8.928494e-01   4.425699e-01  -3.015319e-05  -2.891538e+00   5.610426e+00  -4.676842e-04
  -2.670853e-06  -1.345034e-06   9.189632e-11   8.784693e-06  -1.678446e-05   1.399957e-09   8.899578e-01   4.481804e-01  -3.062087e-05  -2.927157e+00   5.592770e+00  -4.664812e-04
  -2.662068e-06  -1.361819e-06   9.329629e-11   8.891269e-06  -1.673079e-05   1.396290e-09   8.870306e-01   4.537732e-01  -3.108736e-05  -2.962669e+00   5.574886e+00  -4.652594e-04
  -2.653177e-06  -1.378550e-06   9.469260e-11   8.997519e-06  -1.667644e-05   1.392566e-09   8.840679e-01   4.593481e-01  -3.155262e-05  -2.998073e+00   5.556775e+00  -4.640186e-04
  -2.644179e-06  -1.395227e-06   9.608518e-11   9.103440e-06  -1.662140e-05   1.388786e-09   8.810698e-01   4.649050e-01  -3.201665e-05  -3.033367e+00   5.538436e+00  -4.627589e-04
  -2.635076e-06  -1.411848e-06   9.747398e-11   9.209027e-06  -1.656569e-05   1.384949e-09   8.780364e-01   4.704435e-01  -3.247941e-05  -3.068550e+00   5.519872e+00  -4.614804e-04
  -2.625866e-06  -1.428414e-06   9.885894e-11   9.314274e-06  -1.650930e-05   1.381056e-09   8.749678e-01   4.759634e-01  -3.294090e-05  -3.103620e+00   5.501082e+00  -4.601832e-04
  -2.616552e-06  -1.444923e-06   1.002400e-10   9.419179e-06  -1.645223e-05   1.377106e-09   8.718642e-01   4.814645e-01  -3.340108e-05  -3.138575e+00   5.482067e+00  -4.588672e-04
  -2.607133e-06  -1.461376e-06   1.016171e-10   9.523736e-06  -1.639450e-05   1.373101e-09   8.687256e-01   4.869466e-01  -3.385996e-05  -3.173415e+00   5.462828e+00  -4.575325e-04
  -2.597609e-06  -1.477770e-06   1.029902e-10   9.627941e-06  -1.633609e-05   1.369039e-09   8.655521e-01   4.924095e-01  -3.431749e-05  -3.208137e+00   5.443365e+00  -4.561791e-04
  -2.587981e-06  -1.494107e-06   1.043593e-10   9.731789e-06  -1.627701e-05   1.364922e-09   8.623440e-01   4.978529e-01  -3.477368e-05  -3.242740e+00   5.423679e+00  -4.548072e-04
  -2.578249e-06  -1.510384e-06   1.057242e-10   9.835276e-06  -1.621726e-05   1.360749e-09   8.591012e-01   5.032767e-01  -3.522849e-05  -3.277223e+00   5.403771e+00  -4.534166e-04
  -2.568414e-06  -1.526601e-06   1.070850e-10   9.938398e-06  -1.615685e-05   1.356520e-09   8.558239e-01   5.086805e-01  -3.568191e-05  -3.311585e+00   5.383642e+00  -4.520076e-04
  -2.558475e-06  -1.542758e-06   1.084415e-10   1.004115e-05  -1.609578e-05   1.352236e-09   8.525123e-01   5.140642e-01  -3.613392e-05  -3.345823e+00   5.363291e+00  -4.505801e-04
  -2.548434e-06  -1.558854e-06   1.097938e-10   1.014353e-05  -1.603404e-05   1.347897e-09   8.491665e-01   5.194275e-01  -3.658451e-05  -3.379936e+00   5.342721e+00  -4.491342e-04
  -2.538290e-06  -1.574888e-06   1.111417e-10   1.024553e-05  -1.597165e-05   1.343502e-09   8.457865e-01   5.247703e-01  -3.703364e-05  -3.413924e+00   5.321931e+00  -4.476699e-04
  -2.528045e-06  -1.590860e-06   1.124852e-10   1.034714e-05  -1.590860e-05   1.339053e-09   8.423725e-01   5.300923e-01  -3.748132e-05  -3.447783e+00   5.300923e+00  -4.461874e-04
  -2.517697e-06  -1.606769e-06   1.138243e-10   1.044837e-05  -1.584490e-05   1.334549e-09   8.389247e-01   5.353933e-01  -3.792751e-05  -3.481514e+00   5.279697e+00  -4.446865e-04
  -2.507249e-06  -1.622614e-06   1.151588e-10   1.054921e-05  -1.578055e-05   1.329990e-09   8.354432e-01   5.406730e-01  -3.837220e-05  -3.515114e+00   5.258253e+00  -4.431675e-04
  -2.496700e-06  -1.638395e-06   1.164888e-10   1.064965e-05  -1.571554e-05   1.325377e-09   8.319280e-01   5.459313e-01  -3.881537e-05  -3.548582e+00   5.236594e+00  -4.416303e-04
  -2.486050e-06  -1.654111e-06   1.178142e-10   1.074969e-05  -1.564989e-05   1.320709e-09   8.283794e-01   5.511680e-01  -3.925701e-05  -3.581917e+00   5.214719e+00  -4.400749e-04
  -2.475300e-06  -1.669761e-06   1.191349e-10   1.084933e-05  -1.558360e-05   1.315987e-09   8.247974e-01   5.563828e-01  -3.969709e-05  -3.615117e+00   5.192629e+00  -4.385016e-04
  -2.464451e-06  -1.685344e-06   1.204509e-10   1.094856e-05  -1.551666e-05   1.311212e-09   8.211823e-01   5.615754e-01  -4.013559e-05  -3.648181e+00   5.170325e+00  -4.369102e-04
  -2.453502e-06  -1.700861e-06   1.217622e-10   1.104737e-05  -1.544909e-05   1.306382e-09   8.175341e-01   5.667458e-01  -4.057251e-05  -3.681107e+00   5.147808e+00  -4.353010e-04
  -2.442454e-06  -1.716310e-06   1.230686e-10   1.114577e-05  -1.538088e-05   1.301499e-09   8.138529e-01   5.718937e-01  -4.100781e-05  -3.713894e+00   5.125079e+00  -4.336738e-04
  -2.431309e-06  -1.731691e-06   1.243701e-10   1.124375e-05  -1.531203e-05   1.296562e-09   8.101390e-01   5.770188e-01  -4.144149e-05  -3.746541e+00   5.102138e+00  -4.320288e-04
  -2.420065e-06  -1.747004e-06   1.256667e-10   1.134130e-05  -1.524255e-05   1.291572e-09   8.063924e-01   5.821210e-01  -4.187352e-05  -3.779045e+00   5.078987e+00  -4.303661e-04
  -2.408723e-06  -1.762246e-06   1.269582e-10   1.143841e-05  -1.517244e-05   1.286529e-09   8.026133e-01   5.872000e-01  -4.230389e-05  -3.811407e+00   5.055626e+00  -4.286857e-04
  -2.397285e-06  -1.777419e-06   1.282448e-10   1.153510e-05  -1.510171e-05   1.281433e-09   7.988019e-01   5.922557e-01  -4.273258e-05  -3.843623e+00   5.032056e+00  -4.269876e-04
  -2.385750e-06  -1.792521e-06   1.295262e-10   1.163135e-05  -1.503035e-05   1.276284e-09   7.949582e-01   5.972878e-01  -4.315958e-05  -3.875694e+00   5.008278e+00  -4.252720e-04
  -2.374118e-06  -1.807551e-06   1.308025e-10   1.172715e-05  -1.495836e-05   1.271083e-09   7.910825e-01   6.022961e-01  -4.358485e-05  -3.907616e+00   4.984293e+00  -4.235389e-04
  -2.362391e-06  -1.822510e-06   1.320736e-10   1.182251e-05  -1.488576e-05   1.265829e-09   7.871748e-01   6.072805e-01  -4.400840e-05  -3.939390e+00   4.960101e+00  -4.217883e-04
  -2.350568e-06  -1.837396e-06   1.333395e-10   1.191741e-05  -1.481255e-05   1.260523e-09   7.832354e-01   6.122406e-01  -4.443019e-05  -3.971014e+00   4.935705e+00  -4.200203e-04
  -2.338651e-06  -1.852208e-06   1.346000e-10   1.201186e-05  -1.473872e-05   1.255165e-09   7.792644e-01   6.171764e-01  -4.485021e-05  -4.002486e+00   4.911104e+00  -4.182350e-04
  -2.326639e-06  -1.866947e-06   1.358552e-10   1.210585e-05  -1.466428e-05   1.249756e-09   7.752618e-01   6.220875e-01  -4.526845e-05  -4.033805e+00   4.886299e+00  -4.164325e-04
  -2.314533e-06  -1.881612e-06   1.371049e-10   1.219938e-05  -1.458923e-05   1.244294e-09   7.712280e-01   6.269739e-01  -4.568489e-05  -4.064969e+00   4.861292e+00  -4.146127e-04
  -2.302333e-06  -1.896201e-06   1.383493e-10   1.229244e-05  -1.451357e-05   1.238782e-09   7.671630e-01   6.318352e-01  -4.609951e-05  -4.095978e+00   4.836084e+00  -4.127759e-04
  -2.290041e-06  -1.910715e-06   1.395880e-10   1.238503e-05  -1.443732e-05   1.233218e-09   7.630670e-01   6.366714e-01  -4.651229e-05  -4.126829e+00   4.810675e+00  -4.109220e-04
  -2.277655e-06  -1.925152e-06   1.408213e-10   1.247714e-05  -1.436046e-05   1.227604e-09   7.589401e-01   6.414821e-01  -4.692321e-05  -4.157522e+00   4.785066e+00  -4.090511e-04
  -2.265178e-06  -1.939513e-06   1.420489e-10   1.256877e-05  -1.428301e-05   1.221938e-09   7.547825e-01   6.462672e-01  -4.733227e-05  -4.188055e+00   4.759258e+00  -4.071634e-04
  -2.252609e-06  -1.953796e-06   1.432708e-10   1.265992e-05  -1.420497e-05   1.216222e-09   7.505944e-01   6.510265e-01  -4.773943e-05  -4.218427e+00   4.733253e+00  -4.052587e-04
  -2.239949e-06  -1.968001e-06   1.444871e-10   1.275058e-05  -1.412633e-05   1.210456e-09   7.463760e-01   6.557598e-01  -4.814470e-05  -4.248636e+00   4.707051e+00  -4.033374e-04
  -2.227199e-06  -1.982128e-06   1.456975e-10   1.284075e-05  -1.404711e-05   1.204640e-09   7.421273e-01   6.604669e-01  -4.854804e-05  -4.278682e+00   4.680653e+00  -4.013993e-04
  -2.214358e-06  -1.996175e-06   1.469022e-10   1.293043e-05  -1.396730e-05   1.198773e-09   7.378486e-01   6.651476e-01  -4.894944e-05  -4.308562e+00   4.654061e+00  -3.994446e-04
  -2.201427e-06  -2.010142e-06   1.481010e-10   1.301960e-05  -1.388692e-05   1.192858e-09   7.335400e-01   6.698017e-01  -4.934889e-05  -4.338276e+00   4.627275e+00  -3.974734e-04
  -2.188407e-06  -2.024029e-06   1.492939e-10   1.310827e-05  -1.380595e-05   1.186892e-09   7.292016e-01   6.744290e-01  -4.974637e-05  -4.367822e+00   4.600296e+00  -3.954857e-04
  -2.175299e-06  -2.037835e-06   1.504808e-10   1.319643e-05  -1.372441e-05   1.180878e-09   7.248338e-01   6.790294e-01  -5.014186e-05  -4.397198e+00   4.573126e+00  -3.934816e-04
  -2.162102e-06  -2.051560e-06   1.516616e-10   1.328409e-05  -1.364230e-05   1.174814e-09   7.204365e-01   6.836025e-01  -5.053534e-05  -4.426405e+00   4.545765e+00  -3.914612e-04
  -2.148818e-06  -2.065202e-06   1.528365e-10   1.337122e-05  -1.355962e-05   1.168702e-09   7.160101e-01   6.881484e-01  -5.092681e-05  -4.455439e+00   4.518215e+00  -3.894245e-04
  -2.135447e-06  -2.078762e-06   1.540052e-10   1.345784e-05  -1.347637e-05   1.162541e-09   7.115546e-01   6.926666e-01  -5.131624e-05  -4.484301e+00   4.490476e+00  -3.873717e-04
  -2.121989e-06  -2.092239e-06   1.551677e-10   1.354393e-05  -1.339256e-05   1.156333e-09   7.070702e-01   6.971571e-01  -5.170361e-05  -4.512988e+00   4.462551e+00  -3.853028e-04
  -2.108445e-06  -2.105631e-06   1.563241e-10   1.362950e-05  -1.330820e-05   1.150076e-09   7.025572e-01   7.016197e-01  -5.208892e-05  -4.541500e+00   4.434439e+00  -3.832179e-04
  -2.094815e-06  -2.118940e-06   1.574742e-10   1.371453e-05  -1.322327e-05   1.143771e-09   6.980157e-01   7.060542e-01  -5.247214e-05  -4.569835e+00   4.406141e+00  -3.811171e-04
  -2.081100e-06  -2.132163e-06   1.586180e-10   1.379904e-05  -1.313780e-05   1.137419e-09   6.934458e-01   7.104604e-01  -5.285326e-05  -4.597992e+00   4.377660e+00  -3.790005e-04
  -2.067301e-06  -2.145301e-06   1.597554e-10   1.388300e-05  -1.305177e-05   1.131019e-09   6.888477e-01   7.148381e-01  -5.323227e-05  -4.625970e+00   4.348996e+00  -3.768681e-04
  -2.053418e-06  -2.158353e-06   1.608864e-10   1.396642e-05  -1.296521e-05   1.124572e-09   6.842217e-01   7.191871e-01  -5.360914e-05  -4.653766e+00   4.320151e+00  -3.747200e-04
  -2.039452e-06  -2.171318e-06   1.620110e-10   1.404930e-05  -1.287810e-05   1.118079e-09   6.795679e-01   7.235073e-01  -5.398386e-05  -4.681382e+00   4.291124e+00  -3.725564e-04
  -2.025402e-06  -2.184196e-06   1.631291e-10   1.413162e-05  -1.279045e-05   1.111539e-09   6.748865e-01   7.277985e-01  -5.435642e-05  -4.708814e+00   4.261919e+00  -3.703772e-04
  -2.011270e-06  -2.196987e-06   1.642406e-10   1.421340e-05  -1.270226e-05   1.104953e-09   6.701776e-01   7.320605e-01  -5.472680e-05  -4.736061e+00   4.232535e+00  -3.681826e-04
  -1.997057e-06  -2.209689e-06   1.653456e-10   1.429461e-05  -1.261355e-05   1.098321e-09   6.654415e-01   7.362930e-01  -5.509499e-05  -4.763124e+00   4.202973e+00  -3.659727e-04
  -1.982762e-06  -2.222303e-06   1.664439e-10   1.437527e-05  -1.252430e-05   1.091643e-09   6.606784e-01   7.404961e-01  -5.546097e-05  -4.789999e+00   4.173236e+00  -3.637476e-04
  -1.968387e-06  -2.234828e-06   1.675356e-10   1.445536e-05  -1.243453e-05   1.084920e-09   6.558883e-01   7.446693e-01  -5.582472e-05  -4.816687e+00   4.143325e+00  -3.615073e-04
  -1.953931e-06  -2.247262e-06   1.686205e-10   1.453489e-05  -1.234424e-05   1.078151e-09   6.510716e-01   7.488127e-01  -5.618623e-05  -4.843185e+00   4.113239e+00  -3.592519e-04
  -1.939396e-06  -2.259607e-06   1.696987e-10   1.461384e-05  -1.225344e-05   1.071338e-09   6.462283e-01   7.529260e-01  -5.654548e-05  -4.869493e+00   4.082982e+00  -3.569816e-04
  -1.924782e-06  -2.271860e-06   1.707700e-10   1.469222e-05  -1.216212e-05   1.064479e-09   6.413588e-01   7.570090e-01  -5.690247e-05  -4.895610e+00   4.052553e+00  -3.546963e-04
  -1.910090e-06  -2.284022e-06   1.718345e-10   1.477002e-05  -1.207029e-05   1.057577e-09   6.364631e-01   7.610616e-01  -5.725717e-05  -4.921534e+00   4.021954e+00  -3.523963e-04
  -1.895320e-06  -2.296093e-06   1.728921e-10   1.484724e-05  -1.197795e-05   1.050630e-09   6.315416e-01   7.650836e-01  -5.760957e-05  -4.947264e+00   3.991187e+00  -3.500816e-04
  -1.880472e-06  -2.308071e-06   1.739427e-10   1.492387e-05  -1.188511e-05   1.043639e-09   6.265942e-01   7.690748e-01  -5.795965e-05  -4.972800e+00   3.960252e+00  -3.477522e-04
  -1.865548e-06  -2.319956e-06   1.749864e-10   1.499992e-05  -1.179178e-05   1.036605e-09   6.216214e-01   7.730351e-01  -5.830741e-05  -4.998139e+00   3.929151e+00  -3.454084e-04
  -1.850548e-06  -2.331748e-06   1.760230e-10   1.507537e-05  -1.169795e-05   1.029528e-09   6.166232e-01   7.769643e-01  -5.865282e-05  -5.023280e+00   3.897885e+00  -3.430501e-04
  -1.835473e-06  -2.343446e-06   1.770525e-10   1.515023e-05  -1.160362e-05   1.022407e-09   6.115999e-01   7.808622e-01  -5.899587e-05  -5.048224e+00   3.866456e+00  -3.406775e-04
  -1.820322e-06  -2.355050e-06   1.780750e-10   1.522449e-05  -1.150881e-05   1.015244e-09   6.065516e-01   7.847287e-01  -5.933655e-05  -5.072968e+00   3.834864e+00  -3.382907e-04
  -1.805098e-06  -2.366559e-06   1.790902e-10   1.529814e-05  -1.141352e-05   1.008039e-09   6.014786e-01   7.885636e-01  -5.967485e-05  -5.097511e+00   3.803111e+00  -3.358897e-04
