Method       t0       tn       N         h
 Euler        0    1e+02 1000000    0.0001

x  -  y  -  z  .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   9.607842e-01   2.732302e-01  -1.615334e-05
  -2.823085e-06  -9.989221e-07   6.320168e-11   9.406832e-01   3.328519e-01  -2.105950e-05
  -2.751538e-06  -1.173882e-06   7.767431e-11   9.168431e-01   3.911505e-01  -2.588194e-05
  -2.669018e-06  -1.344159e-06   9.183711e-11   8.893463e-01   4.478887e-01  -3.060114e-05
  -2.575815e-06  -1.509056e-06   1.056323e-10   8.582901e-01   5.028344e-01  -3.519786e-05
  -2.472269e-06  -1.667893e-06   1.190033e-10   8.237874e-01   5.557606e-01  -3.965322e-05
  -2.358761e-06  -1.820009e-06   1.318948e-10   7.859654e-01   6.064473e-01  -4.394880e-05
  -2.235718e-06  -1.964768e-06   1.442530e-10   7.449662e-01   6.546824e-01  -4.806670e-05
  -2.103608e-06  -2.101557e-06   1.560261e-10   7.009457e-01   7.002621e-01  -5.198964e-05
  -1.962940e-06  -2.229795e-06   1.671645e-10   6.540733e-01   7.429926e-01  -5.570105e-05
  -1.814260e-06  -2.348933e-06   1.776205e-10   6.045317e-01   7.826907e-01  -5.918512e-05
  -1.658154e-06  -2.458456e-06   1.873494e-10   5.525155e-01   8.191847e-01  -6.242691e-05
  -1.495241e-06  -2.557884e-06   1.963092e-10   4.982310e-01   8.523155e-01  -6.541240e-05
  -1.326172e-06  -2.646782e-06   2.044607e-10   4.418954e-01   8.819372e-01  -6.812858e-05
  -1.151629e-06  -2.724753e-06   2.117682e-10   3.837356e-01   9.079181e-01  -7.056350e-05
  -9.723200e-07  -2.791447e-06   2.181992e-10   3.239878e-01   9.301413e-01  -7.270638e-05
  -7.889770e-07  -2.846560e-06   2.237248e-10   2.628959e-01   9.485054e-01  -7.454760e-05
  -6.023534e-07  -2.889835e-06   2.283202e-10   2.007108e-01   9.629251e-01  -7.607882e-05
  -4.132198e-07  -2.921067e-06   2.319640e-10   1.376894e-01   9.733319e-01  -7.729298e-05
  -2.223609e-07  -2.940101e-06   2.346392e-10   7.409311e-02   9.796742e-01  -7.818437e-05
  -3.057196e-08  -2.946835e-06   2.363327e-10   1.018692e-02   9.819180e-01  -7.874868e-05
   1.613449e-07  -2.941219e-06   2.370359e-10  -5.376190e-02   9.800470e-01  -7.898299e-05
   3.525843e-07  -2.923260e-06   2.367442e-10  -1.174850e-01   9.740628e-01  -7.888581e-05
   5.423419e-07  -2.893016e-06   2.354577e-10  -1.807143e-01   9.639850e-01  -7.845710e-05
   7.298174e-07  -2.850600e-06   2.331804e-10  -2.431833e-01   9.498514e-01  -7.769830e-05
   9.142192e-07  -2.796178e-06   2.299211e-10  -3.046280e-01   9.317175e-01  -7.661227e-05
   1.094768e-06  -2.729971e-06   2.256927e-10  -3.647887e-01   9.096565e-01  -7.520333e-05
   1.270699e-06  -2.652250e-06   2.205125e-10  -4.234110e-01   8.837592e-01  -7.347723e-05
   1.441269e-06  -2.563340e-06   2.144020e-10  -4.802468e-01   8.541332e-01  -7.144112e-05
   1.605757e-06  -2.463612e-06   2.073866e-10  -5.350560e-01   8.209027e-01  -6.910353e-05
   1.763468e-06  -2.353487e-06   1.994961e-10  -5.876071e-01   7.842079e-01  -6.647431e-05
   1.913739e-06  -2.233432e-06   1.907638e-10  -6.376789e-01   7.442042e-01  -6.356460e-05
   2.055937e-06  -2.103956e-06   1.812268e-10  -6.850611e-01   7.010615e-01  -6.038679e-05
   2.189469e-06  -1.965611e-06   1.709259e-10  -7.295553e-01   6.549634e-01  -5.695441e-05
   2.313778e-06  -1.818986e-06   1.599050e-10  -7.709764e-01   6.061063e-01  -5.328211e-05
   2.428349e-06  -1.664705e-06   1.482111e-10  -8.091528e-01   5.546983e-01  -4.938557e-05
   2.532712e-06  -1.503427e-06   1.358941e-10  -8.439276e-01   5.009584e-01  -4.528141e-05
   2.626441e-06  -1.335836e-06   1.230065e-10  -8.751594e-01   4.451152e-01  -4.098714e-05
   2.709160e-06  -1.162644e-06   1.096033e-10  -9.027222e-01   3.874059e-01  -3.652104e-05
   2.780540e-06  -9.845864e-07   9.574133e-11  -9.265069e-01   3.280751e-01  -3.190207e-05
   2.840304e-06  -8.024149e-07   8.147934e-11  -9.464207e-01   2.673736e-01  -2.714982e-05
   2.888224e-06  -6.168974e-07   6.687759e-11  -9.623883e-01   2.055571e-01  -2.228436e-05
   2.924127e-06  -4.288129e-07   5.199755e-11  -9.743517e-01   1.428852e-01  -1.732616e-05
