Method       t0       tn       N         h
 Euler        0    4e+01 1000000     4e-05

x  -  y  -  z  .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   9.607842e-01   2.732302e-01  -1.615334e-05
  -2.860654e-06  -8.919980e-07   5.439395e-11   9.532016e-01   2.972236e-01  -1.812467e-05
  -2.836081e-06  -9.634381e-07   6.027556e-11   9.450136e-01   3.210283e-01  -2.008448e-05
  -2.809705e-06  -1.034266e-06   6.611884e-11   9.362248e-01   3.446288e-01  -2.203153e-05
  -2.781539e-06  -1.104434e-06   7.192000e-11   9.268396e-01   3.680098e-01  -2.396454e-05
  -2.751599e-06  -1.173899e-06   7.767530e-11   9.168634e-01   3.911561e-01  -2.588227e-05
  -2.719902e-06  -1.242613e-06   8.338099e-11   9.063015e-01   4.140525e-01  -2.778347e-05
  -2.686465e-06  -1.310533e-06   8.903334e-11   8.951599e-01   4.366841e-01  -2.966690e-05
  -2.651307e-06  -1.377613e-06   9.462866e-11   8.834450e-01   4.590360e-01  -3.153132e-05
  -2.614449e-06  -1.443810e-06   1.001633e-10   8.711633e-01   4.810935e-01  -3.337552e-05
  -2.575911e-06  -1.509079e-06   1.056335e-10   8.583220e-01   5.028418e-01  -3.519827e-05
  -2.535716e-06  -1.573377e-06   1.110359e-10   8.449286e-01   5.242667e-01  -3.699838e-05
  -2.493887e-06  -1.636662e-06   1.163666e-10   8.309908e-01   5.453538e-01  -3.877466e-05
  -2.450449e-06  -1.698890e-06   1.216223e-10   8.165169e-01   5.660891e-01  -4.052592e-05
  -2.405428e-06  -1.760021e-06   1.267995e-10   8.015154e-01   5.864587e-01  -4.225099e-05
  -2.358851e-06  -1.820014e-06   1.318946e-10   7.859954e-01   6.064488e-01  -4.394873e-05
  -2.310746e-06  -1.878827e-06   1.369042e-10   7.699662e-01   6.260460e-01  -4.561800e-05
  -2.261141e-06  -1.936421e-06   1.418250e-10   7.534374e-01   6.452370e-01  -4.725767e-05
  -2.210068e-06  -1.992757e-06   1.466537e-10   7.364191e-01   6.640088e-01  -4.886664e-05
  -2.157556e-06  -2.047797e-06   1.513869e-10   7.189217e-01   6.823486e-01  -5.044381e-05
  -2.103639e-06  -2.101502e-06   1.560216e-10   7.009560e-01   7.002439e-01  -5.198812e-05
  -2.048350e-06  -2.153837e-06   1.605544e-10   6.825329e-01   7.176823e-01  -5.349851e-05
  -1.991722e-06  -2.204764e-06   1.649824e-10   6.636640e-01   7.346519e-01  -5.497395e-05
  -1.933792e-06  -2.254249e-06   1.693024e-10   6.443609e-01   7.511409e-01  -5.641344e-05
  -1.874595e-06  -2.302258e-06   1.735115e-10   6.246357e-01   7.671378e-01  -5.781596e-05
  -1.814168e-06  -2.348756e-06   1.776068e-10   6.045009e-01   7.826316e-01  -5.918057e-05
  -1.752550e-06  -2.393712e-06   1.815855e-10   5.839690e-01   7.976114e-01  -6.050631e-05
  -1.689779e-06  -2.437094e-06   1.854448e-10   5.630531e-01   8.120667e-01  -6.179226e-05
  -1.625896e-06  -2.478871e-06   1.891819e-10   5.417665e-01   8.259872e-01  -6.303752e-05
  -1.560940e-06  -2.519013e-06   1.927943e-10   5.201227e-01   8.393632e-01  -6.424121e-05
  -1.494955e-06  -2.557493e-06   1.962795e-10   4.981354e-01   8.521850e-01  -6.540250e-05
  -1.427981e-06  -2.594282e-06   1.996349e-10   4.758190e-01   8.644435e-01  -6.652056e-05
  -1.360062e-06  -2.629354e-06   2.028581e-10   4.531876e-01   8.761299e-01  -6.759459e-05
  -1.291241e-06  -2.662684e-06   2.059470e-10   4.302560e-01   8.872358e-01  -6.862383e-05
  -1.221565e-06  -2.694247e-06   2.088992e-10   4.070389e-01   8.977531e-01  -6.960754e-05
  -1.151076e-06  -2.724021e-06   2.117127e-10   3.835514e-01   9.076740e-01  -7.054502e-05
  -1.079823e-06  -2.751983e-06   2.143854e-10   3.598089e-01   9.169914e-01  -7.143559e-05
  -1.007850e-06  -2.778113e-06   2.169153e-10   3.358268e-01   9.256982e-01  -7.227859e-05
  -9.352055e-07  -2.802391e-06   2.193007e-10   3.116209e-01   9.337879e-01  -7.307342e-05
  -8.619370e-07  -2.824799e-06   2.215397e-10   2.872070e-01   9.412545e-01  -7.381948e-05
  -7.880927e-07  -2.845320e-06   2.236307e-10   2.626012e-01   9.480924e-01  -7.451623e-05
  -7.137213e-07  -2.863938e-06   2.255721e-10   2.378199e-01   9.542961e-01  -7.516313e-05
  -6.388721e-07  -2.880639e-06   2.273625e-10   2.128793e-01   9.598609e-01  -7.575972e-05
  -5.635947e-07  -2.895409e-06   2.290006e-10   1.877960e-01   9.647823e-01  -7.630553e-05
  -4.879391e-07  -2.908236e-06   2.304849e-10   1.625867e-01   9.690565e-01  -7.680014e-05
  -4.119558e-07  -2.919110e-06   2.318145e-10   1.372683e-01   9.726798e-01  -7.724317e-05
  -3.356956e-07  -2.928021e-06   2.329882e-10   1.118575e-01   9.756491e-01  -7.763427e-05
  -2.592095e-07  -2.934962e-06   2.340052e-10   8.637149e-02   9.779619e-01  -7.797312e-05
  -1.825488e-07  -2.939926e-06   2.348645e-10   6.082728e-02   9.796158e-01  -7.825945e-05
  -1.057650e-07  -2.942907e-06   2.355654e-10   3.524207e-02   9.806093e-01  -7.849301e-05
  -2.890982e-08  -2.943902e-06   2.361074e-10   9.633072e-03   9.809409e-01  -7.867359e-05
   4.796488e-08  -2.942909e-06   2.364898e-10  -1.598243e-02   9.806099e-01  -7.880103e-05
   1.248071e-07  -2.939926e-06   2.367124e-10  -4.158712e-02   9.796160e-01  -7.887520e-05
   2.015649e-07  -2.934953e-06   2.367748e-10  -6.716367e-02   9.779591e-01  -7.889599e-05
   2.781862e-07  -2.927993e-06   2.366768e-10  -9.269473e-02   9.756399e-01  -7.886334e-05
   3.546189e-07  -2.919049e-06   2.364184e-10  -1.181630e-01   9.726594e-01  -7.877724e-05
   4.308111e-07  -2.908124e-06   2.359997e-10  -1.435510e-01   9.690191e-01  -7.863771e-05
   5.067107e-07  -2.895224e-06   2.354207e-10  -1.688416e-01   9.647209e-01  -7.844479e-05
   5.822662e-07  -2.880358e-06   2.346818e-10  -1.940175e-01   9.597674e-01  -7.819857e-05
   6.574257e-07  -2.863534e-06   2.337833e-10  -2.190615e-01   9.541613e-01  -7.789919e-05
   7.321380e-07  -2.844761e-06   2.327258e-10  -2.439565e-01   9.479060e-01  -7.754681e-05
   8.063518e-07  -2.824052e-06   2.315098e-10  -2.686854e-01   9.410054e-01  -7.714163e-05
   8.800162e-07  -2.801418e-06   2.301361e-10  -2.932312e-01   9.334637e-01  -7.668390e-05
   9.530808e-07  -2.776875e-06   2.286055e-10  -3.175771e-01   9.252857e-01  -7.617390e-05
   1.025495e-06  -2.750438e-06   2.269190e-10  -3.417064e-01   9.164766e-01  -7.561194e-05
   1.097210e-06  -2.722124e-06   2.250776e-10  -3.656025e-01   9.070419e-01  -7.499837e-05
   1.168175e-06  -2.691951e-06   2.230826e-10  -3.892489e-01   8.969879e-01  -7.433359e-05
   1.238342e-06  -2.659938e-06   2.209351e-10  -4.126294e-01   8.863210e-01  -7.361802e-05
   1.307663e-06  -2.626108e-06   2.186366e-10  -4.357278e-01   8.750482e-01  -7.285213e-05
   1.376089e-06  -2.590481e-06   2.161885e-10  -4.585282e-01   8.631770e-01  -7.203641e-05
   1.443574e-06  -2.553082e-06   2.135926e-10  -4.810149e-01   8.507153e-01  -7.117141e-05
   1.510071e-06  -2.513935e-06   2.108504e-10  -5.031723e-01   8.376712e-01  -7.025769e-05
   1.575533e-06  -2.473067e-06   2.079638e-10  -5.249852e-01   8.240534e-01  -6.929586e-05
   1.639917e-06  -2.430505e-06   2.049348e-10  -5.464384e-01   8.098712e-01  -6.828656e-05
   1.703176e-06  -2.386277e-06   2.017654e-10  -5.675172e-01   7.951340e-01  -6.723046e-05
   1.765268e-06  -2.340414e-06   1.984576e-10  -5.882069e-01   7.798518e-01  -6.612829e-05
   1.826150e-06  -2.292945e-06   1.950138e-10  -6.084934e-01   7.640349e-01  -6.498077e-05
   1.885779e-06  -2.243905e-06   1.914362e-10  -6.283625e-01   7.476939e-01  -6.378868e-05
   1.944115e-06  -2.193324e-06   1.877273e-10  -6.478005e-01   7.308400e-01  -6.255283e-05
   2.001116e-06  -2.141239e-06   1.838896e-10  -6.667941e-01   7.134846e-01  -6.127406e-05
   2.056744e-06  -2.087684e-06   1.799257e-10  -6.853300e-01   6.956396e-01  -5.995324e-05
   2.110961e-06  -2.032697e-06   1.758383e-10  -7.033956e-01   6.773171e-01  -5.859127e-05
   2.163728e-06  -1.976314e-06   1.716302e-10  -7.209783e-01   6.585297e-01  -5.718908e-05
   2.215010e-06  -1.918574e-06   1.673042e-10  -7.380660e-01   6.392901e-01  -5.574762e-05
   2.264771e-06  -1.859517e-06   1.628634e-10  -7.546469e-01   6.196117e-01  -5.426789e-05
   2.312977e-06  -1.799183e-06   1.583108e-10  -7.707098e-01   5.995078e-01  -5.275090e-05
   2.359595e-06  -1.737614e-06   1.536494e-10  -7.862434e-01   5.789922e-01  -5.119769e-05
   2.404593e-06  -1.674852e-06   1.488826e-10  -8.012372e-01   5.580791e-01  -4.960933e-05
   2.447940e-06  -1.610939e-06   1.440135e-10  -8.156808e-01   5.367829e-01  -4.798690e-05
   2.489606e-06  -1.545921e-06   1.390456e-10  -8.295645e-01   5.151181e-01  -4.633153e-05
   2.529564e-06  -1.479842e-06   1.339822e-10  -8.428787e-01   4.930997e-01  -4.464436e-05
   2.567785e-06  -1.412747e-06   1.288269e-10  -8.556144e-01   4.707428e-01  -4.292654e-05
   2.604244e-06  -1.344682e-06   1.235831e-10  -8.677628e-01   4.480629e-01  -4.117926e-05
   2.638915e-06  -1.275695e-06   1.182545e-10  -8.793159e-01   4.250756e-01  -3.940373e-05
   2.671777e-06  -1.205832e-06   1.128449e-10  -8.902657e-01   4.017966e-01  -3.760116e-05
   2.702806e-06  -1.135143e-06   1.073578e-10  -9.006050e-01   3.782421e-01  -3.577281e-05
   2.731982e-06  -1.063675e-06   1.017971e-10  -9.103267e-01   3.544282e-01  -3.391993e-05
   2.759285e-06  -9.914777e-07   9.616665e-11  -9.194244e-01   3.303714e-01  -3.204379e-05
   2.784697e-06  -9.186013e-07   9.047029e-11  -9.278921e-01   3.060882e-01  -3.014570e-05
   2.808202e-06  -8.450957e-07   8.471195e-11  -9.357241e-01   2.815953e-01  -2.822696e-05
   2.829784e-06  -7.710113e-07   7.889560e-11  -9.429154e-01   2.569095e-01  -2.628889e-05
   2.849429e-06  -6.963992e-07   7.302525e-11  -9.494613e-01   2.320479e-01  -2.433282e-05
   2.867124e-06  -6.213105e-07   6.710493e-11  -9.553575e-01   2.070276e-01  -2.236011e-05
   2.882858e-06  -5.457970e-07   6.113872e-11  -9.606003e-01   1.818656e-01  -2.037210e-05
   2.896622e-06  -4.699104e-07   5.513072e-11  -9.651866e-01   1.565794e-01  -1.837017e-05
   2.908407e-06  -3.937027e-07   4.908505e-11  -9.691133e-01   1.311861e-01  -1.635568e-05
   2.918205e-06  -3.172261e-07   4.300586e-11  -9.723783e-01   1.057033e-01  -1.433003e-05
   2.926012e-06  -2.405331e-07   3.689732e-11  -9.749797e-01   8.014829e-02  -1.229460e-05
   2.931823e-06  -1.636759e-07   3.076361e-11  -9.769160e-01   5.453864e-02  -1.025078e-05
   2.935636e-06  -8.670723e-08   2.460893e-11  -9.781863e-01   2.889181e-02  -8.199969e-06
   2.937448e-06  -9.679443e-09   1.843748e-11  -9.787903e-01   3.225298e-03  -6.143574e-06
