Method       t0       tn       N         h
 Euler        0    1e+01  100000    0.0001

x  -  y  -  z  .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   9.607842e-01   2.732302e-01  -1.615334e-05
  -2.823087e-06  -9.989245e-07   6.320186e-11   9.406838e-01   3.328527e-01  -2.105956e-05
  -2.751549e-06  -1.173889e-06   7.767483e-11   9.168468e-01   3.911529e-01  -2.588212e-05
  -2.669048e-06  -1.344176e-06   9.183827e-11   8.893564e-01   4.478943e-01  -3.060153e-05
  -2.575878e-06  -1.509089e-06   1.056346e-10   8.583113e-01   5.028454e-01  -3.519862e-05
  -2.472382e-06  -1.667952e-06   1.190074e-10   8.238251e-01   5.557803e-01  -3.965458e-05
  -2.358944e-06  -1.820108e-06   1.319016e-10   7.860262e-01   6.064802e-01  -4.395107e-05
  -2.235992e-06  -1.964923e-06   1.442638e-10   7.450573e-01   6.547340e-01  -4.807030e-05
  -2.103997e-06  -2.101790e-06   1.560425e-10   7.010751e-01   7.003397e-01  -5.199509e-05
  -1.963469e-06  -2.230133e-06   1.671883e-10   6.542496e-01   7.431050e-01  -5.570901e-05
  -1.814957e-06  -2.349407e-06   1.776543e-10   6.047638e-01   7.828484e-01  -5.919639e-05
  -1.659046e-06  -2.459103e-06   1.873960e-10   5.528127e-01   8.194003e-01  -6.244243e-05
  -1.496356e-06  -2.558749e-06   1.963719e-10   4.986025e-01   8.526037e-01  -6.543329e-05
  -1.327537e-06  -2.647915e-06   2.045434e-10   4.423501e-01   8.823148e-01  -6.815615e-05
  -1.153270e-06  -2.726213e-06   2.118754e-10   3.842822e-01   9.084043e-01  -7.059924e-05
  -9.742591e-07  -2.793298e-06   2.183360e-10   3.246339e-01   9.307578e-01  -7.275198e-05
  -7.912347e-07  -2.848874e-06   2.238970e-10   2.636482e-01   9.492764e-01  -7.460496e-05
  -6.049452e-07  -2.892693e-06   2.285340e-10   2.015745e-01   9.638774e-01  -7.615006e-05
  -4.161556e-07  -2.924557e-06   2.322264e-10   1.386677e-01   9.744947e-01  -7.738043e-05
  -2.256441e-07  -2.944318e-06   2.349579e-10   7.518712e-02   9.810794e-01  -7.829058e-05
  -3.419791e-08  -2.951882e-06   2.367160e-10   1.139512e-02   9.835998e-01  -7.887640e-05
   1.573900e-07  -2.947206e-06   2.374926e-10  -5.244408e-02   9.820418e-01  -7.913517e-05
   3.483247e-07  -2.930302e-06   2.372838e-10  -1.160657e-01   9.764091e-01  -7.906560e-05
   5.378135e-07  -2.901234e-06   2.360900e-10  -1.792054e-01   9.667232e-01  -7.866780e-05
   7.250690e-07  -2.860118e-06   2.339158e-10  -2.416010e-01   9.530232e-01  -7.794336e-05
   9.093136e-07  -2.807126e-06   2.307703e-10  -3.029934e-01   9.353656e-01  -7.689524e-05
   1.089783e-06  -2.742479e-06   2.266667e-10  -3.631277e-01   9.138243e-01  -7.552786e-05
   1.265729e-06  -2.666448e-06   2.216222e-10  -4.217549e-01   8.884901e-01  -7.384698e-05
   1.436424e-06  -2.579356e-06   2.156584e-10  -4.786325e-01   8.594702e-01  -7.185977e-05
   1.601165e-06  -2.481573e-06   2.088006e-10  -5.335261e-01   8.268875e-01  -6.957468e-05
   1.759276e-06  -2.373512e-06   2.010781e-10  -5.862102e-01   7.908805e-01  -6.700146e-05
   1.910109e-06  -2.255633e-06   1.925239e-10  -6.364696e-01   7.516020e-01  -6.415109e-05
   2.053052e-06  -2.128436e-06   1.831743e-10  -6.840998e-01   7.092186e-01  -6.103571e-05
   2.187527e-06  -1.992460e-06   1.730692e-10  -7.289083e-01   6.639098e-01  -5.766857e-05
   2.312994e-06  -1.848279e-06   1.622514e-10  -7.707154e-01   6.158672e-01  -5.406397e-05
   2.428956e-06  -1.696502e-06   1.507667e-10  -8.093550e-01   5.652933e-01  -5.023715e-05
   2.534954e-06  -1.537766e-06   1.386637e-10  -8.446748e-01   5.124007e-01  -4.620427e-05
   2.630578e-06  -1.372736e-06   1.259931e-10  -8.765376e-01   4.574108e-01  -4.198229e-05
   2.715460e-06  -1.202100e-06   1.128080e-10  -9.048214e-01   4.005531e-01  -3.758887e-05
   2.789281e-06  -1.026568e-06   9.916335e-11  -9.294196e-01   3.420637e-01  -3.304233e-05
   2.851771e-06  -8.468640e-07   8.511582e-11  -9.502417e-01   2.821845e-01  -2.836154e-05
   2.902705e-06  -6.637287e-07   7.072339e-11  -9.672137e-01   2.211618e-01  -2.356582e-05
   2.941911e-06  -4.779112e-07   5.604517e-11  -9.802775e-01   1.592453e-01  -1.867487e-05
   2.969264e-06  -2.901678e-07   4.114110e-11  -9.893917e-01   9.668713e-02  -1.370867e-05
   2.984689e-06  -1.012584e-07   2.607174e-11  -9.945314e-01   3.374041e-02  -8.687393e-06
   2.988159e-06   8.805701e-08   1.089793e-11  -9.956879e-01  -2.934157e-02  -3.631310e-06
   2.979699e-06   2.770212e-07  -4.319435e-12  -9.928687e-01  -9.230653e-02   1.439284e-06
   2.959377e-06   4.648830e-07  -1.951963e-11  -9.860974e-01  -1.549042e-01   6.504158e-06
   2.927313e-06   6.509006e-07  -3.464241e-11  -9.754131e-01  -2.168873e-01   1.154323e-05
   2.883669e-06   8.343438e-07  -4.962818e-11  -9.608705e-01  -2.780126e-01   1.653666e-05
   2.828654e-06   1.014497e-06  -6.441828e-11  -9.425388e-01  -3.380418e-01   2.146489e-05
   2.762519e-06   1.190663e-06  -7.895519e-11  -9.205019e-01  -3.967422e-01   2.630875e-05
   2.685558e-06   1.362164e-06  -9.318272e-11  -8.948578e-01  -4.538880e-01   3.104952e-05
   2.598105e-06   1.528342e-06  -1.070462e-10  -8.657175e-01  -5.092607e-01   3.566899e-05
   2.500533e-06   1.688569e-06  -1.204928e-10  -8.332052e-01  -5.626499e-01   4.014954e-05
   2.393249e-06   1.842238e-06  -1.334715e-10  -7.974571e-01  -6.138541e-01   4.447418e-05
   2.276698e-06   1.988773e-06  -1.459333e-10  -7.586209e-01  -6.626813e-01   4.862661e-05
   2.151355e-06   2.127629e-06  -1.578317e-10  -7.168552e-01  -7.089497e-01   5.259127e-05
   2.017726e-06   2.258292e-06  -1.691223e-10  -6.723288e-01  -7.524881e-01   5.635341e-05
   1.876348e-06   2.380281e-06  -1.797632e-10  -6.252200e-01  -7.931362e-01   5.989911e-05
   1.727780e-06   2.493151e-06  -1.897155e-10  -5.757156e-01  -8.307455e-01   6.321531e-05
   1.572609e-06   2.596491e-06  -1.989427e-10  -5.240106e-01  -8.651797e-01   6.628990e-05
   1.411439e-06   2.689929e-06  -2.074111e-10  -4.703072e-01  -8.963143e-01   6.911168e-05
   1.244898e-06   2.773131e-06  -2.150902e-10  -4.148139e-01  -9.240380e-01   7.167046e-05
   1.073629e-06   2.845800e-06  -2.219525e-10  -3.577450e-01  -9.482521e-01   7.395702e-05
   8.982887e-07   2.907680e-06  -2.279732e-10  -2.993198e-01  -9.688713e-01   7.596321e-05
   7.195487e-07   2.958555e-06  -2.331311e-10  -2.397616e-01  -9.858234e-01   7.768188e-05
   5.380891e-07   2.998249e-06  -2.374080e-10  -1.792973e-01  -9.990499e-01   7.910698e-05
   3.545986e-07   3.026627e-06  -2.407889e-10  -1.181562e-01  -1.008506e+00   8.023352e-05
   1.697712e-07   3.043596e-06  -2.432620e-10  -5.656963e-02  -1.014160e+00   8.105759e-05
  -1.569575e-08   3.049102e-06  -2.448190e-10   5.229998e-03  -1.015994e+00   8.157639e-05
  -2.011037e-07   3.043133e-06  -2.454547e-10   6.700998e-02  -1.014006e+00   8.178821e-05
  -3.857554e-07   3.025721e-06  -2.451673e-10   1.285380e-01  -1.008204e+00   8.169245e-05
  -5.689570e-07   2.996934e-06  -2.439582e-10   1.895828e-01  -9.986116e-01   8.128959e-05
  -7.500203e-07   2.956884e-06  -2.418324e-10   2.499151e-01  -9.852665e-01   8.058123e-05
  -9.282652e-07   2.905722e-06  -2.387977e-10   3.093083e-01  -9.682188e-01   7.957005e-05
  -1.103021e-06   2.843639e-06  -2.348655e-10   3.675389e-01  -9.475321e-01   7.825980e-05
  -1.273630e-06   2.770865e-06  -2.300503e-10   4.243876e-01  -9.232830e-01   7.665533e-05
  -1.439448e-06   2.687668e-06  -2.243698e-10   4.796401e-01  -8.955609e-01   7.476251e-05
  -1.599848e-06   2.594355e-06  -2.178447e-10   5.330870e-01  -8.644678e-01   7.258828e-05
  -1.754220e-06   2.491268e-06  -2.104989e-10   5.845256e-01  -8.301180e-01   7.014058e-05
  -1.901977e-06   2.378785e-06  -2.023593e-10   6.337597e-01  -7.926376e-01   6.742836e-05
  -2.042551e-06   2.257320e-06  -1.934555e-10   6.806007e-01  -7.521642e-01   6.446154e-05
  -2.175402e-06   2.127320e-06  -1.838203e-10   7.248682e-01  -7.088468e-01   6.125097e-05
  -2.300015e-06   1.989264e-06  -1.734890e-10   7.663904e-01  -6.628449e-01   5.780845e-05
  -2.415902e-06   1.843661e-06  -1.624994e-10   8.050052e-01  -6.143284e-01   5.414662e-05
  -2.522606e-06   1.691052e-06  -1.508923e-10   8.405603e-01  -5.634771e-01   5.027900e-05
  -2.619703e-06   1.532001e-06  -1.387105e-10   8.729141e-01  -5.104799e-01   4.621989e-05
  -2.706801e-06   1.367104e-06  -1.259994e-10   9.019361e-01  -4.555344e-01   4.198439e-05
  -2.783544e-06   1.196978e-06  -1.128062e-10   9.275078e-01  -3.988463e-01   3.758827e-05
  -2.849612e-06   1.022261e-06  -9.918043e-11   9.495225e-01  -3.406287e-01   3.304802e-05
  -2.904725e-06   8.436145e-07  -8.517339e-11   9.678866e-01  -2.811017e-01   2.838072e-05
  -2.948641e-06   6.617163e-07  -7.083804e-11   9.825197e-01  -2.204912e-01   2.360402e-05
  -2.981158e-06   4.772606e-07  -5.622891e-11   9.933550e-01  -1.590285e-01   1.873610e-05
  -3.002119e-06   2.909552e-07  -4.140184e-11   1.000340e+00  -9.694950e-02   1.379555e-05
  -3.011409e-06   1.035190e-07  -2.641383e-11   1.003435e+00  -3.449367e-02   8.801382e-06
  -3.008957e-06  -8.432051e-08  -1.132286e-11   1.002618e+00   2.809653e-02   3.772903e-06
  -2.994736e-06  -2.718298e-07   3.812367e-12   9.978792e-01   9.057672e-02  -1.270323e-06
  -2.968766e-06  -4.582723e-07   1.893261e-11   9.892256e-01   1.527014e-01  -6.308555e-06
  -2.931112e-06  -6.429109e-07   3.397831e-11   9.766790e-01   2.142251e-01  -1.132195e-05
  -2.881887e-06  -8.250110e-07   4.888983e-11   9.602767e-01   2.749028e-01  -1.629064e-05
  -2.821249e-06  -1.003844e-06   6.360772e-11   9.400715e-01   3.344918e-01  -2.119480e-05
  -2.749403e-06  -1.178688e-06   7.807288e-11   9.161317e-01   3.927518e-01  -2.601475e-05
  -2.666601e-06  -1.348834e-06   9.222688e-11   8.885412e-01   4.494466e-01  -3.073102e-05
  -2.573140e-06  -1.513589e-06   1.060122e-10   8.573989e-01   5.043447e-01  -3.532444e-05
  -2.469362e-06  -1.672274e-06   1.193724e-10   8.228188e-01   5.572204e-01  -3.977621e-05
  -2.355653e-06  -1.824234e-06   1.322525e-10   7.849298e-01   6.078551e-01  -4.406801e-05
  -2.232444e-06  -1.968836e-06   1.445992e-10   7.438750e-01   6.560381e-01  -4.818207e-05
  -2.100204e-06  -2.105474e-06   1.563610e-10   6.998114e-01   7.015674e-01  -5.210122e-05
  -1.959447e-06  -2.233572e-06   1.674886e-10   6.529095e-01   7.442511e-01  -5.580906e-05
  -1.810722e-06  -2.352587e-06   1.779350e-10   6.033525e-01   7.839081e-01  -5.928992e-05
  -1.654614e-06  -2.462010e-06   1.876560e-10   5.513357e-01   8.203690e-01  -6.252905e-05
  -1.491744e-06  -2.561371e-06   1.966100e-10   4.970658e-01   8.534771e-01  -6.551264e-05
  -1.322765e-06  -2.650240e-06   2.047587e-10   4.407599e-01   8.830893e-01  -6.822787e-05
  -1.148356e-06  -2.728230e-06   2.120669e-10   3.826449e-01   9.090764e-01  -7.066303e-05
  -9.692237e-07  -2.794999e-06   2.185028e-10   3.229561e-01   9.313246e-01  -7.280756e-05
  -7.860984e-07  -2.850251e-06   2.240384e-10   2.619367e-01   9.497354e-01  -7.465209e-05
  -5.997290e-07  -2.893741e-06   2.286494e-10   1.998364e-01   9.642265e-01  -7.618853e-05
  -4.108810e-07  -2.925270e-06   2.323154e-10   1.369101e-01   9.747324e-01  -7.741007e-05
  -2.203328e-07  -2.944693e-06   2.350200e-10   7.341734e-02   9.812044e-01  -7.831126e-05
  -2.887198e-08  -2.951917e-06   2.367509e-10   9.620465e-03   9.836116e-01  -7.888802e-05
   1.627085e-07  -2.946901e-06   2.375001e-10  -5.421627e-02   9.819402e-01  -7.913768e-05
   3.536137e-07  -2.929658e-06   2.372639e-10  -1.178280e-01   9.761946e-01  -7.905897e-05
   5.430510e-07  -2.900253e-06   2.360428e-10  -1.809506e-01   9.663965e-01  -7.865207e-05
   7.302334e-07  -2.858805e-06   2.338415e-10  -2.433219e-01   9.525856e-01  -7.791859e-05
   9.143833e-07  -2.805486e-06   2.306692e-10  -3.046827e-01   9.348190e-01  -7.686153e-05
   1.094737e-06  -2.740518e-06   2.265391e-10  -3.647784e-01   9.131711e-01  -7.548535e-05
   1.270547e-06  -2.664176e-06   2.214688e-10  -4.233602e-01   8.877329e-01  -7.379586e-05
   1.441086e-06  -2.576782e-06   2.154798e-10  -4.801858e-01   8.586122e-01  -7.180025e-05
   1.605652e-06  -2.478706e-06   2.085975e-10  -5.350210e-01   8.259325e-01  -6.950701e-05
   1.763569e-06  -2.370367e-06   2.008515e-10  -5.876407e-01   7.898325e-01  -6.692594e-05
   1.914191e-06  -2.252222e-06   1.922746e-10  -6.378297e-01   7.504653e-01  -6.406803e-05
   2.056906e-06  -2.124774e-06   1.829035e-10  -6.853840e-01   7.079982e-01  -6.094547e-05
   2.191138e-06  -1.988562e-06   1.727780e-10  -7.301114e-01   6.626108e-01  -5.757154e-05
   2.316348e-06  -1.844161e-06   1.619410e-10  -7.718327e-01   6.144950e-01  -5.396055e-05
