Method       t0       tn       N         h
 Euler        0    1e+02  100000     0.001

x  -  y  -  z  .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   9.607842e-01   2.732302e-01  -1.615334e-05
  -1.807959e-06  -2.346596e-06   1.774708e-10   6.024319e-01   7.819117e-01  -5.913523e-05
  -1.511987e-08  -2.934172e-06   2.354093e-10   5.038108e-03   9.776988e-01  -7.844100e-05
   1.780525e-06  -2.313735e-06   1.964081e-10  -5.932906e-01   7.709621e-01  -6.544535e-05
   2.830052e-06  -7.254449e-07   7.524000e-11  -9.430046e-01   2.417263e-01  -2.507080e-05
   2.698092e-06   1.167416e-06  -7.747671e-11  -8.990343e-01  -3.889961e-01   2.581610e-05
   1.460799e-06   2.586219e-06  -1.987905e-10  -4.867545e-01  -8.617570e-01   6.623919e-05
  -3.583968e-07   2.984957e-06  -2.417310e-10   1.194218e-01  -9.946208e-01   8.054747e-05
  -2.046417e-06   2.249459e-06  -1.928478e-10   6.818888e-01  -7.495447e-01   6.425903e-05
  -2.989397e-06   6.889704e-07  -7.327053e-11   9.961004e-01  -2.295726e-01   2.441455e-05
  -2.871772e-06  -1.118606e-06   7.251492e-11   9.569064e-01   3.727319e-01  -2.416278e-05
  -1.750058e-06  -2.535959e-06   1.930174e-10   5.831386e-01   8.450097e-01  -6.431554e-05
  -1.696591e-08  -3.065617e-06   2.459481e-10   5.653231e-03   1.021498e+00  -8.195264e-05
   1.719422e-06  -2.504517e-06   2.113531e-10  -5.729306e-01   8.345328e-01  -7.042520e-05
   2.821706e-06  -1.027156e-06   9.940553e-11  -9.402238e-01   3.422598e-01  -3.312303e-05
   2.846401e-06   8.371258e-07  -5.007553e-11  -9.484525e-01  -2.789396e-01   1.668572e-05
   1.742920e-06   2.364472e-06  -1.792965e-10  -5.807603e-01  -7.878682e-01   5.974360e-05
  -7.255795e-08   2.919705e-06  -2.347753e-10   2.417711e-02  -9.728781e-01   7.822974e-05
