Method       t0       tn       N         h
 Euler        0        3  100000     3e-05

x  -  y  -  z  .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   9.607842e-01   2.732302e-01  -1.615334e-05
  -2.866515e-06  -8.740486e-07   5.291807e-11   9.551547e-01   2.912427e-01  -1.763289e-05
  -2.848597e-06  -9.277939e-07   5.733945e-11   9.491842e-01   3.091512e-01  -1.910614e-05
  -2.829661e-06  -9.812075e-07   6.174035e-11   9.428746e-01   3.269492e-01  -2.057257e-05
  -2.809713e-06  -1.034270e-06   6.611916e-11   9.362276e-01   3.446303e-01  -2.203164e-05
  -2.788759e-06  -1.086963e-06   7.047429e-11   9.292455e-01   3.621880e-01  -2.348282e-05
  -2.766805e-06  -1.139265e-06   7.480416e-11   9.219302e-01   3.796158e-01  -2.492558e-05
  -2.743859e-06  -1.191159e-06   7.910719e-11   9.142842e-01   3.969075e-01  -2.635939e-05
  -2.719927e-06  -1.242625e-06   8.338181e-11   9.063097e-01   4.140566e-01  -2.778374e-05
  -2.695017e-06  -1.293645e-06   8.762645e-11   8.980095e-01   4.310568e-01  -2.919810e-05
  -2.669137e-06  -1.344198e-06   9.183955e-11   8.893860e-01   4.479018e-01  -3.060196e-05
  -2.642295e-06  -1.394268e-06   9.601956e-11   8.804421e-01   4.645855e-01  -3.199478e-05
  -2.614501e-06  -1.443835e-06   1.001649e-10   8.711807e-01   4.811017e-01  -3.337607e-05
  -2.585763e-06  -1.492880e-06   1.042742e-10   8.616048e-01   4.974442e-01  -3.474531e-05
  -2.556090e-06  -1.541386e-06   1.083457e-10   8.517176e-01   5.136069e-01  -3.610200e-05
  -2.525493e-06  -1.589334e-06   1.123781e-10   8.415222e-01   5.295839e-01  -3.744562e-05
  -2.493981e-06  -1.636707e-06   1.163697e-10   8.310222e-01   5.453691e-01  -3.877569e-05
  -2.461566e-06  -1.683487e-06   1.203192e-10   8.202210e-01   5.609566e-01  -4.009171e-05
  -2.428257e-06  -1.729656e-06   1.242251e-10   8.091223e-01   5.763407e-01  -4.139318e-05
  -2.394067e-06  -1.775197e-06   1.280858e-10   7.977297e-01   5.915154e-01  -4.267961e-05
  -2.359006e-06  -1.820093e-06   1.319000e-10   7.860471e-01   6.064751e-01  -4.395054e-05
  -2.323088e-06  -1.864326e-06   1.356662e-10   7.740785e-01   6.212142e-01  -4.520547e-05
