Method       t0       tn       N         h
 Euler        0    1e+01   10000     0.001

x  -  y  -  z  .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   9.607842e-01   2.732302e-01  -1.615334e-05
  -2.877836e-06  -8.380299e-07   4.995910e-11   9.589270e-01   2.792409e-01  -1.664693e-05
  -2.872149e-06  -8.560352e-07   5.143842e-11   9.570319e-01   2.852404e-01  -1.713985e-05
  -2.866348e-06  -8.740066e-07   5.291571e-11   9.550988e-01   2.912287e-01  -1.763210e-05
  -2.860432e-06  -8.919433e-07   5.439089e-11   9.531278e-01   2.972054e-01  -1.812365e-05
  -2.854404e-06  -9.098447e-07   5.586392e-11   9.511190e-01   3.031703e-01  -1.861448e-05
  -2.848262e-06  -9.277099e-07   5.733473e-11   9.490725e-01   3.091232e-01  -1.910457e-05
  -2.842007e-06  -9.455383e-07   5.880326e-11   9.469883e-01   3.150638e-01  -1.959390e-05
  -2.835639e-06  -9.633291e-07   6.026946e-11   9.448664e-01   3.209919e-01  -2.008245e-05
  -2.829159e-06  -9.810816e-07   6.173326e-11   9.427071e-01   3.269073e-01  -2.057021e-05
  -2.822566e-06  -9.987952e-07   6.319461e-11   9.405102e-01   3.328096e-01  -2.105715e-05
  -2.815860e-06  -1.016469e-06   6.465345e-11   9.382759e-01   3.386988e-01  -2.154325e-05
  -2.809043e-06  -1.034102e-06   6.610971e-11   9.360044e-01   3.445744e-01  -2.202849e-05
  -2.802114e-06  -1.051695e-06   6.756335e-11   9.336955e-01   3.504363e-01  -2.251286e-05
  -2.795074e-06  -1.069245e-06   6.901429e-11   9.313495e-01   3.562843e-01  -2.299633e-05
  -2.787922e-06  -1.086753e-06   7.046249e-11   9.289664e-01   3.621181e-01  -2.347888e-05
  -2.780659e-06  -1.104217e-06   7.190788e-11   9.265463e-01   3.679375e-01  -2.396050e-05
  -2.773285e-06  -1.121638e-06   7.335040e-11   9.240893e-01   3.737422e-01  -2.444117e-05
  -2.765801e-06  -1.139014e-06   7.479000e-11   9.215955e-01   3.795320e-01  -2.492086e-05
  -2.758206e-06  -1.156344e-06   7.622661e-11   9.190648e-01   3.853066e-01  -2.539955e-05
  -2.750501e-06  -1.173628e-06   7.766019e-11   9.164976e-01   3.910659e-01  -2.587724e-05
  -2.742687e-06  -1.190866e-06   7.909066e-11   9.138937e-01   3.968096e-01  -2.635389e-05
  -2.734763e-06  -1.208055e-06   8.051798e-11   9.112534e-01   4.025375e-01  -2.682949e-05
  -2.726730e-06  -1.225197e-06   8.194208e-11   9.085766e-01   4.082492e-01  -2.730401e-05
  -2.718588e-06  -1.242290e-06   8.336291e-11   9.058636e-01   4.139447e-01  -2.777745e-05
  -2.710337e-06  -1.259333e-06   8.478041e-11   9.031143e-01   4.196236e-01  -2.824977e-05
  -2.701978e-06  -1.276325e-06   8.619451e-11   9.003290e-01   4.252857e-01  -2.872097e-05
  -2.693511e-06  -1.293267e-06   8.760517e-11   8.975076e-01   4.309309e-01  -2.919102e-05
  -2.684936e-06  -1.310157e-06   8.901233e-11   8.946503e-01   4.365587e-01  -2.965990e-05
  -2.676253e-06  -1.326994e-06   9.041592e-11   8.917572e-01   4.421691e-01  -3.012759e-05
  -2.667463e-06  -1.343778e-06   9.181589e-11   8.888284e-01   4.477618e-01  -3.059407e-05
  -2.658567e-06  -1.360509e-06   9.321218e-11   8.858640e-01   4.533366e-01  -3.105933e-05
  -2.649564e-06  -1.377185e-06   9.460474e-11   8.828642e-01   4.588932e-01  -3.152335e-05
  -2.640455e-06  -1.393805e-06   9.599350e-11   8.798289e-01   4.644314e-01  -3.198610e-05
  -2.631240e-06  -1.410370e-06   9.737842e-11   8.767583e-01   4.699510e-01  -3.244757e-05
  -2.621919e-06  -1.426878e-06   9.875943e-11   8.736526e-01   4.754517e-01  -3.290774e-05
  -2.612493e-06  -1.443329e-06   1.001365e-10   8.705118e-01   4.809334e-01  -3.336659e-05
  -2.602963e-06  -1.459723e-06   1.015095e-10   8.673361e-01   4.863958e-01  -3.382409e-05
