Method       t0       tn       N         h
 Euler        0        1    1000     0.001

x  -  y  -  z  .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   9.607842e-01   2.732302e-01  -1.615334e-05
  -2.877831e-06  -8.380461e-07   4.996043e-11   9.589253e-01   2.792463e-01  -1.664737e-05
  -2.872138e-06  -8.560676e-07   5.144108e-11   9.570283e-01   2.852512e-01  -1.714074e-05
  -2.866331e-06  -8.740550e-07   5.291969e-11   9.550933e-01   2.912448e-01  -1.763343e-05
  -2.860410e-06  -8.920077e-07   5.439619e-11   9.531204e-01   2.972269e-01  -1.812541e-05
  -2.854375e-06  -9.099248e-07   5.587053e-11   9.511095e-01   3.031971e-01  -1.861668e-05
  -2.848227e-06  -9.278058e-07   5.734264e-11   9.490607e-01   3.091552e-01  -1.910720e-05
  -2.841965e-06  -9.456498e-07   5.881247e-11   9.469742e-01   3.151010e-01  -1.959697e-05
  -2.835590e-06  -9.634562e-07   6.027996e-11   9.448499e-01   3.210343e-01  -2.008595e-05
  -2.829101e-06  -9.812242e-07   6.174505e-11   9.426880e-01   3.269548e-01  -2.057414e-05
  -2.822501e-06  -9.989530e-07   6.320767e-11   9.404885e-01   3.328622e-01  -2.106150e-05
  -2.815787e-06  -1.016642e-06   6.466778e-11   9.382515e-01   3.387564e-01  -2.154802e-05
  -2.808961e-06  -1.034290e-06   6.612530e-11   9.359771e-01   3.446371e-01  -2.203368e-05
  -2.802023e-06  -1.051898e-06   6.758018e-11   9.336653e-01   3.505040e-01  -2.251847e-05
  -2.794973e-06  -1.069463e-06   6.903237e-11   9.313162e-01   3.563569e-01  -2.300235e-05
  -2.787812e-06  -1.086985e-06   7.048180e-11   9.289299e-01   3.621955e-01  -2.348532e-05
  -2.780539e-06  -1.104464e-06   7.192841e-11   9.265065e-01   3.680197e-01  -2.396734e-05
  -2.773155e-06  -1.121899e-06   7.337214e-11   9.240460e-01   3.738292e-01  -2.444841e-05
  -2.765660e-06  -1.139289e-06   7.481294e-11   9.215486e-01   3.796237e-01  -2.492850e-05
  -2.758054e-06  -1.156633e-06   7.625074e-11   9.190142e-01   3.854030e-01  -2.540759e-05
  -2.750338e-06  -1.173931e-06   7.768550e-11   9.164431e-01   3.911669e-01  -2.588567e-05
