Method       t0       tn       N         h
 Euler        0    1e+01    1000      0.01

x  -  y  -  z  .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   9.607842e-01   2.732302e-01  -1.615334e-05
  -2.817324e-06  -9.976099e-07   6.313099e-11   9.387637e-01   3.324147e-01  -2.103595e-05
  -2.739955e-06  -1.171233e-06   7.753135e-11   9.129834e-01   3.902678e-01  -2.583431e-05
  -2.651513e-06  -1.340123e-06   9.161838e-11   8.835135e-01   4.465438e-01  -3.052826e-05
  -2.552259e-06  -1.503548e-06   1.053319e-10   8.504412e-01   5.009990e-01  -3.509774e-05
  -2.442507e-06  -1.660789e-06   1.186120e-10   8.138705e-01   5.533933e-01  -3.952284e-05
  -2.322620e-06  -1.811138e-06   1.314000e-10   7.739226e-01   6.034913e-01  -4.378395e-05
  -2.193012e-06  -1.953908e-06   1.436381e-10   7.307361e-01   6.510638e-01  -4.786182e-05
  -2.054152e-06  -2.088433e-06   1.552702e-10   6.844661e-01   6.958891e-01  -5.173774e-05
  -1.906553e-06  -2.214075e-06   1.662417e-10   6.352847e-01   7.377543e-01  -5.539358e-05
  -1.750782e-06  -2.330226e-06   1.765007e-10   5.833801e-01   7.764572e-01  -5.881198e-05
  -1.587451e-06  -2.436315e-06   1.859975e-10   5.289563e-01   8.118071e-01  -6.197642e-05
  -1.417217e-06  -2.531809e-06   1.946854e-10   4.722324e-01   8.436268e-01  -6.487134e-05
  -1.240779e-06  -2.616220e-06   2.025212e-10   4.134413e-01   8.717536e-01  -6.748230e-05
  -1.058876e-06  -2.689109e-06   2.094650e-10   3.528292e-01   8.960410e-01  -6.979605e-05
  -8.722830e-07  -2.750087e-06   2.154809e-10   2.906544e-01   9.163595e-01  -7.180064e-05
  -6.818065e-07  -2.798821e-06   2.205376e-10   2.271855e-01   9.325981e-01  -7.348556e-05
  -4.882803e-07  -2.835035e-06   2.246077e-10   1.627004e-01   9.446653e-01  -7.484179e-05
  -2.925611e-07  -2.858518e-06   2.276692e-10   9.748462e-02   9.524899e-01  -7.586190e-05
  -9.552354e-08  -2.869118e-06   2.297046e-10   3.182950e-02   9.560220e-01  -7.654012e-05
   1.019458e-07  -2.866751e-06   2.307018e-10  -3.396947e-02   9.552332e-01  -7.687241e-05
   2.989533e-07  -2.851398e-06   2.306540e-10  -9.961456e-02   9.501175e-01  -7.685649e-05
   4.946045e-07  -2.823108e-06   2.295598e-10  -1.648077e-01   9.406910e-01  -7.649186e-05
   6.880095e-07  -2.781998e-06   2.274230e-10  -2.292524e-01   9.269925e-01  -7.577986e-05
   8.782889e-07  -2.728249e-06   2.242530e-10  -2.926556e-01   9.090828e-01  -7.472360e-05
   1.064580e-06  -2.662110e-06   2.200647e-10  -3.547298e-01   8.870447e-01  -7.332800e-05
   1.246041e-06  -2.583894e-06   2.148780e-10  -4.151947e-01   8.609823e-01  -7.159973e-05
   1.421858e-06  -2.493975e-06   2.087180e-10  -4.737790e-01   8.310202e-01  -6.954716e-05
   1.591250e-06  -2.392785e-06   2.016148e-10  -5.302223e-01   7.973027e-01  -6.718030e-05
   1.753472e-06  -2.280814e-06   1.936031e-10  -5.842763e-01   7.599925e-01  -6.451072e-05
   1.907820e-06  -2.158600e-06   1.847221e-10  -6.357068e-01   7.192696e-01  -6.155147e-05
   2.053636e-06  -2.026734e-06   1.750150e-10  -6.842944e-01   6.753302e-01  -5.831696e-05
   2.190311e-06  -1.885846e-06   1.645289e-10  -7.298360e-01   6.283847e-01  -5.482286e-05
   2.317287e-06  -1.736606e-06   1.533142e-10  -7.721456e-01   5.786565e-01  -5.108599e-05
   2.434059e-06  -1.579721e-06   1.414244e-10  -8.110554e-01   5.263805e-01  -4.712418e-05
   2.540179e-06  -1.415922e-06   1.289157e-10  -8.464159e-01   4.718009e-01  -4.295615e-05
   2.635257e-06  -1.245968e-06   1.158466e-10  -8.780969e-01   4.151703e-01  -3.860138e-05
   2.718959e-06  -1.070635e-06   1.022774e-10  -9.059872e-01   3.567474e-01  -3.407998e-05
   2.791009e-06  -8.907142e-07   8.826998e-11  -9.299953e-01   2.967958e-01  -2.941254e-05
   2.851192e-06  -7.070062e-07   7.388718e-11  -9.500489e-01   2.355823e-01  -2.462003e-05
   2.899349e-06  -5.203159e-07   5.919273e-11  -9.660952e-01   1.733750e-01  -1.972367e-05
   2.935377e-06  -3.314491e-07   4.425065e-11  -9.781001e-01   1.104425e-01  -1.474481e-05
   2.959229e-06  -1.412074e-07   2.912503e-11  -9.860479e-01   4.705189e-02  -9.704784e-06
   2.970913e-06   4.961484e-08   1.387965e-11  -9.899411e-01  -1.653221e-02  -4.624853e-06
   2.970488e-06   2.402349e-07  -1.422303e-12  -9.897995e-01  -8.004894e-02   4.739272e-07
   2.958063e-06   4.298845e-07  -1.671851e-11  -9.856595e-01  -1.432423e-01   5.570793e-06
   2.933796e-06   6.178131e-07  -3.194779e-11  -9.775735e-01  -2.058622e-01   1.064536e-05
   2.897890e-06   8.032906e-07  -4.705031e-11  -9.656090e-01  -2.676653e-01   1.567769e-05
   2.850589e-06   9.856096e-07  -6.196784e-11  -9.498480e-01  -3.284161e-01   2.064837e-05
   2.792181e-06   1.164088e-06  -7.664390e-11  -9.303856e-01  -3.878871e-01   2.553860e-05
   2.722988e-06   1.338070e-06  -9.102394e-11  -9.073298e-01  -4.458599e-01   3.033019e-05
   2.643370e-06   1.506930e-06  -1.050555e-10  -8.808004e-01  -5.021258e-01   3.500566e-05
   2.553720e-06   1.670070e-06  -1.186883e-10  -8.509278e-01  -5.564859e-01   3.954827e-05
   2.454458e-06   1.826925e-06  -1.318744e-10  -8.178527e-01  -6.087516e-01   4.394203e-05
   2.346035e-06   1.976960e-06  -1.445683e-10  -7.817249e-01  -6.587451e-01   4.817177e-05
   2.228925e-06   2.119675e-06  -1.567269e-10  -7.427025e-01  -7.062993e-01   5.222315e-05
   2.103626e-06   2.254603e-06  -1.683097e-10  -7.009514e-01  -7.512586e-01   5.608265e-05
   1.970655e-06   2.381308e-06  -1.792786e-10  -6.566441e-01  -7.934782e-01   5.973763e-05
