Method       t0       tn       N         h
 Euler        0    1e+02  200000    0.0005

x  -  y  -  z  -  vx  -  vy  -  vz .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   5.458678e-06  -1.806922e-05   1.483076e-09   9.607842e-01   2.732302e-01  -1.615334e-05  -1.818892e+00   6.020864e+00  -4.941775e-04
  -2.473991e-06  -1.668899e-06   1.190737e-10   1.084823e-05  -1.557357e-05   1.315176e-09   8.243612e-01   5.560957e-01  -3.967667e-05  -3.614749e+00   5.189288e+00  -4.382312e-04
  -1.817963e-06  -2.352340e-06   1.778716e-10   1.522408e-05  -1.148454e-05   1.013294e-09   6.057655e-01   7.838257e-01  -5.926880e-05  -5.072834e+00   3.826775e+00  -3.376407e-04
  -9.783612e-07  -2.799550e-06   2.188132e-10   1.810678e-05  -6.191635e-06   6.058102e-10   3.260008e-01   9.328413e-01  -7.291098e-05  -6.033380e+00   2.063121e+00  -2.018627e-04
  -3.875226e-08  -2.963267e-06   2.376024e-10   1.916716e-05  -2.388669e-07   1.344090e-10   1.291268e-02   9.873935e-01  -7.917177e-05  -6.386710e+00   7.959309e-02  -4.478658e-05
   9.057728e-07  -2.826004e-06   2.322642e-10   1.828267e-05   5.738664e-06  -3.506726e-10  -3.018136e-01   9.416560e-01  -7.739303e-05  -6.091989e+00  -1.912187e+00   1.168480e-04
   1.759696e-06  -2.402530e-06   2.034097e-10   1.556179e-05   1.110133e-05  -7.974454e-10  -5.863501e-01   8.005497e-01  -6.777836e-05  -5.185361e+00  -3.699087e+00   2.657177e-04
   2.438374e-06  -1.737825e-06   1.541400e-10   1.132692e-05   1.529524e-05  -1.159515e-09  -8.124933e-01   5.790626e-01  -5.136116e-05  -3.774255e+00  -5.096545e+00   3.863632e-04
   2.877516e-06  -9.009021e-07   8.960777e-11   6.059698e-06   1.792401e-05  -1.402170e-09  -9.588202e-01   3.001906e-01  -2.985830e-05  -2.019159e+00  -5.972478e+00   4.672187e-04
   3.039299e-06   2.416531e-08   1.633341e-11   3.246731e-07   1.878675e-05  -1.505895e-09  -1.012728e+00  -8.052149e-03  -5.442474e-06  -1.081847e-01  -6.259954e+00   5.017811e-04
   2.914558e-06   9.481967e-07  -5.858044e-11  -5.308444e-06   1.787951e-05  -1.466946e-09  -9.711629e-01  -3.159497e-01   1.951965e-05   1.768833e+00  -5.957650e+00   4.888028e-04
   2.521402e-06   1.786173e-06  -1.282012e-10  -1.032772e-05   1.536825e-05  -1.295567e-09  -8.401592e-01  -5.951728e-01   4.271806e-05   3.441310e+00  -5.120872e+00   4.316973e-04
   1.901221e-06   2.464732e-06  -1.863918e-10  -1.431979e-05   1.154698e-05  -1.012868e-09  -6.335080e-01  -8.212760e-01   6.210782e-05   4.771512e+00  -3.847581e+00   3.374990e-04
   1.113191e-06   2.927453e-06  -2.282682e-10  -1.698947e-05   6.793164e-06  -6.473721e-10  -3.709276e-01  -9.754600e-01   7.606150e-05   5.661080e+00  -2.263558e+00   2.157116e-04
   2.282162e-07   3.138034e-06  -2.504903e-10  -1.816379e-05   1.528431e-06  -2.318785e-10  -7.604418e-02  -1.045628e+00   8.346615e-05   6.052376e+00  -5.092902e-01   7.726450e-05
  -6.770882e-07   3.081681e-06  -2.514103e-10  -1.778729e-05  -3.812741e-06   1.990740e-10   2.256133e-01  -1.026850e+00   8.377270e-05   5.926921e+00   1.270447e+00  -6.633367e-05
  -1.526081e-06   2.765139e-06  -2.311086e-10  -1.591407e-05  -8.807117e-06   6.111909e-10   5.085070e-01  -9.213751e-01   7.700794e-05   5.302744e+00   2.934629e+00  -2.036556e-04
  -2.247368e-06   2.215624e-06  -1.913403e-10  -1.269964e-05  -1.306242e-05   9.720522e-10   7.488479e-01  -7.382704e-01   6.375672e-05   4.231662e+00   4.352542e+00  -3.238986e-04
  -2.779683e-06   1.478818e-06  -1.354038e-10  -8.393211e-06  -1.623589e-05   1.252650e-09   9.262212e-01  -4.927587e-01   4.511806e-05   2.796711e+00   5.409978e+00  -4.173969e-04
