Method       t0       tn       N         h
Verlet        0      0.1      10    0.0111

x  -  y  -  z  -  vx  -  vy  -  vz .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   5.458678e-06  -1.806922e-05   1.483076e-09   9.607842e-01   2.732302e-01  -1.615334e-05  -1.818892e+00   6.020864e+00  -4.941775e-04
  -2.815708e-06  -1.018755e-06   6.483788e-11   6.903224e+04   2.497666e+04  -1.589620e+00   9.382250e-01   3.394606e-01  -2.160470e-05  -2.237496e+00   5.885780e+00  -4.858522e-04
   7.670249e+02   2.775185e+02  -1.766244e-02   6.903224e+04   2.497666e+04  -1.589620e+00   9.110621e-01   4.040253e-01  -2.695005e-05  -2.444667e+00   5.810823e+00  -4.810816e-04
   1.534050e+03   5.550369e+02  -3.532489e-02   6.903224e+04   2.497666e+04  -1.589620e+00   8.838991e-01   4.685900e-01  -3.229540e-05  -2.444666e+00   5.810823e+00  -4.810816e-04
   2.301075e+03   8.325554e+02  -5.298733e-02   6.903224e+04   2.497666e+04  -1.589620e+00   8.567361e-01   5.331547e-01  -3.764076e-05  -2.444666e+00   5.810823e+00  -4.810816e-04
   3.068100e+03   1.110074e+03  -7.064977e-02   6.903224e+04   2.497666e+04  -1.589620e+00   8.295732e-01   5.977194e-01  -4.298611e-05  -2.444666e+00   5.810823e+00  -4.810816e-04
   3.835125e+03   1.387592e+03  -8.831221e-02   6.903224e+04   2.497666e+04  -1.589620e+00   8.024102e-01   6.622841e-01  -4.833146e-05  -2.444666e+00   5.810823e+00  -4.810816e-04
   4.602150e+03   1.665111e+03  -1.059747e-01   6.903224e+04   2.497666e+04  -1.589620e+00   7.752473e-01   7.268488e-01  -5.367681e-05  -2.444666e+00   5.810823e+00  -4.810816e-04
   5.369175e+03   1.942629e+03  -1.236371e-01   6.903224e+04   2.497666e+04  -1.589620e+00   7.480843e-01   7.914135e-01  -5.902216e-05  -2.444666e+00   5.810823e+00  -4.810816e-04
   6.136199e+03   2.220148e+03  -1.412995e-01   6.903224e+04   2.497666e+04  -1.589620e+00   7.209214e-01   8.559782e-01  -6.436751e-05  -2.444666e+00   5.810823e+00  -4.810816e-04
