Method       t0       tn       N         h
Verlet        0  2.0e+00    1000 2.002e-03

x  -  y  -  z  -  vx  -  vy  -  vz .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   5.458678e-06  -1.806922e-05   1.483076e-09   9.607842e-01   2.732302e-01  -1.615334e-05  -1.818892e+00   6.020864e+00  -4.941775e-04
  -2.872253e-06  -8.561009e-07   5.144307e-11   5.686947e-06  -1.800275e-05   1.479113e-09   9.570665e-01   2.852623e-01  -1.714140e-05  -1.894960e+00   5.998713e+00  -4.928569e-04
  -2.860639e-06  -8.920744e-07   5.440017e-11   5.914435e-06  -1.793338e-05   1.474913e-09   9.531968e-01   2.972491e-01  -1.812674e-05  -1.970773e+00   5.975594e+00  -4.914572e-04
  -2.848571e-06  -9.279062e-07   5.734863e-11   6.141105e-06  -1.786112e-05   1.470477e-09   9.491755e-01   3.091886e-01  -1.910920e-05  -2.046320e+00   5.951511e+00  -4.899785e-04
  -2.836050e-06  -9.635904e-07   6.028796e-11   6.366919e-06  -1.778598e-05   1.465804e-09   9.450033e-01   3.210790e-01  -2.008862e-05  -2.121588e+00   5.926466e+00  -4.884209e-04
  -2.823078e-06  -9.991213e-07   6.321771e-11   6.591842e-06  -1.770797e-05   1.460895e-09   9.406807e-01   3.329182e-01  -2.106484e-05  -2.196564e+00   5.900463e+00  -4.867846e-04
  -2.809656e-06  -1.034493e-06   6.613739e-11   6.815835e-06  -1.762711e-05   1.455751e-09   9.362082e-01   3.447045e-01  -2.203770e-05  -2.271237e+00   5.873503e+00  -4.850697e-04
  -2.795787e-06  -1.069700e-06   6.904654e-11   7.038862e-06  -1.754339e-05   1.450373e-09   9.315866e-01   3.564358e-01  -2.300706e-05  -2.345593e+00   5.845591e+00  -4.832765e-04
  -2.781472e-06  -1.104737e-06   7.194468e-11   7.260885e-06  -1.745683e-05   1.444760e-09   9.268165e-01   3.681102e-01  -2.397274e-05  -2.419621e+00   5.816729e+00  -4.814050e-04
  -2.766714e-06  -1.139597e-06   7.483135e-11   7.481869e-06  -1.736744e-05   1.438914e-09   9.218984e-01   3.797260e-01  -2.493461e-05  -2.493308e+00   5.786921e+00  -4.794557e-04
  -2.751515e-06  -1.174276e-06   7.770609e-11   7.701776e-06  -1.727523e-05   1.432836e-09   9.168332e-01   3.912811e-01  -2.589249e-05  -2.566642e+00   5.756171e+00  -4.774285e-04
  -2.735876e-06  -1.208767e-06   8.056842e-11   7.920569e-06  -1.718021e-05   1.426525e-09   9.116216e-01   4.027737e-01  -2.684623e-05  -2.639610e+00   5.724483e+00  -4.753239e-04
  -2.719800e-06  -1.243065e-06   8.341789e-11   8.138212e-06  -1.708241e-05   1.419983e-09   9.062642e-01   4.142019e-01  -2.779568e-05  -2.712201e+00   5.691859e+00  -4.731419e-04
  -2.703290e-06  -1.277165e-06   8.625403e-11   8.354669e-06  -1.698182e-05   1.413211e-09   9.007619e-01   4.255639e-01  -2.874069e-05  -2.784402e+00   5.658306e+00  -4.708829e-04
  -2.686348e-06  -1.311060e-06   8.907638e-11   8.569903e-06  -1.687846e-05   1.406210e-09   8.951155e-01   4.368578e-01  -2.968110e-05  -2.856201e+00   5.623826e+00  -4.685472e-04
