Method       t0       tn       N         h
Verlet        0  1.0e+00   10000 1.000e-04

x  -  y  -  z  -  vx  -  vy  -  vz .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   5.458678e-06  -1.806922e-05   1.483076e-09   9.607842e-01   2.732302e-01  -1.615334e-05  -1.818892e+00   6.020864e+00  -4.941775e-04
  -2.882863e-06  -8.217983e-07   4.862611e-11   5.470100e-06  -1.806597e-05   1.482884e-09   9.606021e-01   2.738323e-01  -1.620276e-05  -1.822698e+00   6.019781e+00  -4.941134e-04
  -2.882316e-06  -8.236049e-07   4.877440e-11   5.481520e-06  -1.806271e-05   1.482691e-09   9.604196e-01   2.744343e-01  -1.625217e-05  -1.826503e+00   6.018695e+00  -4.940491e-04
  -2.881767e-06  -8.254112e-07   4.892267e-11   5.492938e-06  -1.805944e-05   1.482497e-09   9.602367e-01   2.750362e-01  -1.630158e-05  -1.830308e+00   6.017606e+00  -4.939846e-04
  -2.881217e-06  -8.272172e-07   4.907093e-11   5.504354e-06  -1.805617e-05   1.482303e-09   9.600535e-01   2.756379e-01  -1.635098e-05  -1.834112e+00   6.016515e+00  -4.939199e-04
  -2.880666e-06  -8.290228e-07   4.921916e-11   5.515769e-06  -1.805289e-05   1.482109e-09   9.598699e-01   2.762396e-01  -1.640037e-05  -1.837915e+00   6.015422e+00  -4.938550e-04
  -2.880114e-06  -8.308281e-07   4.936738e-11   5.527181e-06  -1.804960e-05   1.481913e-09   9.596859e-01   2.768412e-01  -1.644976e-05  -1.841718e+00   6.014326e+00  -4.937900e-04
  -2.879560e-06  -8.326331e-07   4.951558e-11   5.538592e-06  -1.804630e-05   1.481717e-09   9.595015e-01   2.774426e-01  -1.649914e-05  -1.845520e+00   6.013228e+00  -4.937247e-04
  -2.879006e-06  -8.344377e-07   4.966375e-11   5.550001e-06  -1.804300e-05   1.481521e-09   9.593167e-01   2.780439e-01  -1.654851e-05  -1.849322e+00   6.012128e+00  -4.936592e-04
  -2.878450e-06  -8.362421e-07   4.981191e-11   5.561408e-06  -1.803969e-05   1.481324e-09   9.591316e-01   2.786451e-01  -1.659788e-05  -1.853123e+00   6.011025e+00  -4.935935e-04
  -2.877894e-06  -8.380460e-07   4.996005e-11   5.572813e-06  -1.803637e-05   1.481126e-09   9.589461e-01   2.792462e-01  -1.664724e-05  -1.856923e+00   6.009919e+00  -4.935277e-04
  -2.877336e-06  -8.398497e-07   5.010817e-11   5.584217e-06  -1.803305e-05   1.480928e-09   9.587602e-01   2.798472e-01  -1.669660e-05  -1.860723e+00   6.008812e+00  -4.934616e-04
  -2.876777e-06  -8.416530e-07   5.025626e-11   5.595618e-06  -1.802972e-05   1.480729e-09   9.585739e-01   2.804481e-01  -1.674594e-05  -1.864522e+00   6.007701e+00  -4.933953e-04
  -2.876216e-06  -8.434560e-07   5.040434e-11   5.607018e-06  -1.802638e-05   1.480530e-09   9.583872e-01   2.810489e-01  -1.679529e-05  -1.868321e+00   6.006589e+00  -4.933289e-04
  -2.875655e-06  -8.452586e-07   5.055240e-11   5.618415e-06  -1.802303e-05   1.480329e-09   9.582002e-01   2.816496e-01  -1.684462e-05  -1.872118e+00   6.005474e+00  -4.932622e-04
  -2.875093e-06  -8.470610e-07   5.070044e-11   5.629811e-06  -1.801968e-05   1.480129e-09   9.580128e-01   2.822501e-01  -1.689395e-05  -1.875916e+00   6.004356e+00  -4.931954e-04
  -2.874529e-06  -8.488629e-07   5.084845e-11   5.641205e-06  -1.801632e-05   1.479928e-09   9.578250e-01   2.828506e-01  -1.694327e-05  -1.879712e+00   6.003237e+00  -4.931283e-04
  -2.873964e-06  -8.506646e-07   5.099645e-11   5.652597e-06  -1.801295e-05   1.479726e-09   9.576368e-01   2.834509e-01  -1.699258e-05  -1.883508e+00   6.002114e+00  -4.930611e-04
  -2.873398e-06  -8.524659e-07   5.114443e-11   5.663988e-06  -1.800957e-05   1.479523e-09   9.574482e-01   2.840511e-01  -1.704189e-05  -1.887304e+00   6.000990e+00  -4.929936e-04
  -2.872831e-06  -8.542669e-07   5.129239e-11   5.675376e-06  -1.800619e-05   1.479320e-09   9.572593e-01   2.846512e-01  -1.709119e-05  -1.891098e+00   5.999862e+00  -4.929260e-04
  -2.872263e-06  -8.560675e-07   5.144032e-11   5.686762e-06  -1.800280e-05   1.479117e-09   9.570700e-01   2.852512e-01  -1.714049e-05  -1.894892e+00   5.998733e+00  -4.928581e-04
  -2.871694e-06  -8.578678e-07   5.158824e-11   5.698147e-06  -1.799940e-05   1.478913e-09   9.568803e-01   2.858511e-01  -1.718977e-05  -1.898686e+00   5.997601e+00  -4.927901e-04
  -2.871123e-06  -8.596677e-07   5.173614e-11   5.709529e-06  -1.799600e-05   1.478708e-09   9.566902e-01   2.864508e-01  -1.723905e-05  -1.902479e+00   5.996467e+00  -4.927218e-04
  -2.870552e-06  -8.614673e-07   5.188401e-11   5.720910e-06  -1.799259e-05   1.478502e-09   9.564997e-01   2.870505e-01  -1.728833e-05  -1.906271e+00   5.995330e+00  -4.926534e-04
  -2.869979e-06  -8.632666e-07   5.203187e-11   5.732289e-06  -1.798917e-05   1.478296e-09   9.563089e-01   2.876500e-01  -1.733759e-05  -1.910063e+00   5.994191e+00  -4.925848e-04
  -2.869405e-06  -8.650655e-07   5.217970e-11   5.743666e-06  -1.798574e-05   1.478090e-09   9.561177e-01   2.882494e-01  -1.738685e-05  -1.913853e+00   5.993049e+00  -4.925159e-04
  -2.868830e-06  -8.668641e-07   5.232751e-11   5.755041e-06  -1.798231e-05   1.477883e-09   9.559261e-01   2.888487e-01  -1.743611e-05  -1.917644e+00   5.991905e+00  -4.924469e-04
  -2.868254e-06  -8.686624e-07   5.247531e-11   5.766414e-06  -1.797887e-05   1.477675e-09   9.557341e-01   2.894479e-01  -1.748535e-05  -1.921433e+00   5.990759e+00  -4.923777e-04
  -2.867677e-06  -8.704603e-07   5.262308e-11   5.777785e-06  -1.797542e-05   1.477467e-09   9.555418e-01   2.900470e-01  -1.753459e-05  -1.925222e+00   5.989610e+00  -4.923082e-04
