Method       t0       tn       N         h
Verlet        0  1.0e+02 1000000 1.000e-04

x  -  y  -  z  .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   9.607842e-01   2.732302e-01  -1.615334e-05
  -2.773660e-06  -9.712339e-07   6.127654e-11   9.242142e-01   3.236259e-01  -2.041802e-05
  -2.652177e-06  -1.118359e-06   7.381537e-11   8.837347e-01   3.726496e-01  -2.459610e-05
  -2.518679e-06  -1.260407e-06   8.601896e-11   8.392518e-01   4.199817e-01  -2.866247e-05
  -2.372925e-06  -1.396310e-06   9.780295e-11   7.906849e-01   4.652659e-01  -3.258903e-05
  -2.214727e-06  -1.524875e-06   1.090729e-10   7.379715e-01   5.081052e-01  -3.634429e-05
  -2.043974e-06  -1.644778e-06   1.197230e-10   6.810748e-01   5.480583e-01  -3.989305e-05
  -1.860657e-06  -1.754549e-06   1.296355e-10   6.199915e-01   5.846352e-01  -4.319600e-05
  -1.664901e-06  -1.852563e-06   1.386792e-10   5.547634e-01   6.172946e-01  -4.620945e-05
  -1.457005e-06  -1.937035e-06   1.467089e-10   4.854902e-01   6.454415e-01  -4.888504e-05
  -1.237491e-06  -2.006018e-06   1.535653e-10   4.123458e-01   6.684274e-01  -5.116968e-05
  -1.007164e-06  -2.057413e-06   1.590752e-10   3.355983e-01   6.855530e-01  -5.300562e-05
  -7.671766e-07  -2.088995e-06   1.630529e-10   2.556318e-01   6.960764e-01  -5.433102e-05
  -5.191060e-07  -2.098451e-06   1.653033e-10   1.729719e-01   6.992273e-01  -5.508089e-05
  -2.650329e-07  -2.083455e-06   1.656272e-10   8.831189e-02   6.942302e-01  -5.518881e-05
  -7.615226e-09  -2.041767e-06   1.638289e-10   2.537478e-03   6.803393e-01  -5.458960e-05
   2.498542e-07  -1.971381e-06   1.597276e-10  -8.325419e-02   6.568861e-01  -5.322302e-05
   5.034258e-07  -1.870711e-06   1.531722e-10  -1.677471e-01   6.233415e-01  -5.103868e-05
   7.485288e-07  -1.738804e-06   1.440589e-10  -2.494181e-01   5.793888e-01  -4.800201e-05
   9.800877e-07  -1.575586e-06   1.323509e-10  -3.265761e-01   5.250027e-01  -4.410080e-05
