Method       t0       tn       N         h  beta      Time used [s]
Verlet        0  1.0e+01  100000 1.000e-04  2.000000       0.028893

x  -  y  -  z  .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   9.607842e-01   2.732302e-01  -1.615334e-05
  -2.819972e-06  -9.980097e-07   6.314716e-11   9.396461e-01   3.325479e-01  -2.104134e-05
  -2.745297e-06  -1.172050e-06   7.756482e-11   9.147635e-01   3.905401e-01  -2.584546e-05
  -2.659611e-06  -1.341389e-06   9.167132e-11   8.862121e-01   4.469657e-01  -3.054590e-05
  -2.563192e-06  -1.505313e-06   1.054078e-10   8.540839e-01   5.015870e-01  -3.512304e-05
  -2.456362e-06  -1.663123e-06   1.187160e-10   8.184871e-01   5.541709e-01  -3.955750e-05
  -2.339495e-06  -1.814135e-06   1.315391e-10   7.795457e-01   6.044900e-01  -4.383030e-05
  -2.213010e-06  -1.957689e-06   1.438214e-10   7.373995e-01   6.523237e-01  -4.792288e-05
  -2.077374e-06  -2.093146e-06   1.555088e-10   6.922039e-01   6.974594e-01  -5.181726e-05
  -1.933097e-06  -2.219896e-06   1.665494e-10   6.441295e-01   7.396941e-01  -5.549610e-05
  -1.780737e-06  -2.337362e-06   1.768933e-10   5.933613e-01   7.788350e-01  -5.894282e-05
  -1.620890e-06  -2.445000e-06   1.864935e-10   5.400986e-01   8.147012e-01  -6.214172e-05
  -1.454195e-06  -2.542306e-06   1.953057e-10   4.845538e-01   8.471247e-01  -6.507801e-05
  -1.281325e-06  -2.628818e-06   2.032885e-10   4.269518e-01   8.759513e-01  -6.773798e-05
  -1.102992e-06  -2.704118e-06   2.104043e-10   3.675291e-01   9.010420e-01  -7.010906e-05
  -9.199351e-07  -2.767836e-06   2.166191e-10   3.065326e-01   9.222738e-01  -7.217987e-05
  -7.329243e-07  -2.819657e-06   2.219025e-10   2.442185e-01   9.395408e-01  -7.394039e-05
  -5.427522e-07  -2.859313e-06   2.262288e-10   1.808511e-01   9.527549e-01  -7.538194e-05
  -3.502320e-07  -2.886597e-06   2.295761e-10   1.167012e-01   9.618462e-01  -7.649731e-05
  -1.561926e-07  -2.901357e-06   2.319274e-10   5.204510e-02   9.667644e-01  -7.728078e-05
   3.852573e-08  -2.903501e-06   2.332701e-10  -1.283720e-02   9.674786e-01  -7.772819e-05
   2.330760e-07  -2.892994e-06   2.335965e-10  -7.766350e-02   9.639778e-01  -7.783696e-05
   4.266091e-07  -2.869866e-06   2.329038e-10  -1.421509e-01   9.562712e-01  -7.760613e-05
   6.182791e-07  -2.834204e-06   2.311939e-10  -2.060175e-01   9.443884e-01  -7.703638e-05
   8.072473e-07  -2.786158e-06   2.284738e-10  -2.689838e-01   9.283788e-01  -7.613000e-05
   9.926877e-07  -2.725936e-06   2.247552e-10  -3.307745e-01   9.083121e-01  -7.489092e-05
   1.173791e-06  -2.653804e-06   2.200547e-10  -3.911203e-01   8.842770e-01  -7.332465e-05
   1.349771e-06  -2.570088e-06   2.143935e-10  -4.497586e-01   8.563817e-01  -7.143829e-05
   1.519865e-06  -2.475165e-06   2.077975e-10  -5.064360e-01   8.247524e-01  -6.924043e-05
   1.683344e-06  -2.369467e-06   2.002970e-10  -5.609089e-01   7.895328e-01  -6.674117e-05
   1.839510e-06  -2.253476e-06   1.919263e-10  -6.129452e-01   7.508833e-01  -6.395197e-05
   1.987705e-06  -2.127720e-06   1.827239e-10  -6.623254e-01   7.089798e-01  -6.088563e-05
   2.127312e-06  -1.992769e-06   1.727319e-10  -7.088439e-01   6.640127e-01  -5.755620e-05
   2.257756e-06  -1.849235e-06   1.619960e-10  -7.523095e-01   6.161857e-01  -5.397886e-05
   2.378512e-06  -1.697765e-06   1.505648e-10  -7.925467e-01   5.657142e-01  -5.016987e-05
   2.489102e-06  -1.539038e-06   1.384901e-10  -8.293964e-01   5.128244e-01  -4.614643e-05
   2.589098e-06  -1.373759e-06   1.258258e-10  -8.627163e-01   4.577519e-01  -4.192657e-05
   2.678126e-06  -1.202661e-06   1.126285e-10  -8.923813e-01   4.007399e-01  -3.752907e-05
   2.755864e-06  -1.026491e-06   9.895631e-11  -9.182844e-01   3.420383e-01  -3.297334e-05
   2.822043e-06  -8.460159e-07   8.486903e-11  -9.403362e-01   2.819019e-01  -2.827930e-05
   2.876451e-06  -6.620107e-07   7.042766e-11  -9.584654e-01   2.205893e-01  -2.346728e-05
   2.918927e-06  -4.752586e-07   5.569408e-11  -9.726188e-01   1.583615e-01  -1.855789e-05
   2.949364e-06  -2.865457e-07   4.073075e-11  -9.827609e-01   9.548022e-02  -1.357194e-05
   2.967711e-06  -9.665731e-08   2.560038e-11  -9.888741e-01   3.220729e-02  -8.530330e-06
   2.973964e-06   9.362576e-08   1.036563e-11  -9.909579e-01  -3.119714e-02  -3.453942e-06
   2.968175e-06   2.835305e-07  -4.911167e-12  -9.890288e-01  -9.447551e-02   1.636455e-06
   2.950441e-06   4.722951e-07  -2.016826e-11  -9.831196e-01  -1.573740e-01   6.720289e-06
   2.920909e-06   6.591719e-07  -3.534477e-11  -9.732792e-01  -2.196434e-01   1.177727e-05
   2.879771e-06   8.434304e-07  -5.038091e-11  -9.595716e-01  -2.810404e-01   1.678748e-05
   2.827263e-06   1.024360e-06  -6.521821e-11  -9.420755e-01  -3.413280e-01   2.173143e-05
   2.763664e-06   1.201271e-06  -7.979972e-11  -9.208836e-01  -4.002769e-01   2.659015e-05
   2.689291e-06   1.373501e-06  -9.407020e-11  -8.961017e-01  -4.576656e-01   3.134524e-05
   2.604499e-06   1.540410e-06  -1.079763e-10  -8.678481e-01  -5.132816e-01   3.597890e-05
   2.509679e-06   1.701388e-06  -1.214667e-10  -8.362529e-01  -5.669214e-01   4.047406e-05
   2.405254e-06   1.855856e-06  -1.344923e-10  -8.014572e-01  -6.183918e-01   4.481433e-05
   2.291676e-06   2.003263e-06  -1.470063e-10  -7.636120e-01  -6.675096e-01   4.898412e-05
   2.169430e-06   2.143093e-06  -1.589642e-10  -7.228781e-01  -7.141024e-01   5.296862e-05
   2.039022e-06   2.274861e-06  -1.703241e-10  -6.794247e-01  -7.580091e-01   5.675387e-05
   1.900984e-06   2.398118e-06  -1.810467e-10  -6.334288e-01  -7.990796e-01   6.032678e-05
   1.755868e-06   2.512448e-06  -1.910954e-10  -5.850748e-01  -8.371756e-01   6.367512e-05
   1.604249e-06   2.617471e-06  -2.004363e-10  -5.345534e-01  -8.721705e-01   6.678761e-05
   1.446713e-06   2.712844e-06  -2.090382e-10  -4.820610e-01  -9.039498e-01   6.965385e-05
   1.283867e-06   2.798259e-06  -2.168728e-10  -4.277988e-01  -9.324110e-01   7.226442e-05
   1.116327e-06   2.873444e-06  -2.239145e-10  -3.719726e-01  -9.574636e-01   7.461081e-05
