Method       t0       tn       N         h
Verlet        0  3.0e+00  100000 3.000e-05

x  -  y  -  z  .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   9.607842e-01   2.732302e-01  -1.615334e-05
  -2.862898e-06  -8.725853e-07   5.282237e-11   9.539493e-01   2.907551e-01  -1.760100e-05
  -2.841359e-06  -9.248665e-07   5.714801e-11   9.467724e-01   3.081758e-01  -1.904235e-05
  -2.818796e-06  -9.768142e-07   6.145306e-11   9.392543e-01   3.254853e-01  -2.047684e-05
  -2.795212e-06  -1.028408e-06   6.573583e-11   9.313958e-01   3.426770e-01  -2.190391e-05
  -2.770610e-06  -1.079627e-06   6.999465e-11   9.231980e-01   3.597437e-01  -2.332299e-05
  -2.744993e-06  -1.130451e-06   7.422783e-11   9.146620e-01   3.766787e-01  -2.473354e-05
  -2.718364e-06  -1.180858e-06   7.843368e-11   9.057892e-01   3.934750e-01  -2.613497e-05
  -2.690730e-06  -1.230828e-06   8.261047e-11   8.965810e-01   4.101255e-01  -2.752673e-05
  -2.662093e-06  -1.280340e-06   8.675652e-11   8.870390e-01   4.266234e-01  -2.890823e-05
  -2.632460e-06  -1.329372e-06   9.087008e-11   8.771649e-01   4.429616e-01  -3.027892e-05
  -2.601836e-06  -1.377904e-06   9.494944e-11   8.669607e-01   4.591330e-01  -3.163821e-05
  -2.570227e-06  -1.425915e-06   9.899286e-11   8.564283e-01   4.751306e-01  -3.298552e-05
  -2.537641e-06  -1.473383e-06   1.029986e-10   8.455700e-01   4.909474e-01  -3.432028e-05
  -2.504083e-06  -1.520287e-06   1.069649e-10   8.343882e-01   5.065763e-01  -3.564190e-05
  -2.469561e-06  -1.566606e-06   1.108901e-10   8.228853e-01   5.220103e-01  -3.694981e-05
  -2.434084e-06  -1.612318e-06   1.147724e-10   8.110639e-01   5.372424e-01  -3.824343e-05
  -2.397660e-06  -1.657404e-06   1.186100e-10   7.989271e-01   5.522653e-01  -3.952216e-05
  -2.360298e-06  -1.701841e-06   1.224012e-10   7.864777e-01   5.670723e-01  -4.078543e-05
  -2.322008e-06  -1.745608e-06   1.261442e-10   7.737188e-01   5.816561e-01  -4.203265e-05
  -2.282799e-06  -1.788685e-06   1.298374e-10   7.606539e-01   5.960098e-01  -4.326325e-05
  -2.242682e-06  -1.831051e-06   1.334788e-10   7.472864e-01   6.101264e-01  -4.447663e-05
  -2.201667e-06  -1.872684e-06   1.370669e-10   7.336200e-01   6.239990e-01  -4.567223e-05
  -2.159768e-06  -1.913563e-06   1.405999e-10   7.196586e-01   6.376205e-01  -4.684945e-05
  -2.116994e-06  -1.953669e-06   1.440760e-10   7.054060e-01   6.509842e-01  -4.800772e-05
  -2.073360e-06  -1.992980e-06   1.474935e-10   6.908666e-01   6.640831e-01  -4.914647e-05
  -2.028878e-06  -2.031476e-06   1.508507e-10   6.760447e-01   6.769104e-01  -5.026512e-05
  -1.983562e-06  -2.069137e-06   1.541458e-10   6.609447e-01   6.894594e-01  -5.136310e-05
  -1.937425e-06  -2.105942e-06   1.573772e-10   6.455715e-01   7.017233e-01  -5.243984e-05
  -1.890483e-06  -2.141872e-06   1.605432e-10   6.299300e-01   7.136955e-01  -5.349479e-05
  -1.842751e-06  -2.176906e-06   1.636421e-10   6.140250e-01   7.253693e-01  -5.452736e-05
  -1.794244e-06  -2.211026e-06   1.666722e-10   5.978621e-01   7.367383e-01  -5.553703e-05
  -1.744979e-06  -2.244211e-06   1.696319e-10   5.814465e-01   7.477959e-01  -5.652322e-05
  -1.694973e-06  -2.276442e-06   1.725194e-10   5.647838e-01   7.585357e-01  -5.748539e-05
  -1.644243e-06  -2.307701e-06   1.753333e-10   5.478799e-01   7.689516e-01  -5.842301e-05
  -1.592806e-06  -2.337969e-06   1.780719e-10   5.307407e-01   7.790372e-01  -5.933554e-05
  -1.540682e-06  -2.367227e-06   1.807336e-10   5.133724e-01   7.887865e-01  -6.022245e-05
  -1.487889e-06  -2.395458e-06   1.833169e-10   4.957812e-01   7.981933e-01  -6.108322e-05
  -1.434447e-06  -2.422644e-06   1.858201e-10   4.779737e-01   8.072519e-01  -6.191733e-05
  -1.380376e-06  -2.448767e-06   1.882419e-10   4.599566e-01   8.159564e-01  -6.272429e-05
  -1.325696e-06  -2.473811e-06   1.905807e-10   4.417367e-01   8.243011e-01  -6.350359e-05
  -1.270429e-06  -2.497758e-06   1.928349e-10   4.233210e-01   8.322805e-01  -6.425475e-05
  -1.214596e-06  -2.520592e-06   1.950033e-10   4.047167e-01   8.398892e-01  -6.497728e-05
  -1.158218e-06  -2.542297e-06   1.970844e-10   3.859312e-01   8.471217e-01  -6.567071e-05
  -1.101320e-06  -2.562859e-06   1.990768e-10   3.669721e-01   8.539730e-01  -6.633459e-05
  -1.043924e-06  -2.582261e-06   2.009791e-10   3.478470e-01   8.604382e-01  -6.696848e-05
  -9.860529e-07  -2.600490e-06   2.027901e-10   3.285638e-01   8.665122e-01  -6.757192e-05
  -9.277317e-07  -2.617531e-06   2.045085e-10   3.091305e-01   8.721904e-01  -6.814450e-05
  -8.689848e-07  -2.633371e-06   2.061330e-10   2.895554e-01   8.774684e-01  -6.868581e-05
  -8.098371e-07  -2.647996e-06   2.076625e-10   2.698467e-01   8.823417e-01  -6.919544e-05
  -7.503142e-07  -2.661394e-06   2.090957e-10   2.500130e-01   8.868061e-01  -6.967300e-05
  -6.904421e-07  -2.673554e-06   2.104316e-10   2.300630e-01   8.908577e-01  -7.011813e-05
  -6.302470e-07  -2.684463e-06   2.116690e-10   2.100053e-01   8.944927e-01  -7.053047e-05
  -5.697559e-07  -2.694110e-06   2.128071e-10   1.898490e-01   8.977074e-01  -7.090967e-05
  -5.089959e-07  -2.702486e-06   2.138446e-10   1.696031e-01   9.004985e-01  -7.125541e-05
  -4.479946e-07  -2.709581e-06   2.147809e-10   1.492768e-01   9.028626e-01  -7.156736e-05
  -3.867800e-07  -2.715386e-06   2.156148e-10   1.288794e-01   9.047969e-01  -7.184525e-05
  -3.253806e-07  -2.719893e-06   2.163457e-10   1.084204e-01   9.062986e-01  -7.208878e-05
  -2.638249e-07  -2.723094e-06   2.169726e-10   8.790937e-02   9.073650e-01  -7.229769e-05
  -2.021420e-07  -2.724981e-06   2.174950e-10   6.735595e-02   9.079940e-01  -7.247174e-05
  -1.403612e-07  -2.725549e-06   2.179120e-10   4.676992e-02   9.081833e-01  -7.261070e-05
  -7.851228e-08  -2.724793e-06   2.182231e-10   2.616116e-02   9.079312e-01  -7.271437e-05
  -1.662504e-08  -2.722706e-06   2.184278e-10   5.539647e-03   9.072360e-01  -7.278256e-05
   4.527033e-08  -2.719286e-06   2.185254e-10  -1.508458e-02   9.060964e-01  -7.281509e-05
   1.071434e-07  -2.714529e-06   2.185156e-10  -3.570138e-02   9.045112e-01  -7.281181e-05
   1.689636e-07  -2.708432e-06   2.183979e-10  -5.630055e-02   9.024797e-01  -7.277261e-05
   2.307001e-07  -2.700994e-06   2.181721e-10  -7.687183e-02   9.000011e-01  -7.269735e-05
   2.923219e-07  -2.692213e-06   2.178378e-10  -9.740490e-02   8.970753e-01  -7.258597e-05
   3.537979e-07  -2.682090e-06   2.173949e-10  -1.178894e-01   8.937020e-01  -7.243839e-05
   4.150969e-07  -2.670624e-06   2.168432e-10  -1.383149e-01   8.898816e-01  -7.225456e-05
   4.761874e-07  -2.657818e-06   2.161826e-10  -1.586709e-01   8.856144e-01  -7.203446e-05
   5.370382e-07  -2.643674e-06   2.154132e-10  -1.789471e-01   8.809014e-01  -7.177808e-05
   5.976177e-07  -2.628194e-06   2.145350e-10  -1.991329e-01   8.757434e-01  -7.148546e-05
   6.578945e-07  -2.611383e-06   2.135482e-10  -2.192178e-01   8.701418e-01  -7.115662e-05
   7.178371e-07  -2.593246e-06   2.124528e-10  -2.391913e-01   8.640982e-01  -7.079164e-05
   7.774140e-07  -2.573787e-06   2.112493e-10  -2.590430e-01   8.576145e-01  -7.039060e-05
   8.365939e-07  -2.553014e-06   2.099378e-10  -2.787624e-01   8.506928e-01  -6.995362e-05
   8.953455e-07  -2.530935e-06   2.085189e-10  -2.983391e-01   8.433355e-01  -6.948082e-05
   9.536376e-07  -2.507556e-06   2.069930e-10  -3.177626e-01   8.355455e-01  -6.897236e-05
   1.011439e-06  -2.482887e-06   2.053606e-10  -3.370227e-01   8.273257e-01  -6.842842e-05
   1.068719e-06  -2.456939e-06   2.036223e-10  -3.561091e-01   8.186794e-01  -6.784921e-05
   1.125447e-06  -2.429721e-06   2.017788e-10  -3.750115e-01   8.096101e-01  -6.723495e-05
   1.181593e-06  -2.401246e-06   1.998309e-10  -3.937198e-01   8.001219e-01  -6.658589e-05
   1.237125e-06  -2.371526e-06   1.977794e-10  -4.122239e-01   7.902187e-01  -6.590230e-05
