Method       t0       tn       N         h
Verlet        0  1.0e+01   10000 1.000e-03

x  -  y  -  z  .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   9.607842e-01   2.732302e-01  -1.615334e-05
  -2.877664e-06  -8.379802e-07   4.995615e-11   9.588695e-01   2.792243e-01  -1.664594e-05
  -2.871803e-06  -8.559359e-07   5.143252e-11   9.569168e-01   2.852073e-01  -1.713789e-05
  -2.865829e-06  -8.738576e-07   5.290686e-11   9.549261e-01   2.911790e-01  -1.762915e-05
  -2.859741e-06  -8.917446e-07   5.437909e-11   9.528975e-01   2.971392e-01  -1.811972e-05
  -2.853540e-06  -9.095962e-07   5.584917e-11   9.508311e-01   3.030875e-01  -1.860956e-05
  -2.847225e-06  -9.274116e-07   5.731703e-11   9.487269e-01   3.090238e-01  -1.909867e-05
  -2.840797e-06  -9.451902e-07   5.878260e-11   9.465851e-01   3.149479e-01  -1.958702e-05
  -2.834256e-06  -9.629312e-07   6.024584e-11   9.444055e-01   3.208594e-01  -2.007458e-05
  -2.827602e-06  -9.806339e-07   6.170669e-11   9.421884e-01   3.267581e-01  -2.056135e-05
  -2.820836e-06  -9.982976e-07   6.316507e-11   9.399338e-01   3.326438e-01  -2.104730e-05
  -2.813957e-06  -1.015921e-06   6.462095e-11   9.376417e-01   3.385163e-01  -2.153242e-05
  -2.806966e-06  -1.033505e-06   6.607424e-11   9.353123e-01   3.443753e-01  -2.201667e-05
  -2.799863e-06  -1.051047e-06   6.752490e-11   9.329455e-01   3.502205e-01  -2.250005e-05
  -2.792649e-06  -1.068547e-06   6.897286e-11   9.305416e-01   3.560518e-01  -2.298252e-05
  -2.785323e-06  -1.086005e-06   7.041808e-11   9.281004e-01   3.618689e-01  -2.346408e-05
  -2.777885e-06  -1.103419e-06   7.186048e-11   9.256223e-01   3.676715e-01  -2.394471e-05
  -2.770337e-06  -1.120789e-06   7.330000e-11   9.231071e-01   3.734594e-01  -2.442437e-05
  -2.762678e-06  -1.138114e-06   7.473660e-11   9.205550e-01   3.792323e-01  -2.490306e-05
  -2.754908e-06  -1.155394e-06   7.617020e-11   9.179660e-01   3.849901e-01  -2.538076e-05
  -2.747028e-06  -1.172628e-06   7.760076e-11   9.153403e-01   3.907325e-01  -2.585743e-05
  -2.739038e-06  -1.189814e-06   7.902821e-11   9.126780e-01   3.964593e-01  -2.633308e-05
  -2.730939e-06  -1.206953e-06   8.045249e-11   9.099791e-01   4.021701e-01  -2.680766e-05
  -2.722729e-06  -1.224043e-06   8.187354e-11   9.072437e-01   4.078648e-01  -2.728117e-05
  -2.714411e-06  -1.241085e-06   8.329131e-11   9.044719e-01   4.135432e-01  -2.775359e-05
  -2.705984e-06  -1.258076e-06   8.470574e-11   9.016637e-01   4.192049e-01  -2.822489e-05
  -2.697447e-06  -1.275017e-06   8.611676e-11   8.988194e-01   4.248499e-01  -2.869506e-05
  -2.688803e-06  -1.291907e-06   8.752433e-11   8.959390e-01   4.304777e-01  -2.916408e-05
  -2.680050e-06  -1.308745e-06   8.892837e-11   8.930225e-01   4.360883e-01  -2.963192e-05
  -2.671190e-06  -1.325530e-06   9.032884e-11   8.900701e-01   4.416813e-01  -3.009857e-05
  -2.662222e-06  -1.342262e-06   9.172567e-11   8.870819e-01   4.472565e-01  -3.056401e-05
  -2.653147e-06  -1.358939e-06   9.311881e-11   8.840579e-01   4.528137e-01  -3.102822e-05
  -2.643965e-06  -1.375562e-06   9.450819e-11   8.809984e-01   4.583526e-01  -3.149118e-05
  -2.634676e-06  -1.392130e-06   9.589377e-11   8.779033e-01   4.638731e-01  -3.195287e-05
