Method       t0       tn       N         h
Verlet        0  1.0e+01    1000 1.001e-02

x  -  y  -  z  .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   9.607842e-01   2.732302e-01  -1.615334e-05
  -2.858759e-06  -1.005177e-06   6.348926e-11   9.525702e-01   3.349363e-01  -2.115532e-05
  -2.823124e-06  -1.186501e-06   7.825677e-11   9.406961e-01   3.953554e-01  -2.607602e-05
  -2.776977e-06  -1.363407e-06   9.273292e-11   9.253196e-01   4.543025e-01  -3.089964e-05
  -2.720802e-06  -1.535390e-06   1.068742e-10   9.066015e-01   5.116089e-01  -3.561166e-05
  -2.655086e-06  -1.701988e-06   1.206407e-10   8.847043e-01   5.671214e-01  -4.019881e-05
  -2.580321e-06  -1.862785e-06   1.339960e-10   8.597915e-01   6.207008e-01  -4.464894e-05
  -2.496995e-06  -2.017403e-06   1.469067e-10   8.320265e-01   6.722211e-01  -4.895095e-05
  -2.405599e-06  -2.165500e-06   1.593427e-10   8.015722e-01   7.215687e-01  -5.309475e-05
  -2.306617e-06  -2.306769e-06   1.712762e-10   7.685904e-01   7.686410e-01  -5.707112e-05
  -2.200531e-06  -2.440933e-06   1.826821e-10   7.332413e-01   8.133459e-01  -6.087172e-05
  -2.087816e-06  -2.567744e-06   1.935378e-10   6.956835e-01   8.556007e-01  -6.448895e-05
  -1.968942e-06  -2.686980e-06   2.038226e-10   6.560734e-01   8.953316e-01  -6.791594e-05
  -1.844373e-06  -2.798444e-06   2.135177e-10   6.145656e-01   9.324726e-01  -7.114648e-05
  -1.714566e-06  -2.901960e-06   2.226065e-10   5.713125e-01   9.669654e-01  -7.417496e-05
  -1.579972e-06  -2.997374e-06   2.310737e-10   5.264641e-01   9.987583e-01  -7.699633e-05
  -1.441034e-06  -3.084549e-06   2.389058e-10   4.801686e-01   1.027806e+00  -7.960607e-05
  -1.298193e-06  -3.163366e-06   2.460906e-10   4.325722e-01   1.054069e+00  -8.200011e-05
  -1.151879e-06  -3.233723e-06   2.526172e-10   3.838189e-01   1.077513e+00  -8.417486e-05
  -1.002521e-06  -3.295533e-06   2.584761e-10   3.340510e-01   1.098108e+00  -8.612711e-05
  -8.505398e-07  -3.348722e-06   2.636588e-10   2.834093e-01   1.115831e+00  -8.785405e-05
