Method       t0       tn       N         h
Verlet        0  1.0e+02  200000 5.000e-04

x  -  y  -  z  -  vx  -  vy  -  vz .........
  -2.883410e-06  -8.199914e-07   4.847779e-11   5.458678e-06  -1.806922e-05   1.483076e-09   9.607842e-01   2.732302e-01  -1.615334e-05  -1.818892e+00   6.020864e+00  -4.941775e-04
  -2.472701e-06  -1.668047e-06   1.190130e-10   1.084584e-05  -1.556423e-05   1.314412e-09   8.239238e-01   5.558081e-01  -3.965622e-05  -3.614405e+00   5.185931e+00  -4.379597e-04
  -1.815763e-06  -2.349739e-06   1.776761e-10   1.521889e-05  -1.146446e-05   1.011650e-09   6.049752e-01   7.829191e-01  -5.920079e-05  -5.072752e+00   3.818624e+00  -3.369860e-04
  -9.757935e-07  -2.794291e-06   2.184065e-10   1.809733e-05  -6.157636e-06   6.030245e-10   3.249697e-01   9.309094e-01  -7.276213e-05  -6.033273e+00   2.047257e+00  -2.005887e-04
  -3.657936e-08  -2.954365e-06   2.369010e-10   1.914897e-05  -1.858702e-07   1.300461e-10   1.184563e-02   9.838902e-01  -7.889700e-05  -6.383961e+00   5.161725e-02  -4.252467e-05
   9.064004e-07  -2.812363e-06   2.311732e-10   1.824561e-05   5.815847e-06  -3.570902e-10  -3.024738e-01   9.358554e-01  -7.693143e-05  -6.079831e+00  -1.956813e+00   1.205029e-04
   1.756969e-06  -2.383039e-06   2.018289e-10   1.548862e-05   1.120371e-05  -8.061022e-10  -5.857038e-01   7.916085e-01  -6.705684e-05  -5.151907e+00  -3.762028e+00   2.709705e-04
   2.429549e-06  -1.711686e-06   1.519890e-10   1.119500e-05   1.541392e-05  -1.169833e-09  -8.089646e-01   5.662548e-01  -5.031198e-05  -3.703715e+00  -5.172638e+00   3.928946e-04
   2.858816e-06  -8.682172e-07   8.687201e-11   5.846788e-06   1.803554e-05  -1.412402e-09  -9.500640e-01   2.833230e-01  -2.845185e-05  -1.895824e+00  -6.046537e+00   4.739043e-04
   3.006166e-06   6.167362e-08   1.312375e-11   1.764396e-08   1.885216e-05  -1.512992e-09  -9.957850e-01  -2.812564e-02  -3.729486e-06   7.760864e-02  -6.306125e+00   5.066039e-04
   2.862348e-06   9.865427e-07  -6.197204e-11  -5.704491e-06   1.784857e-05  -1.466845e-09  -9.429203e-01  -3.368679e-01   2.136837e-05   2.014525e+00  -5.942283e+00   4.890466e-04
   2.446457e-06   1.818798e-06  -1.312703e-10  -1.078300e-05   1.518847e-05  -1.283875e-09  -7.980775e-01  -6.128321e-01   4.438843e-05   3.727741e+00  -5.008597e+00   4.244081e-04
   1.802148e-06   2.482717e-06  -1.884309e-10  -1.477814e-05   1.117548e-05  -9.858070e-10  -5.764873e-01  -8.299506e-01   6.314687e-05   5.061760e+00  -3.609302e+00   3.201194e-04
   9.920738e-07   2.920331e-06  -2.284248e-10  -1.737220e-05   6.208868e-06  -6.027769e-10  -3.001370e-01  -9.683300e-01   7.591485e-05   5.903025e+00  -1.884644e+00   1.867542e-04
   9.150708e-08   3.095161e-06  -2.478712e-10  -1.837865e-05   7.422438e-07  -1.700700e-10   4.465857e-03  -1.015685e+00   8.154699e-05   6.184703e+00   3.590994e-03   3.689561e-05
  -8.182352e-07   2.994020e-06  -2.452231e-10  -1.774143e-05  -4.751577e-06   2.747019e-10   3.086679e-01  -9.680852e-01   7.955548e-05   5.887776e+00   1.885068e+00  -1.158992e-04
  -1.656190e-06   2.627227e-06  -2.208218e-10  -1.552947e-05  -9.809715e-06   6.939730e-10   5.840421e-01  -8.300887e-01   7.013532e-05   5.040028e+00   3.592307e+00  -2.580212e-04
  -2.347817e-06   2.027458e-06  -1.768418e-10  -1.192928e-05  -1.400480e-05   1.052321e-09   8.046766e-01  -6.143382e-01   5.414543e-05   3.713821e+00   4.971174e+00  -3.766641e-04
  -2.830663e-06   1.247351e-06  -1.171325e-10  -7.235976e-06  -1.696988e-05   1.318519e-09   9.493244e-01  -3.406334e-01   3.304720e-05   2.022690e+00   5.891278e+00  -4.606802e-04
  -3.059501e-06   3.558319e-07  -4.695391e-11  -1.840856e-06  -1.842477e-05   1.467727e-09   1.003339e+00  -3.447439e-02   8.799254e-06   1.159851e-01   6.256842e+00  -5.014844e-04
  -3.010692e-06  -5.669180e-07   2.740057e-11   3.788028e-06  -1.820396e-05   1.483847e-09   9.602646e-01   2.749465e-01  -1.629421e-05  -1.829737e+00   6.017769e+00  -4.939943e-04
  -2.685311e-06  -1.435885e-06   9.910115e-11   9.136166e-06  -1.628345e-05   1.361858e-09   8.228928e-01   5.572859e-01  -3.978103e-05  -3.623840e+00   5.179552e+00  -4.375045e-04
