 Lattice size L  Temperature T      MC Cycles          <E>/N          <M>/N            C_V            chi        Threads       Time (s)
             40              2        1000000     -1.7456211     0.91136966      4878.3523      1329.7123             12      13.487506
             40           2.05        1000000     -1.7066554     0.89273712      4663.7402      1276.3367             12       14.41778
             40            2.1        1000000     -1.6618498     0.86863688      4054.7873      1209.2028             12      14.695997
             40           2.15        1000000     -1.6096651     0.83565486      4150.8967      1121.2822             12      15.074481
             40            2.2        1000000       -1.54642     0.78442187       3833.097      995.29496             12      15.360041
             40           2.25        1000000     -1.4665833     0.69222057      3450.6422      799.21128             12      15.095472
             40            2.3        1000000     -1.3684624     0.52999321      3006.8942      516.49914             12      15.304692
             60              2        1000000     -1.7456174     0.91131926      10972.645       2990.552             12      38.836835
             60           2.05        1000000     -1.7069462     0.89289429      10492.584      2871.2869             12      35.086505
             60            2.1        1000000     -1.6621613     0.86887052      9950.1444      2719.7106             12      36.564402
             60           2.15        1000000     -1.6102986     0.83666279      9340.1447       2523.608             12       35.90698
             60            2.2        1000000      -1.545963     0.78321222      8610.8617      2220.9138             12      37.065599
             60           2.25        1000000     -1.4654362     0.68562151      7740.5381      1740.5727             12      34.872052
             60            2.3        1000000     -1.3586004     0.45893034      6655.9092      893.64841             12      35.040554
             80              2        1000000     -1.7454688     0.91078755      19501.398      5311.3821             12      61.199685
             80           2.05        1000000     -1.7067294     0.89270043      17092.474      5101.3971             12      58.871359
             80            2.1        1000000     -1.6618565     0.86773083      17679.477      4824.9779             12      64.416262
             80           2.15        1000000     -1.6098678     0.83598263      15209.611      4476.5634             12      62.261169
             80            2.2        1000000     -1.5466652     0.78546215      12766.692      3629.0067             12      60.123647
             80           2.25        1000000     -1.4637259     0.67723437      13721.795      2999.5411             12      64.759588
             80            2.3        1000000     -1.3508744     0.37736608       11690.33      1152.7639             12      61.793432
            100              2        1000000     -1.7437422     0.89469039      27870.316      8118.7601             12        99.9925
            100           2.05        1000000     -1.7060604     0.88653869       29110.18      7898.3223             12      95.586802
            100            2.1        1000000     -1.6621277     0.86886536      23025.769      7551.1512             12      100.17226
            100           2.15        1000000     -1.6092613     0.83185395      23743.835      6949.0811             12      93.919451
            100            2.2        1000000     -1.5453618     0.77575213      21898.378       6082.439             12      97.698599
            100           2.25        1000000     -1.4627959     0.66584479      21408.429      4573.3267             12      94.020953
            100            2.3        1000000      -1.346294     0.31656198      18135.679      1320.9823             12      92.053129
