 Lattice size L  Temperature T      MC Cycles          <E>/N          <M>/N            C_V            chi        Threads       Time (s)   Accept. rate
             20              1           1000     -1.9963994     0.99909985     0.03514107   0.0021963168             12      0.0057986  0.00096016249
             20            2.4           1000     -1.2897273     0.56508234      2.4514455      8.1689414             12      0.0042169      0.2513174
             20              1           1072     -1.9964174     0.99910435    0.034274741   0.0021421713             12       0.003896  0.00095163304
             20            2.4           1072      -1.281809     0.53943498      2.3546253      9.2096423             12      0.0042116     0.25492285
             20              1           1149     -1.9966559     0.99916397    0.032312144    0.002019509             12       0.004446  0.00090030364
             20            2.4           1149     -1.2723031     0.51053045      2.3123803      10.577951             12      0.0045086     0.25849519
             20              1           1232     -1.9968666     0.99921665    0.030494606   0.0019059129             12      0.0051107  0.00098581402
             20            2.4           1232     -1.2583578      0.4872041      2.3681345      11.123911             12      0.0049652     0.26360342
             20              1           1321     -1.9968814     0.99922035    0.030019597   0.0018762248             12      0.0122379   0.0010484234
             20            2.4           1321     -1.2499099     0.46759422      2.3011683      11.268955             12      0.0086208     0.26716648
             20              1           1417     -1.9959351     0.99898376     0.03945989   0.0024662431             12       0.008416   0.0011432666
             20            2.4           1417     -1.2352449      0.4516145      2.3638801      11.095774             12      0.0054868      0.2729056
             20              1           1519     -1.9961821     0.99904553    0.037355265   0.0023347041             12      0.0059124   0.0010714286
             20            2.4           1519     -1.2236087     0.42797706      2.3500118      11.661568             12      0.0081162     0.27733631
             20              1           1629     -1.9956798     0.99891995     0.04161454   0.0026009088             12      0.0064878   0.0011168981
             20            2.4           1629     -1.2191879     0.40381906      2.2310705      12.259488             12      0.0061761     0.27842255
             20              1           1747     -1.9954438     0.99886095    0.045733371   0.0028583357             12      0.0065469   0.0011733969
             20            2.4           1747     -1.2193152     0.39155346      2.0973201      11.815433             12      0.0066125     0.27786706
             20              1           1873     -1.9953871     0.99884677    0.044793358   0.0027995849             12      0.0070104    0.001185268
             20            2.4           1873     -1.2178546     0.37411478      2.0204894      11.750335             12      0.0078315     0.27819253
             20              1           2009     -1.9955602     0.99889005    0.042925802   0.0026828626             12      0.0080334   0.0011224571
             20            2.4           2009     -1.2111318      0.3543734      1.9762344      11.888778             12      0.0080432     0.28055819
             20              1           2154     -1.9955428      0.9988857    0.041973946   0.0026233716             12      0.0082391   0.0010864412
             20            2.4           2154     -1.2117717     0.33887326      1.8628477      11.673191             12      0.0108472     0.28013674
             20              1           2310      -1.995827     0.99895676    0.039717998   0.0024823748             12      0.0134272   0.0010151647
             20            2.4           2310     -1.2188248     0.34328125      1.8019008      11.051017             12      0.0098429     0.27843655
             20              1           2477     -1.9956397     0.99890992    0.039680179   0.0024800112             12      0.0112995   0.0010547276
             20            2.4           2477     -1.2127291     0.34874575      1.7643487       10.40587             12      0.0090522     0.28015989
             20              1           2656     -1.9959336     0.99898341     0.03748334   0.0023427087             12      0.0113111   0.0010165913
             20            2.4           2656     -1.2082246     0.35108068      1.6933578      9.7412098             12      0.0095561     0.28089604
             20              1           2848     -1.9959135     0.99897664    0.037048032   0.0023296479             12      0.0102054  0.00098484252
             20            2.4           2848     -1.2093286     0.35233073      1.6210791      9.3022298             12      0.0114812     0.28018945
             20              1           3053      -1.995742     0.99891585    0.039704377   0.0026415126             12      0.0107926   0.0010055394
             20            2.4           3053     -1.2075605     0.34625816      1.5417207       8.798527             12      0.0117396     0.28088181
             20              1           3274     -1.9958886     0.99895382    0.038152894   0.0025343031             12      0.0119995  0.00097286321
             20            2.4           3274     -1.2015007     0.34909102      1.4967012      8.2613294             12      0.0125878      0.2825561
             20              1           3511     -1.9956592     0.99888916    0.038810636   0.0026167701             12      0.0142246  0.00097412322
             20            2.4           3511     -1.1932958     0.34999221      1.5144587      7.8188877             12      0.0149031     0.28533663
             20              1           3764     -1.9957225     0.99889875    0.038123623   0.0026101049             12       0.016177  0.00093321299
             20            2.4           3764      -1.195787     0.36346887      1.4417146      7.7527625             12       0.014001     0.28448515
             20              1           4037     -1.9958335     0.99892866    0.036851328   0.0025158888             12      0.0166413   0.0009227136
