 Lattice size L  Temperature T      MC Cycles          <E>/N          <M>/N            C_V            chi        Threads       Time (s)   Accept. rate
             20              1           1000     -1.7420881     0.46331296      6957.8621      19466.527             12      0.0037927    0.064514495
             20            2.4           1000     -1.1319571     0.30362831      582.76234      2595.5096             12      0.0039434     0.31205872
             20              1           1072     -1.7848491     0.61187946      7516.9929      20270.265             12      0.0046228    0.056079271
             20            2.4           1072     -1.1383047     0.29921937      599.85255      2671.9704             12      0.0044431     0.30931804
             20              1           1149     -1.8051917     0.60449987      6938.9601      23176.402             12        0.00448    0.048859628
             20            2.4           1149     -1.1476041     0.28180727      617.68697      2332.5872             12      0.0042071     0.30469041
             20              1           1232     -1.7968217     0.60970514      7218.4475      20857.812             12      0.0063888    0.050687797
             20            2.4           1232     -1.1659966     0.30933846      645.80789      3319.4285             12      0.0061262     0.29847545
             20              1           1321      -1.750283     0.33611391      4981.4672      19428.277             12       0.006472    0.055534381
             20            2.4           1321     -1.1611005     0.34062517      681.41896      3521.9743             12      0.0055598     0.30013693
             20              1           1417     -1.8278158     0.66554147      6754.7779      21735.059             12      0.0053782    0.043443375
             20            2.4           1417     -1.1529927     0.35955387      589.53063      2777.2687             12      0.0075763     0.30229003
             20              1           1519     -1.8094274     0.57569636      6421.3884      26163.552             12      0.0106783    0.046871606
             20            2.4           1519     -1.1623848     0.31275515       614.2253      3133.8818             12      0.0084172     0.30008728
             20              1           1629     -1.7905154     0.47611786      5395.5242      24439.656             12      0.0056989    0.046631366
             20            2.4           1629     -1.1638893     0.35308391      715.16999       3270.819             12      0.0053695      0.2986276
             20              1           1747     -1.8306904     0.62051713      5689.0951      24562.757             12      0.0059845    0.039903745
             20            2.4           1747      -1.166888      0.3398229      590.30769      3639.2861             12      0.0074229     0.29710863
             20              1           1873     -1.8307768     0.63262868      5723.8276      22750.105             12      0.0083592    0.039989563
             20            2.4           1873     -1.2117208     0.42202632       767.7236       4164.209             12      0.0060402      0.2809529
             20              1           2009     -1.8722026     0.72881351      5473.6739       22544.67             12      0.0082578    0.031949662
             20            2.4           2009     -1.1833946     0.35956424      650.90511      3591.9633             12       0.008435     0.29236973
             20              1           2154     -1.8174392     0.53430873      5009.6413      25608.514             12       0.006625    0.039952287
             20            2.4           2154     -1.2188797      0.4466829      732.44973       3830.965             12      0.0094722      0.2781543
             20              1           2310     -1.9052967     0.85072266      5104.4177      11142.814             12      0.0084567    0.024148714
             20            2.4           2310     -1.1618382     0.34194024      574.14594      3074.4969             12      0.0096011     0.29948114
             20              1           2477     -1.8846837     0.75213866      4904.0712      20796.684             12      0.0089926    0.027851554
             20            2.4           2477     -1.2276881     0.47259239      736.53497      3197.3788             12      0.0097753     0.27452464
             20              1           2656     -1.8853465     0.77438787      4840.2644      16686.048             12      0.0087846    0.026888839
             20            2.4           2656     -1.1972914     0.39913877      681.99502      3557.7711             12      0.0096709     0.28451565
             20              1           2848      -1.845726     0.60100773      4480.3986      25578.308             12      0.0107617    0.033210676
             20            2.4           2848      -1.200724     0.38713681      683.21262      3945.4514             12      0.0108174     0.28398974
             20              1           3053     -1.8819018      0.7247804        4613.13      22542.739             12      0.0124829    0.026673412
             20            2.4           3053     -1.1948661     0.35385566      607.22154      3875.4175             12      0.0138114     0.28653226
             20              1           3274     -1.8886633     0.74248231       4417.409      21366.342             12      0.0120057    0.025124287
             20            2.4           3274     -1.1893278     0.39231381       564.9264      3166.0202             12      0.0131381     0.28815063
             20              1           3511     -1.9297138      0.8765507      3695.9364      10947.945             12      0.0177686    0.016900248
             20            2.4           3511     -1.2013578     0.38066322      617.98337      3760.5079             12       0.014331     0.28305872
             20              1           3764     -1.8899764     0.75532696      4225.3874       19245.99             12      0.0122679    0.024037519
             20            2.4           3764     -1.1978444     0.36743412      527.59584      3370.8873             12      0.0140405     0.28460492
             20              1           4037     -1.8827638     0.67678818      4048.1239      27013.122             12       0.012664    0.024727643
             20            2.4           4037     -1.2054201     0.39588555      598.00546      3860.3309             12       0.013092     0.28195802
             20              1           4328     -1.8883315      0.7582504      3935.2472      17433.424             12      0.0156478    0.024220914
             20            2.4           4328     -1.2291253     0.44524834      687.76034      3745.6582             12      0.0142112     0.27282687
             20              1           4641     -1.8420524     0.56012544      3853.6057      26982.272             12      0.0149958    0.031399613
             20            2.4           4641     -1.2242562     0.43052475      605.63092      3434.7299             12      0.0172163     0.27569857
             20              1           4977     -1.9196003     0.80372582      3416.0682      19280.689             12      0.0172535    0.017268947
             20            2.4           4977     -1.2374764     0.46211091      695.16193      3900.6218             12       0.018011     0.27066512
             20              1           5336     -1.8908087     0.70345832       3786.019      25666.651             12      0.0214817    0.022756322
             20            2.4           5336     -1.2105243     0.37572447      593.65157      3880.8779             12      0.0222141     0.28041942
             20              1           5722     -1.8377158     0.51930581       3422.267      27216.007             12      0.0190599    0.031911588
             20            2.4           5722     -1.2236962     0.42208995       665.6102       3945.914             12      0.0185311     0.27529661
             20              1           6135     -1.8460194      0.5700889      3368.1632      24574.073             12      0.0209709    0.029787438
             20            2.4           6135     -1.2259102     0.43353615      591.98303      3630.9429             12      0.0201936     0.27454925
             20              1           6579     -1.9067975     0.77981797      3322.5581      17859.124             12      0.0218795     0.01926743
             20            2.4           6579     -1.2016189     0.36267443      493.52975       3443.855             12      0.0208073     0.28405443
             20              1           7054     -1.8914203      0.7165912      3331.6746      21869.183             12      0.0249488    0.021899481
             20            2.4           7054     -1.2384894       0.457112      650.67234      3844.1618             12      0.0237323     0.26993799
             20              1           7564     -1.9274358     0.81059753      2921.4889      18972.314             12       0.024912    0.015304887
             20            2.4           7564     -1.2087599     0.40812276      536.53226      3400.8717             12      0.0265802     0.28124658
