 Lattice size L  Temperature T      MC Cycles          <E>/N          <M>/N            C_V            chi        Threads       Time (s)
             20              1             10           -nan           -nan           -nan           -nan             12      0.0012154
             20            2.4             10           -nan           -nan           -nan           -nan             12      0.0011487
             20              1          12668     -1.9973097     0.99931323      9.4817731     0.63309498             12      0.0436614
             20            2.4          12668     -1.2283036     0.46154641      554.11919      2695.0689             12      0.0467136
             20              1          25326     -1.9972345     0.99929559      9.2711019     0.61680873             12      0.0902782
             20            2.4          25326     -1.2335769     0.47034435      560.20057      2856.0947             12      0.0914144
             20              1          37984      -1.997371     0.99933327      8.6616166     0.56840819             12      0.1860682
             20            2.4          37984     -1.2448507     0.49200627      530.59088      2647.8381             12      0.1513581
             20              1          50642     -1.9973271     0.99931875      8.8887452     0.59396322             12      0.1874799
             20            2.4          50642     -1.2435856     0.49117896      532.90163      2725.2006             12      0.1877956
             20              1          63300     -1.9972588     0.99930237      9.0801678     0.60307777             12      0.2370378
             20            2.4          63300     -1.2312512     0.45553934      512.52629      3062.5812             12      0.2326526
             20              1          75958     -1.9972322     0.99929303      9.1530349     0.61452019             12      0.2923329
             20            2.4          75958      -1.218222     0.41749456      514.63835      3389.2767             12      0.3068932
             20              1          88616      -1.997276     0.99930306      8.9969354     0.60667494             12      0.3335656
             20            2.4          88616     -1.2250164     0.42751888      529.05536      3428.2646             12      0.3672557
             20              1         101274     -1.9972581     0.99929913      9.1143442     0.61291498             12      0.3765098
             20            2.4         101274     -1.2259869     0.42356107      528.64071      3537.0319             12      0.3735433
             20              1         113932     -1.9971983     0.99928536      9.3474797     0.62397118             12      0.4161172
             20            2.4         113932     -1.2316076     0.43661987      551.47363      3583.3398             12      0.4261687
             20              1         126591     -1.9972167     0.99929043      9.2080278     0.61374094             12      0.4705406
             20            2.4         126591      -1.236928      0.4489438      559.42581      3566.7879             12      0.4992336
             20              1         139249     -1.9972199     0.99929206       9.156989     0.60818962             12      0.5288538
             20            2.4         139249     -1.2347684      0.4440415      552.79782      3537.8092             12      0.5064832
             20              1         151907     -1.9972182      0.9992921      9.1589222     0.60684596             12      0.6169396
             20            2.4         151907     -1.2397519     0.45571574      562.45812      3553.3507             12      0.5482585
             20              1         164565     -1.9971817     0.99928153      9.3611247     0.62363349             12      0.6618055
             20            2.4         164565     -1.2421101     0.46420839       559.0665        3479.04             12      0.6316058
             20              1         177223     -1.9971703      0.9992782      9.4064401     0.62787971             12      0.6429857
             20            2.4         177223     -1.2430679     0.46584301      562.72569      3463.4664             12        0.68438
             20              1         189881      -1.997137     0.99927004      9.4719051     0.63167924             12      0.6769351
             20            2.4         189881     -1.2388551     0.45838056      561.55169       3478.885             12      0.6866859
             20              1         202539      -1.997181     0.99928162      9.3438254     0.62200421             12      0.7739484
             20            2.4         202539     -1.2389442     0.46046487      556.66309      3448.8549             12      0.7493801
             20              1         215197     -1.9971661     0.99927815      9.3787134     0.62392527             12      0.7681077
             20            2.4         215197     -1.2334464     0.44575122      557.39717       3582.276             12      0.8580164
             20              1         227855     -1.9971513     0.99927401      9.4006424     0.62664911             12      0.8987631
             20            2.4         227855     -1.2324469     0.44419964      554.64355      3557.4309             12      0.8922058
             20              1         240513     -1.9971551      0.9992753      9.4021648       0.625852             12      0.8797468
             20            2.4         240513     -1.2320253     0.44261336      548.08584      3526.8993             12      0.8738715
             20              1         253172     -1.9971641     0.99927741      9.3752972     0.62497216             12      1.0248095
             20            2.4         253172     -1.2312304     0.44347514      546.71891      3486.8546             12      0.9701184
             20              1         265830     -1.9971735     0.99927973      9.3402881     0.62285789             12      1.1086118
             20            2.4         265830     -1.2280829      0.4355906      544.40567      3520.4986             12      0.9727088
             20              1         278488     -1.9971539     0.99927523      9.3785266      0.6240052             12      1.0020716
             20            2.4         278488      -1.230929      0.4419468      551.36386      3541.8132             12      1.0570915
             20              1         291146     -1.9971614     0.99927706       9.363103     0.62299266             12      1.0534733
             20            2.4         291146     -1.2304123     0.44172477       548.2988      3516.1792             12      1.0473401
             20              1         303804     -1.9971505     0.99927381      9.3827188     0.62613398             12      1.1006671
             20            2.4         303804     -1.2319599     0.44507742      548.89397      3508.0519             12       1.150946
             20              1         316462     -1.9971363     0.99927024      9.3926655     0.62661309             12       1.227428
             20            2.4         316462      -1.234655     0.45064335      555.15763       3496.172             12      1.1943748
             20              1         329120      -1.997148     0.99927306      9.3702613      0.6253427             12       1.180411
             20            2.4         329120     -1.2358518     0.45368624      552.32349      3466.6628             12      1.2023555
             20              1         341778     -1.9971276     0.99926742      9.4551745      0.6324931             12      1.2553001
             20            2.4         341778     -1.2368402      0.4548253      552.42589      3485.4978             12      1.2491819
             20              1         354436     -1.9971242     0.99926682      9.4438532     0.63108599             12      1.2766218
             20            2.4         354436     -1.2369106     0.45625626      550.73112      3467.6764             12      1.2872284
             20              1         367094     -1.9971243     0.99926695      9.4308406     0.62991385             12      1.3831862
             20            2.4         367094     -1.2372073      0.4586162      552.33082      3453.2557             12      1.3525464
             20              1         379753     -1.9971377     0.99927053      9.4056987     0.62761682             12      1.3717271
             20            2.4         379753     -1.2383084     0.46014371      553.68948      3453.2302             12      1.3692568
             20              1         392411     -1.9971633     0.99927692       9.319368     0.62226771             12        1.44728
             20            2.4         392411     -1.2393615     0.46147486       552.7446      3449.8661             12      1.4677541
             20              1         405069     -1.9971637     0.99927568      9.3417292     0.63131337             12      1.4596216
