 Lattice size L  Temperature T      MC Cycles          <E>/N          <M>/N            C_V            chi        Threads       Time (s)
             20              1             10           -nan           -nan           -nan           -nan             12  0.00060319999
             20            2.4             10           -nan           -nan           -nan           -nan             12  0.00050170001
             20              1          12668     -1.9496711     0.87735239      2115.8429      12646.464             12      0.0384084
             20            2.4          12668     -1.2307923     0.45172236      588.71829      3347.2459             12      0.0449891
             20              1          25326     -1.9733991     0.93612097      1112.2687      7290.9701             12      0.0764793
             20            2.4          25326     -1.2312747     0.44111317      558.33086      3533.3119             12      0.0775463
             20              1          37984     -1.9834374     0.96369992      695.78067       4188.625             12      0.1200245
             20            2.4          37984     -1.2391143     0.46204467      566.84783      3377.1149             12      0.1167958
             20              1          50642      -1.971409     0.92738075      1053.6538      7939.1323             12      0.1685817
             20            2.4          50642     -1.2402329     0.45585536      572.65841       3656.508             12      0.1515524
             20              1          63300     -1.9840179     0.96424155      613.95523      4110.5023             12      0.1888729
             20            2.4          63300     -1.2314292     0.44032235       557.9878      3589.2215             12      0.1896103
             20              1          75958     -1.9902257     0.98246117      364.07256      1920.9579             12      0.2299962
             20            2.4          75958     -1.2391714     0.45740932      567.50046      3486.3628             12      0.2290539
             20              1          88616     -1.9912086     0.98348913       311.7217       1962.687             12      0.2681255
             20            2.4          88616     -1.2373965     0.45162303      573.23319      3583.8289             12      0.2693019
             20              1         101274     -1.9915499     0.98434722      299.22051      1859.1365             12      0.3218979
             20            2.4         101274     -1.2372408     0.45275663       564.6559      3542.7048             12      0.3232923
             20              1         113932     -1.9920308      0.9865578       273.5227      1496.0117             12      0.3589429
             20            2.4         113932     -1.2362082     0.44699543      571.98736      3710.1617             12      0.3611883
             20              1         126591     -1.9855901      0.9652065      505.69196      4181.7941             12      0.3909137
             20            2.4         126591     -1.2375201     0.44944428      572.60859      3603.6276             12      0.4067847
             20              1         139249     -1.9911146     0.98273341      299.59826      2038.6478             12      0.5000716
             20            2.4         139249     -1.2363913     0.44945716      564.65758      3577.2414             12      0.5108902
             20              1         151907     -1.9848022     0.96210875      527.67237      4581.7036             12      0.4917902
             20            2.4         151907     -1.2380107     0.45275813      567.42797      3567.4134             12      0.4866043
             20              1         164565     -1.9924507      0.9865283      238.43376      1579.2982             12      0.5174953
             20            2.4         164565     -1.2401092     0.45866753       570.2073      3579.3519             12      0.5323389
             20              1         177223     -1.9946498     0.99305141      147.01425       751.1398             12      0.5625063
             20            2.4         177223     -1.2349629     0.44844892      564.71447      3526.6864             12      0.6174578
             20              1         189881     -1.9935514     0.99013326      184.01052      1077.4746             12      0.6057951
             20            2.4         189881     -1.2387059     0.45531285      571.55526      3574.8338             12      0.6142433
             20              1         202539     -1.9935643      0.9894767       184.6448       1214.729             12      0.6562988
             20            2.4         202539      -1.239592     0.45941363      569.04023      3553.0796             12      0.6604095
             20              1         215197     -1.9947969     0.99332374      133.06654       713.6222             12      0.7013495
             20            2.4         215197     -1.2415611     0.46267515        568.705      3518.8596             12      0.7449293
             20              1         227855     -1.9907903     0.97984426      282.21154      2485.8626             12      0.7523015
             20            2.4         227855     -1.2366603     0.45265376      574.12257      3547.5253             12      0.7561975
             20              1         240513     -1.9936507     0.98981512      173.59283       1142.224             12      0.7938828
             20            2.4         240513      -1.238867     0.45790671      570.67299      3515.6752             12      0.8261889
             20              1         253172     -1.9953934     0.99510581      111.46514      517.11448             12      0.8407684
             20            2.4         253172     -1.2365948     0.45371152      564.17435      3533.7158             12      0.8634114
             20              1         265830     -1.9960844     0.99709136      77.927302      255.34939             12      0.9255082
             20            2.4         265830     -1.2351369     0.45075031      556.84551      3516.4988             12      0.9101581
             20              1         278488     -1.9954731     0.99498853      99.250927      526.89945             12      0.9326379
             20            2.4         278488     -1.2357771     0.44979327      563.55759      3564.8347             12      0.9701006
             20              1         291146     -1.9929926     0.98721071       194.4224      1521.5772             12      0.9824696
             20            2.4         291146     -1.2401138     0.46003718      566.54605      3521.8568             12      1.0309857
             20              1         303804     -1.9957198     0.99586554      86.704785      401.83659             12      1.0598961
             20            2.4         303804     -1.2363391     0.45261787       560.4655      3517.6849             12      1.0407964
             20              1         316462     -1.9944117     0.99178464       139.1205      927.42226             12      1.0747123
             20            2.4         316462     -1.2380012     0.45726605      570.94254      3513.8792             12      1.1001293
             20              1         329120     -1.9954864     0.99500843         93.686      523.72492             12      1.1540593
             20            2.4         329120     -1.2387836     0.45570292        571.742       3581.239             12      1.1630412
             20              1         341778     -1.9942687     0.99127887      143.87938      995.44876             12      1.1799218
             20            2.4         341778     -1.2341434     0.44792268      566.27166      3568.3269             12      1.1832235
             20              1         354436     -1.9951675     0.99411361       109.9851      641.38927             12      1.2159424
             20            2.4         354436     -1.2375742     0.45512458      567.58354      3526.2169             12      1.3013549
             20              1         367094     -1.9950652     0.99433874      111.22271      552.73576             12      1.3177434
             20            2.4         367094     -1.2352924     0.44925293      564.89105      3588.6153             12      1.3065499
