 Lattice size L  Temperature T      MC Cycles          <E>/N          <M>/N            C_V            chi        Threads       Time (s)
             20              1            100     -1.5287809     0.22770062      233.95741      11.126929             12      0.0013131
             20              1            109     -1.5141667     0.21064815      211.87481         8.5175             12      0.0010494
             20              1            120     -1.5222222     0.29699074      214.47037      8.8484259             12      0.0010652
             20              1            132      -1.511532     0.32651515      303.85892       19.22037             12      0.0013993
             20              1            145     -1.5324786     0.23785613      297.22194      3.5701567             12       0.001262
             20              1            159     -1.5974537     0.25737847       261.3625      26.570833             12      0.0010856
             20              1            174     -1.6396296     0.19210648      255.06204      4.6240741             12      0.0013769
             20              1            191     -1.6556624      0.2514245      381.70456      10.669729             12      0.0014574
             20              1            210      -1.634219     0.33629227      369.60805      44.445813             12      0.0015974
             20              1            231     -1.6111532     0.30450337      334.18165      7.7554293             12      0.0015196
             20              1            253     -1.6165404     0.24564394      348.38889      7.4684343             12      0.0013423
             20              1            278     -1.7004444     0.46264815      400.07393      53.654963             12      0.0015259
             20              1            305     -1.7302778      0.4317284      389.92346      39.195895             12      0.0019363
             20              1            335     -1.8091374     0.65416667      1192.3382       197.4934             12      0.0056842
             20              1            367     -1.7659159     0.50052553      1230.3546      134.23108             12      0.0055317
             20              1            403     -1.7469676     0.36311343      1194.4601      85.130301             12      0.0069408
             20              1            443     -1.7421986     0.42060678      417.27998      53.309515             12        0.00284
             20              1            486     -1.7550725     0.43849638      602.18317       51.63746             12      0.0034091
             20              1            533     -1.7945475     0.55512588      309.35573      29.167524             12      0.0032802
             20              1            585     -1.7987005     0.59469623      428.44919      58.448749             12      0.0034265
             20              1            642         -1.775     0.43968142      408.37602      27.693879             12        0.00288
             20              1            705     -1.8241432     0.54354616      461.68264      83.767786             12      0.0035541
             20              1            774     -1.8131481     0.48195106      465.40444      113.78257             12      0.0036604
             20              1            849     -1.8295359     0.60126582       425.2338      53.973476             12      0.0035947
             20              1            932     -1.8667756     0.69027233      575.87638      99.314477             12      0.0043656
             20              1           1023     -1.8313334     0.54079873      1334.2788       167.7876             12      0.0094038
             20              1           1123     -1.8803519        0.73975      1408.2474      261.33261             12      0.0082131
             20              1           1232     -1.9169529     0.78991162      1461.7293      289.63471             12      0.0068749
             20              1           1353     -1.8717937     0.69524793      350.24236      58.394552             12      0.0058205
             20              1           1484     -1.8572166     0.59330647      586.86545      94.707231             12      0.0063207
             20              1           1629     -1.8640432     0.67077225      1270.1464      226.77314             12      0.0127384
             20              1           1788     -1.8927542     0.69806736      324.19776      24.305984             12      0.0068679
             20              1           1963     -1.8869063     0.69090414      499.27135      101.88746             12      0.0071109
             20              1           2154     -1.9342893     0.82977227      1496.7555      312.12993             12      0.0109296
             20              1           2364     -1.8731998     0.62060538      1404.5236      216.35214             12      0.0110687
             20              1           2595     -1.8765686     0.62400008      1408.5182      217.55197             12      0.0112413
             20              1           2848     -1.8686799     0.63323344      689.45365      99.329914             12      0.0104216
             20              1           3125     -1.9082495     0.72290881      1459.3127      267.22872             12      0.0185141
             20              1           3430     -1.8695386     0.61167765      1401.6211      212.02763             12      0.0149273
             20              1           3764      -1.893882     0.70293931       1206.158      252.95344             12      0.0145488
             20              1           4132      -1.870075     0.60055343      1402.4347      213.68424             12      0.0165416
             20              1           4534     -1.9445928     0.84464303      1514.3616      323.96453             12      0.0200239
             20              1           4977     -1.9839988     0.97623019      383.03071      88.039666             12      0.0174366
             20              1           5462     -1.9458627      0.8563042      1516.0429      325.53222             12      0.0196814
             20              1           5994     -1.9353319     0.80590576      1368.2845      273.02053             12      0.0226586
             20              1           6579     -1.9431471     0.82924145      1514.3073      319.75462             12      0.0243441
             20              1           7220     -1.9909749     0.97975658       665.5299      166.65421             12      0.0240383
             20              1           7924     -1.9367303     0.79361822      1370.9582      270.85763             12      0.0302318
             20              1           8697     -1.9594374     0.88345965      1431.8385      334.71888             12      0.0347418
             20              1           9545     -1.9583438     0.86218519      1402.2912      302.70373             12      0.0319047
             20              1          10476     -1.9713684     0.92294133      1556.3451      361.36982             12      0.0406792
             20              1          11497     -1.9780047     0.93765448       1432.234      336.00017             12      0.0384383
             20              1          12618     -1.9308884      0.7985257      1495.2189       301.4594             12      0.0473915
             20              1          13848      -1.952777     0.86149183      1528.4763      333.66737             12      0.0533311
             20              1          15199     -1.9516853     0.84808778      1527.0596      329.82816             12      0.0591143
             20              1          16681     -1.9888077     0.97065394        1582.89      386.34469             12      0.0652317
             20              1          18307     -1.9578601     0.87177528      1536.4234      340.00239             12      0.0762436
             20              1          20092     -1.9283373      0.7791537      1491.6415      294.92623             12      0.0789349
