 Lattice size L  Temperature T      MC Cycles          <E>/N          <M>/N            C_V            chi        Threads       Time (s)
             40          2.225        1000000     -1.5088777     0.74564285      3650.6496      908.17907             12      12.999002
             40          2.275        1000000     -1.4164955     0.61120265      2949.3233      651.55625             12      14.743368
             40          2.325        1000000     -1.3185702     0.43483778      2791.6123      373.45212             12      15.589486
             40           2.35        1000000     -1.2766839     0.36158894      2397.2665       275.3009             12      17.465648
             40            2.4        1000000     -1.2070016     0.25444353      2337.8625      148.23756             12      15.055758
             40           2.45        1000000     -1.1530726     0.19525846      2133.2533      91.029927             12      15.634959
             40            2.5        1000000     -1.1060937     0.15923235      1962.9154      61.945564             12      14.351901
             60          2.225        1000000     -1.5090932     0.74643952      8206.4074      2025.7045             12      37.661547
             60          2.275        1000000     -1.4122383     0.57987074      7191.1951      1316.2661             12      38.570231
             60          2.325        1000000     -1.3069579     0.32648777      6158.7111      511.41382             12      33.724634
             60           2.35        1000000      -1.267588     0.24808547      5308.1388      316.61653             12      36.057691
             60            2.4        1000000     -1.2041597     0.16699826      5226.4906      152.01484             12      35.512566
             60           2.45        1000000     -1.1516626      0.1305896      4383.2962      94.528846             12      34.709903
             60            2.5        1000000     -1.1061098     0.10648616      4409.8595      63.094195             12      33.062429
             80          2.225        1000000     -1.5090958     0.74614971      14583.098      3583.9551             12      59.187936
             80          2.275        1000000     -1.4061756     0.53251339      12667.221      2025.7256             12      59.429808
             80          2.325        1000000     -1.3039048     0.26448797      10890.036      617.29638             12      59.385172
             80           2.35        1000000     -1.2658656      0.1895968      9408.4542      339.70259             12      58.970045
             80            2.4        1000000     -1.2039028     0.12757651      8508.7181      159.30981             12      61.652917
             80           2.45        1000000     -1.1515939    0.096495479      8493.2751      92.804837             12       61.44679
             80            2.5        1000000     -1.1057467    0.078158362      7177.9711      61.171941             12      62.970954
            100          2.225        1000000       -1.50832     0.74265528      22758.176      5541.3729             12      93.925541
            100          2.275        1000000     -1.4037915     0.51247703      18088.198      2909.0246             12      110.46566
            100          2.325        1000000     -1.3021636     0.20497261       15550.82      611.72384             12      108.25601
            100           2.35        1000000     -1.2656717     0.15654926      16026.641      372.09496             12      101.71831
            100            2.4        1000000     -1.2035584     0.10105547      14491.902      158.34897             12      97.070625
            100           2.45        1000000     -1.1514969    0.077372108      13265.167       93.25567             12      94.905833
            100            2.5        1000000     -1.1060898    0.063447865      12239.596      62.644634             12       97.06333
