 Lattice size L  Temperature T      MC Cycles          <E>/N          <M>/N            C_V            chi        Threads       Time (s)
             40              2        1000000     -1.7456211     0.91136966      4878.3523      1329.7123             12      13.487506
             40           2.05        1000000     -1.7066554     0.89273712      4663.7402      1276.3367             12       14.41778
             40            2.1        1000000     -1.6618498     0.86863688      4054.7873      1209.2028             12      14.695997
             40           2.15        1000000     -1.6096651     0.83565486      4150.8967      1121.2822             12      15.074481
             40            2.2        1000000       -1.54642     0.78442187       3833.097      995.29496             12      15.360041
             40           2.25        1000000     -1.4665833     0.69222057      3450.6422      799.21128             12      15.095472
             40            2.3        1000000     -1.3684624     0.52999321      3006.8942      516.49914             12      15.304692
             60              2        1000000     -1.7456174     0.91131926      10972.645       2990.552             12      38.836835
             60           2.05        1000000     -1.7069462     0.89289429      10492.584      2871.2869             12      35.086505
             60            2.1        1000000     -1.6621613     0.86887052      9950.1444      2719.7106             12      36.564402
             60           2.15        1000000     -1.6102986     0.83666279      9340.1447       2523.608             12       35.90698
             60            2.2        1000000      -1.545963     0.78321222      8610.8617      2220.9138             12      37.065599
             60           2.25        1000000     -1.4654362     0.68562151      7740.5381      1740.5727             12      34.872052
             60            2.3        1000000     -1.3586004     0.45893034      6655.9092      893.64841             12      35.040554
             80              2        1000000     -1.7454688     0.91078755      19501.398      5311.3821             12      61.199685
             80           2.05        1000000     -1.7067294     0.89270043      17092.474      5101.3971             12      58.871359
             80            2.1        1000000     -1.6618565     0.86773083      17679.477      4824.9779             12      64.416262
             80           2.15        1000000     -1.6098678     0.83598263      15209.611      4476.5634             12      62.261169
             80            2.2        1000000     -1.5466652     0.78546215      12766.692      3629.0067             12      60.123647
             80           2.25        1000000     -1.4637259     0.67723437      13721.795      2999.5411             12      64.759588
             80            2.3        1000000     -1.3508744     0.37736608       11690.33      1152.7639             12      61.793432
            100              2        1000000     -1.7437422     0.89469039      27870.316      8118.7601             12        99.9925
            100           2.05        1000000     -1.7060604     0.88653869       29110.18      7898.3223             12      95.586802
            100            2.1        1000000     -1.6621277     0.86886536      23025.769      7551.1512             12      100.17226
            100           2.15        1000000     -1.6092613     0.83185395      23743.835      6949.0811             12      93.919451
            100            2.2        1000000     -1.5453618     0.77575213      21898.378       6082.439             12      97.698599
            100           2.25        1000000     -1.4627959     0.66584479      21408.429      4573.3267             12      94.020953
            100            2.3        1000000      -1.346294     0.31656198      18135.679      1320.9823             12      92.053129
             40          2.225        1000000     -1.5088777     0.74564285      3650.6496      908.17907             12      12.999002
             40          2.275        1000000     -1.4164955     0.61120265      2949.3233      651.55625             12      14.743368
             40          2.325        1000000     -1.3185702     0.43483778      2791.6123      373.45212             12      15.589486
             40           2.35        1000000     -1.2766839     0.36158894      2397.2665       275.3009             12      17.465648
             40            2.4        1000000     -1.2070016     0.25444353      2337.8625      148.23756             12      15.055758
             40           2.45        1000000     -1.1530726     0.19525846      2133.2533      91.029927             12      15.634959
             40            2.5        1000000     -1.1060937     0.15923235      1962.9154      61.945564             12      14.351901
             60          2.225        1000000     -1.5090932     0.74643952      8206.4074      2025.7045             12      37.661547
             60          2.275        1000000     -1.4122383     0.57987074      7191.1951      1316.2661             12      38.570231
             60          2.325        1000000     -1.3069579     0.32648777      6158.7111      511.41382             12      33.724634
             60           2.35        1000000      -1.267588     0.24808547      5308.1388      316.61653             12      36.057691
             60            2.4        1000000     -1.2041597     0.16699826      5226.4906      152.01484             12      35.512566
             60           2.45        1000000     -1.1516626      0.1305896      4383.2962      94.528846             12      34.709903
             60            2.5        1000000     -1.1061098     0.10648616      4409.8595      63.094195             12      33.062429
             80          2.225        1000000     -1.5090958     0.74614971      14583.098      3583.9551             12      59.187936
             80          2.275        1000000     -1.4061756     0.53251339      12667.221      2025.7256             12      59.429808
             80          2.325        1000000     -1.3039048     0.26448797      10890.036      617.29638             12      59.385172
             80           2.35        1000000     -1.2658656      0.1895968      9408.4542      339.70259             12      58.970045
             80            2.4        1000000     -1.2039028     0.12757651      8508.7181      159.30981             12      61.652917
             80           2.45        1000000     -1.1515939    0.096495479      8493.2751      92.804837             12       61.44679
             80            2.5        1000000     -1.1057467    0.078158362      7177.9711      61.171941             12      62.970954
            100          2.225        1000000       -1.50832     0.74265528      22758.176      5541.3729             12      93.925541
            100          2.275        1000000     -1.4037915     0.51247703      18088.198      2909.0246             12      110.46566
            100          2.325        1000000     -1.3021636     0.20497261       15550.82      611.72384             12      108.25601
            100           2.35        1000000     -1.2656717     0.15654926      16026.641      372.09496             12      101.71831
            100            2.4        1000000     -1.2035584     0.10105547      14491.902      158.34897             12      97.070625
            100           2.45        1000000     -1.1514969    0.077372108      13265.167       93.25567             12      94.905833
            100            2.5        1000000     -1.1060898    0.063447865      12239.596      62.644634             12       97.06333
