 Lattice size L  Temperature T      MC Cycles          <E>/N          <M>/N            C_V            chi        Threads       Time (s)   Accept. rate
             40              2        2000000     -1.7456119     0.91131089     0.71922573     0.38408569             12      27.342753    0.079272715
             40           2.02        2000000     -1.7307565     0.90443981      0.7589343      0.4458848             12      28.472509    0.084464233
             40           2.04        2000000      -1.715093     0.89693572     0.80146272     0.52241828             12      29.372524    0.089851789
             40           2.06        2000000     -1.6983789     0.88834563     0.85596213      0.6701078             12      29.034588     0.09575503
             40           2.08        2000000     -1.6807592      0.8790885     0.90801663     0.77996546             12      28.886997     0.10195938
             40            2.1        2000000     -1.6620554     0.86878396     0.95619498      0.9288726             12      28.617634      0.1086068
             40           2.12        2000000     -1.6424743      0.8572762       1.022102      1.1712756             12      28.885716     0.11564577
             40           2.14        2000000     -1.6211196      0.8435386      1.0944287       1.562703             12      29.543519     0.12336889
             40           2.16        2000000     -1.5980198     0.82713688      1.1825686      2.2075023             12       28.88397     0.13170636
             40           2.18        2000000     -1.5738608     0.80914837      1.2697483      2.9621543             12      28.891947     0.14057892
             40            2.2        2000000     -1.5471032     0.78623948      1.4018928      4.4989864             12      29.211583     0.15040448
             40          2.204        2000000     -1.5412137     0.77989228      1.4323934      5.1672488             12      28.848426     0.15260713
             40          2.208        2000000     -1.5346568     0.77314774      1.4738608      5.5786842             12      28.918739     0.15500823
             40          2.212        2000000     -1.5278102     0.76321333      1.5377611      7.6913312             12      28.849725     0.15744515
             40          2.216        2000000     -1.5226297     0.75967077      1.5455906      7.3206302             12      28.907393     0.15939582
             40           2.22        2000000     -1.5181153     0.75785399      1.5321846      6.6419634             12       28.86642     0.16113429
             40          2.224        2000000     -1.5106328     0.74803237      1.5743076      7.8944218             12      29.355115     0.16394016
             40          2.228        2000000     -1.5035921     0.73924799      1.6345117      8.8542217             12      28.868332     0.16644586
             40          2.232        2000000     -1.4978842     0.73345552      1.6454414      9.4303468             12      28.910203     0.16861986
             40          2.236        2000000     -1.4911033     0.72552182      1.6707642      10.111686             12      31.739779      0.1711236
             40           2.24        2000000      -1.485321     0.71981883      1.6890257      10.353737             12      32.454394      0.1732209
             40          2.244        2000000     -1.4778869     0.70884604      1.7413958      11.849571             12       30.50663     0.17609392
             40          2.248        2000000     -1.4694126     0.69608403      1.7994523      13.764435             12      28.971221     0.17921463
             40          2.252        2000000     -1.4618656      0.6830259      1.8481865       15.92453             12      28.914019     0.18207419
             40          2.256        2000000     -1.4555029     0.67644711       1.861714      16.043839             12      28.961961     0.18439243
             40           2.26        2000000     -1.4480927     0.66625417      1.8693615      16.904722             12      28.875304     0.18721529
             40          2.264        2000000     -1.4398768     0.65073512      1.9345282      19.687508             12      28.916219     0.19039416
             40          2.268        2000000      -1.433191     0.64376309      1.9207561      19.255156             12      28.890287     0.19312558
             40          2.272        2000000      -1.423619      0.6245869      1.9678786       22.24336             12       29.20255     0.19633756
             40          2.276        2000000     -1.4153143     0.61197958      1.9702093      22.656998             12      28.614497     0.19958698
             40           2.28        2000000     -1.4078523     0.60012023      2.0085073      23.815155             12      28.709136     0.20235383
             40          2.284        2000000     -1.4008095     0.58910522       2.010085      24.677011             12      28.567952     0.20506121
             40          2.288        2000000     -1.3930503     0.57766396      1.9983051      24.890204             12      28.577533     0.20804434
             40          2.292        2000000     -1.3826288     0.55319897      2.0217143      27.955364             12       28.53595     0.21178831
             40          2.296        2000000     -1.3765706     0.54605192      1.9990978      27.862521             12      28.532699     0.21429811
             40            2.3        2000000     -1.3673433     0.52546086      2.0064581      29.568182             12      28.528898     0.21784133
             40          2.304        2000000     -1.3591377     0.51161411      1.9863381      29.970669             12      28.553729     0.22101275
             40          2.308        2000000     -1.3535911     0.50467052      1.9700716      29.746135             12      28.574128     0.22301193
             40          2.312        2000000     -1.3440587      0.4838848      1.9265071      30.285117             12      28.577479     0.22675051
             40          2.316        2000000     -1.3369755     0.47154687      1.9123865      30.722175             12      28.506714       0.229549
             40           2.32        2000000     -1.3303277     0.46177511      1.8810583      30.445748             12       28.65362     0.23198687
             40          2.324        2000000     -1.3210429     0.44063154      1.8344818      30.809145             12      28.535622     0.23545562
             40          2.328        2000000     -1.3139884      0.4280649      1.7896853      30.490286             12      28.530852      0.2381716
             40          2.332        2000000     -1.3083262      0.4186279      1.7834064      30.612679             12      28.586617     0.24058047
             40          2.336        2000000     -1.3008959     0.40541031      1.7221017      29.658248             12      28.537547     0.24347646
             40           2.34        2000000     -1.2940129     0.39328821       1.698286      29.404163             12      28.550521     0.24605377
             40          2.344        2000000     -1.2869812     0.38026253      1.6611956      28.998161             12      28.630352     0.24878753
             40          2.348        2000000     -1.2793494     0.36364454      1.6064486      28.306324             12      29.131052     0.25176539
             40          2.352        2000000     -1.2731339     0.35475311      1.5652884      27.485003             12      28.552406     0.25404335
             40          2.356        2000000     -1.2671883     0.34495771      1.5469216      26.800671             12      28.546384     0.25663386
             40           2.36        2000000     -1.2603315     0.33262016      1.4865112      25.803641             12       30.30275     0.25925971
             40          2.364        2000000     -1.2550939     0.32569357      1.4638261      25.209155             12      30.416993     0.26125506
             40          2.368        2000000     -1.2500646     0.31932769       1.439271      24.733247             12      28.538456     0.26347679
             40          2.372        2000000     -1.2447225     0.31055208       1.406737      24.019292             12      28.703179     0.26541545
             40          2.376        2000000     -1.2381823     0.29823842      1.3694096      22.968191             12      28.537553     0.26821685
             40           2.38        2000000     -1.2324455     0.28796172       1.343481      22.536411             12      28.611543     0.27048186
             40          2.384        2000000     -1.2269357     0.27808235        1.30035      21.272941             12        28.5926     0.27267594
             40          2.388        2000000     -1.2220399     0.27378549      1.2749235      20.622878             12      28.607479     0.27467278
             40          2.392        2000000     -1.2177136      0.2700447      1.2664629      20.392921             12      28.562205      0.2764669
             40          2.396        2000000      -1.212422     0.26346654      1.2243323      19.445359             12      28.627204     0.27860166
             40            2.4        2000000     -1.2078832     0.25582123      1.2121585      18.967681             12       28.64388      0.2804264
             40           2.42        2000000     -1.1842588     0.22778797      1.1047031      15.981144             12      28.699286     0.29016391
             40           2.44        2000000     -1.1631695     0.20737797       1.029137      13.708557             12      28.585912     0.29898458
             40           2.46        2000000     -1.1433003     0.18754862     0.96596569       11.40076             12      28.608991     0.30744438
             40           2.48        2000000     -1.1244359     0.17293905     0.91630104      9.9171787             12      28.601735       0.315508
             40            2.5        2000000     -1.1063264     0.16033734     0.87254245      8.7071986             12      28.608663     0.32333304
             40           2.52        2000000     -1.0893893     0.15040131     0.83015426      7.6606628             12      28.632586     0.33077273
             40           2.54        2000000     -1.0730923     0.14089567     0.79463996      6.6582347             12      28.621793     0.33795723
             40           2.56        2000000     -1.0575631     0.13231664      0.7571376      5.9306697             12      28.637373      0.3448698
             40           2.58        2000000     -1.0426753     0.12652107     0.72949774      5.3817767             12      28.624143     0.35160612
             40            2.6        2000000     -1.0282544     0.12052728     0.70453205      4.9204109             12      28.620575     0.35816173
             60              2        2000000     -1.7455266     0.91127042     0.71684552     0.38328427             12      64.356677    0.079455497
             60           2.02        2000000     -1.7307634      0.9044815     0.75429303     0.44242911             12      64.397977    0.084416154
             60           2.04        2000000      -1.715097     0.89693544     0.79674192     0.52314471             12      64.286805    0.089962539
             60           2.06        2000000     -1.6983967     0.88847296     0.84209578     0.63121806             12      64.520487    0.095930072
             60           2.08        2000000     -1.6809009     0.87925831     0.89330709     0.75392318             12      64.709334     0.10201621
             60            2.1        2000000     -1.6621337     0.86881403     0.95555994     0.94548829             12      64.469257     0.10868442
             60           2.12        2000000     -1.6420319     0.85659381      1.0233533      1.2354303             12      64.393831     0.11584948
             60           2.14        2000000      -1.620907     0.84335322      1.0907063      1.5418778             12       64.37313     0.12343679
             60           2.16        2000000     -1.5980238     0.82747677      1.1690765      2.0886703             12      64.341836     0.13171943
             60           2.18        2000000     -1.5734493     0.80843072      1.2777849      3.1098902             12      64.436305      0.1407794
             60            2.2        2000000     -1.5462179     0.78464975      1.4073262      4.4865962             12      64.414184     0.15072179
             60          2.204        2000000     -1.5405992     0.77862268      1.4438164      5.4283553             12      64.403035      0.1528402
             60          2.208        2000000     -1.5348554     0.77346904      1.4672465      5.9093894             12      64.385226     0.15493137
             60          2.212        2000000     -1.5285125     0.76551504       1.532543      7.9577556             12      64.378915     0.15723091
             60          2.216        2000000     -1.5228904     0.76164674       1.513073      6.6860427             12       64.40929     0.15933778
             60           2.22        2000000     -1.5162192     0.75234019      1.5869484      8.9153781             12      64.364134     0.16192036
             60          2.224        2000000     -1.5106346     0.74688481      1.6026883      9.7882016             12      64.386692     0.16390257
             60          2.228        2000000      -1.503374     0.73618114      1.6639857      13.126275             12      64.808931     0.16660488
             60          2.232        2000000     -1.4965052     0.72771813      1.7339774      13.949522             12       64.67438     0.16915401
             60          2.236        2000000     -1.4898724     0.72065155      1.7254968      13.734164             12      64.440385     0.17152676
             60           2.24        2000000     -1.4820401     0.70614783      1.8105576      18.276236             12      64.369384     0.17448162
             60          2.244        2000000     -1.4747723     0.69660639      1.8608402      19.998718             12      64.385707     0.17720831
             60          2.248        2000000      -1.467866     0.68728704      1.8980611        20.9523             12      64.374137     0.17981927
             60          2.252        2000000     -1.4592747     0.67115971      1.9610126      25.275384             12      64.507601      0.1829036
             60          2.256        2000000     -1.4534494     0.66481275      1.9550928      25.960537             12      64.389706     0.18525236
             60           2.26        2000000     -1.4431873     0.64365744      2.0272026      30.543268             12      64.354164     0.18901429
             60          2.264        2000000     -1.4359389     0.62965737        2.08944       35.68771             12      64.405364     0.19180651
             60          2.268        2000000     -1.4273664     0.61088257      2.1463584      40.903403             12      64.425182     0.19471926
             60          2.272        2000000     -1.4183601     0.59120641      2.1494882      43.986861             12      64.512857     0.19827258
             60          2.276        2000000     -1.4081276     0.56444761      2.2325556      51.696998             12      64.377437     0.20204571
             60           2.28        2000000     -1.4011816     0.55462211      2.2160379      52.173981             12      64.427681     0.20481504
             60          2.284        2000000     -1.3910938     0.52859972      2.2271553      55.949865             12      64.847337      0.2084966
             60          2.288        2000000     -1.3825185     0.51086625       2.190455      56.825612             12      64.792409     0.21172039
             60          2.292        2000000     -1.3724589     0.48162805      2.1802266      61.307877             12      64.541654     0.21545817
             60          2.296        2000000     -1.3649286     0.46882796      2.1444073      61.108374             12      64.500904     0.21847509
             60            2.3        2000000     -1.3566622     0.44729347      2.1100498       61.80452             12      64.371635     0.22164208
             60          2.304        2000000     -1.3483053      0.4268104      2.0540633      62.330833             12      64.409315     0.22482028
